Q93553	A0A087WNU1
P91372	B9EJ80
Q09242	B9EJ86
Q19294	B9EJA2
Q965W1	B9EKF7
G5EGH6	B9EKI3
Q7JP60	B9EKR1
Q9TXQ9	B9EKX1
P91420	C0HKE1
P91844	C0HKE2
Q18198	C0HKE3
Q19660	C0HKE4
P91149	C0HKE5
Q9N390	C0HKE6
Q19966	C0HKE7
Q20086	C0HKE8
Q20840	C0HKE9
Q21174	C6KI89
Q966P8	D3YU81
Q18848	D3YUG0
Q21871	D3YUR8
Q9N4B5	D3YVF0
G5EF11	D3YXK2
Q23206	D3YZP9
Q23664	D3YZU1
O18689	D3YZZ5
P34492	D3Z0M9
O17590	D3Z0R2
Q22513	D3Z2H9
Q20981	D3Z2R5
G5EFA4	D3Z3K2
Q9BHL9	D3Z4I3
O16795	D3Z4R1
Q9XVK4	D3Z4R4
O17577	D3Z624
Q20394	D3Z6Q9
P91251	D3Z750
Q09624	D3Z7B1
O61887	D3Z7P3
Q22071	D4AFX7
U4PR75	D6RHB7
Q95YE1	D6RIJ8
Q9XXH0	E0CXB3
O44951	E0CXN7
Q19663	E0CZ16
O62374	E1U8D0
Q18012	E5FYH1
Q8I7L0	E9PUD6
G5EGJ9	E9PUL5
Q7Z137	E9PUQ8
Q22798	E9PV24
G5ECJ4	E9PVA8
A0A4V6M3D2	E9PVB5
Q9N5M0	E9PVX6
Q22031	E9PW37
Q22392	E9PWT2
A0A0K3AW28	E9PX95
U4PR07	E9PXF8
Q6BET5	E9PY14
Q86NI2	E9PY16
Q9BI39	E9PY46
Q9XVE1	E9PYH6
P34258	E9PYI1
Q09994	E9PYL2
Q18248	E9PZJ8
O16949	E9PZM4
Q23338	E9PZQ0
Q23044	E9Q0B6
Q9XVA7	E9Q0S6
D1MN74	E9Q1P8
Q9U2C2	E9Q1W3
G5EFT5	E9Q286
M1ZMJ3	E9Q2I4
Q9U1T6	E9Q2M9
Q21404	E9Q2W8
G5EFC4	E9Q394
Q21234	E9Q3L2
Q17663	E9Q3S4
Q9XWF5	E9Q401
Q9N303	E9Q414
Q18289	E9Q4F7
Q93409	E9Q4N7
Q9XVT3	E9Q4Z2
Q9NAH4	E9Q555
Q2L6W1	E9Q557
Q2AAB7	E9Q585
Q21272	E9Q5C9
A4F318	E9Q5F9
Q93646	E9Q5G3
Q65ZI3	E9Q5M6
Q20202	E9Q5Z5
Q18728	E9Q612
A5HWA8	E9Q616
P52872	E9Q634
Q8ITY8	E9Q6A7
O01502	E9Q6B2
Q965Z8	E9Q6D6
P52010	E9Q6P5
Q9TXZ7	E9Q6R7
Q18299	E9Q6X9
Q18621	E9Q735
G3MU07	E9Q740
Q20314	E9Q777
P54816	E9Q784
Q9GZI7	E9Q7D5
Q9BL47	E9Q7E2
O76388	E9Q7F2
G5EDF5	E9Q7G0
Q8I4K3	E9Q7X6
Q93548	E9Q8D0
Q22719	E9Q8I9
Q10917	E9Q912
B6VQ60	E9Q9A9
Q23164	E9Q9K5
Q9XTV9	E9Q9R9
O76590	E9QA62
Q9U231	E9QAE3
Q07085	E9QAG8
G5EGN2	E9QAM5
O45256	E9QAP1
G5EGA5	E9QAP7
Q9NAH6	E9QAT4
A0A0K3AU50	E9QM90
O76836	F2Z426
Q9N589	F2Z4A3
Q22174	F6PZ19
Q9N5G1	F6QTX1
Q94420	F6SEU4
U4PBW7	F6VAN0
Q8T7Z3	F6X3X7
Q09436	F6ZDS4
P24349	F7B5B5
Q8MYQ0	F7BJB9
Q93896	F7CUW7
O01664	F8VPN2
Q21294	F8VPP8
Q19731	F8VPU2
Q27518	F8VPZ9
Q11073	F8VQB6
Q09527	F8VQG7
P91360	F8VQN3
Q19438	G3UW82
Q20298	G3UYX5
Q09201	G3X939
O01833	G3X9C2
Q18490	G3X9J0
Q27531	G3X9K3
G5EFI8	G3X9P9
Q21933	G3XA30
Q18685	G3XA57
Q94162	G3XA59
Q20742	G5E829
O45532	G5E861
Q20296	G5E870
Q9U7D3	G5E897
Q9BL76	G5E8B9
P52652	G5E8K5
O45335	G5E8P0
Q7YWT5	G5E8Q8
Q95XH0	G5E8V9
A0A164D3L1	H3BL64
Q9N4D6	I6L978
C7FZU5	J3KMS6
Q20365	J3QMC5
Q95ZT6	K7N641
Q9N5G8	M0QW46
H2KYH3	O08528
Q22218	O08529
Q95XW7	O08532
A0A164D3B2	O08537
Q17744	O08539
Q10578	O08547
Q07292	O08550
O62259	O08553
Q9XUB6	O08573
O62213	O08579
P34627	O08580
O62082	O08582
Q9TXI4	O08583
Q9N4I3	O08585
H2L089	O08586
O45781	O08599
O45003	O08600
C9IY37	O08601
Q8I7I5	O08609
Q8MXD9	O08638
Q19469	O08648
P41936	O08663
E9P860	O08664
Q11094	O08665
Q22134	O08674
G5EC63	O08677
Q19722	O08686
O45935	O08688
Q22355	O08696
Q9XVM7	O08710
Q22144	O08734
P91133	O08738
Q9TZP5	O08739
G5EG85	O08740
Q9NEX2	O08746
Q17572	O08747
P54412	O08749
Q9XX14	O08756
P30627	O08759
Q18501	O08760
Q18218	O08762
P91502	O08784
Q9XWK2	O08785
H2L0N8	O08788
G5EDA6	O08789
E5QCF2	O08791
G5EGL7	O08795
Q21763	O08807
Q6EZG4	O08808
C0Z1Y9	O08810
O17721	O08842
P52009	O08848
Q9XVC9	O08849
Q9U3J3	O08856
G5EEP3	O08863
O44326	O08900
O45766	O08901
O61235	O08908
O17040	O08911
O45659	O08912
O61815	O08915
O02268	O08917
H2L033	O08919
O44445	O08966
Q21284	O08992
Q22019	O09000
O62017	O09005
O16796	O09009
O02111	O09012
Q9BL72	O09039
A0A8S4SL88	O09044
Q8T874	O09053
Q9BL34	O09061
Q20736	O09100
Q19733	O09105
Q17389	O09106
A0A131MBB2	O09107
O76413	O09110
Q9XVS3	O09111
Q11189	O09114
Q7YWZ9	O09118
G5EC06	O09126
Q20848	O09127
Q93566	O09131
O17578	O09158
Q23621	O09159
Q19895	O09165
Q21148	O09167
H2KYS1	O09172
O02101	O35066
Q23614	O35082
Q22453	O35083
Q18257	O35084
Q93795	O35098
P42171	O35099
G5EBK8	O35118
Q9BKR9	O35126
G5EE70	O35127
Q19555	O35129
Q17602	O35130
Q9N5B3	O35134
O01510	O35136
Q9U2Z5	O35137
Q93156	O35143
Q9N4C1	O35144
Q9GZF3	O35149
Q18579	O35160
Q17649	O35161
Q9N3D0	O35166
Q95X11	O35173
Q0G838	O35174
G5ED85	O35177
A0A0K3AVT4	O35185
Q9XX17	O35215
G5EE01	O35218
Q19126	O35226
Q9XU42	O35227
Q9N4F9	O35231
O45285	O35245
A0A0K3ASV3	O35250
O45831	O35253
Q93712	O35280
Q10002	O35284
P55954	O35286
A0A061ACU6	O35295
O17387	O35309
Q86D09	O35316
G5EE67	O35317
P34446	O35326
O45870	O35343
Q19328	O35344
Q20758	O35345
P91154	O35350
Q20945	O35375
Q9TXJ0	O35379
Q22169	O35381
Q22100	O35382
D3YT72	O35385
A0A4V0IJT2	O35386
Q9N2X3	O35405
Q20805	O35426
P34629	O35435
Q19987	O35437
Q94165	O35449
Q20310	O35450
Q21571	O35451
Q9BL40	O35452
Q18946	O35453
Q20646	O35454
Q10953	O35459
Q9N588	O35464
Q19746	O35465
Q9BLA0	O35473
Q27475	O35486
Q18596	O35488
Q7YX17	O35490
Q22288	O35492
G5EF47	O35495
Q9XUW7	O35516
A0A2K5ATS7	O35526
K8ERR8	O35544
Q94207	O35551
Q9U2M4	O35593
Q23015	O35594
G5EC44	O35598
P90866	O35600
A0A061AJG8	O35601
O44782	O35604
B6EU65	O35607
O01768	O35609
Q17886	O35613
Q18268	O35615
Q8WT45	O35618
Q18025	O35625
Q19374	O35626
Q18035	O35627
A0A061ACQ8	O35633
Q7JNW7	O35638
Q10906	O35639
Q19289	O35643
Q7YWU6	O35646
Q9TXT1	O35652
O17109	O35654
Q93230	O35658
Q9NB31	O35660
Q966G8	O35668
Q19058	O35674
Q18177	O35678
Q20733	O35680
Q21341	O35681
O17030	O35682
Q09479	O35683
O44406	O35685
Q9N572	O35690
Q95QQ5	O35691
Q19076	O35704
H1UBL0	O35716
Q9XUC9	O35717
Q19491	O35718
Q95XH2	O35719
Q18263	O35723
Q09444	O35730
Q20997	O35732
Q10454	O35737
Q20563	O35738
Q629J5	O35739
G5EBW2	O35740
G5EFC8	O35841
P34470	O35857
Q18036	O35864
Q23196	O35874
P12844	O35887
A0A8D6PJU0	O35892
Q9XV46	O35900
P34345	O35902
H2KZ16	O35904
Q20745	O35927
G5EDN3	O35943
P91017	O35954
Q95YD8	O35955
U4PQS1	O35963
P52274	O35972
Q9U3B4	O35973
Q9TXI3	O35984
W6SBJ0	O54692
Q93794	O54714
Q22156	O54724
O44590	O54734
Q23205	O54743
Q8MYM6	O54749
H2KYX2	O54774
Q5DX39	O54781
Q09440	O54782
Q22215	O54784
Q17461	O54786
G5ECL2	O54788
P34664	O54790
O76665	O54791
P91870	O54824
A3QMB9	O54825
Q9TYN4	O54826
G5EG44	O54828
O01258	O54829
Q9XVH6	O54833
O01634	O54839
G5EC25	O54864
O01816	O54865
G5EDA5	O54879
O44656	O54885
G5EEQ7	O54890
Q22560	O54908
Q22917	O54915
Q20798	O54916
O45962	O54917
A0A4V6M500	O54927
Q95QK5	O54928
Q22125	O54929
Q23342	O54931
A9D0C6	O54940
G5EEI4	O54941
P34560	O54943
Q9U1Y6	O54946
P34367	O54951
Q9TYJ2	O54956
O44548	O54962
G5EBV6	O54967
A0A1N7SYZ4	O54983
C2BR91	O54984
H2KYJ3	O54991
P45962	O54992
G5ECW3	O54998
Q9NEZ7	O55013
A5JYW2	O55017
O61845	O55022
P91047	O55023
Q09528	O55028
O62477	O55029
Q9N5S5	O55033
Q22178	O55042
C0P287	O55047
Q9XVE7	O55057
Q9U369	O55082
O44150	O55091
Q9XUB9	O55098
P34442	O55100
Q19952	O55106
P53016	O55125
Q565A2	O55126
Q21740	O55128
Q9TYU9	O55131
Q17776	O55134
O16991	O55135
Q9XVJ3	O55142
P90731	O55143
P28515	O55144
Q94216	O55187
Q21435	O55196
Q19189	O55201
O62333	O55203
O62140	O55222
G5EFY1	O55229
O44410	O55230
Q18359	O55234
G5EGS1	O55242
O44501	O70126
P29691	O70133
P90746	O70145
Q960A0	O70146
G5EGM4	O70152
Q22123	O70157
Q11068	O70161
Q18037	O70166
Q09228	O70172
Q22970	O70174
A0A131MC08	O70191
O18183	O70194
Q9BPN5	O70201
U4PRB3	O70220
Q65XX4	O70228
H2L044	O70230
G5EEZ4	O70237
G5EFH0	O70250
Q21930	O70251
P34562	O70252
G5ECU1	O70263
Q20179	O70293
O45525	O70305
Q22207	O70309
Q22676	O70310
Q9UA62	O70311
P34278	O70318
Q22470	O70325
Q22797	O70338
Q9U3I7	O70343
Q95XK2	O70361
Q19890	O70370
O17567	O70372
G5EGE8	O70378
Q9XWP0	O70400
Q22587	O70404
P91430	O70405
Q09660	O70422
Q22531	O70433
P90789	O70435
Q56VX2	O70439
G5EE09	O70443
Q23175	O70445
Q10576	O70456
O16331	O70460
Q95QS3	O70469
P34631	O70472
V6CJ20	O70475
O44411	O70477
Q09346	O70480
O01514	O70481
O76566	O70492
P90991	O70493
G5EF99	O70494
A0A4V0III5	O70503
U4PC56	O70507
D3NQA9	O70518
Q09568	O70546
O45293	O70566
Q8I4N4	O70570
Q22759	O70571
Q19279	O70576
Q03613	O70579
Q9GRV2	O70585
A0A650C2J5	O70589
Q23642	O70591
Q95X42	O88196
P21541	O88207
Q17721	O88282
G5EGB1	O88286
Q9NA78	O88291
P15796	O88307
Q95YC6	O88322
G5EDT4	O88325
Q19426	O88335
Q23368	O88342
P34618	O88343
H2B4N0	O88351
V6CLQ3	O88379
A0A4V0IKJ4	O88384
G5EEJ1	O88393
Q9N4G7	O88396
Q22361	O88398
Q9Y0A1	O88413
Q9U3R0	O88441
Q9XWV0	O88447
H1UBK0	O88448
P91175	O88456
Q9TXV1	O88470
O62136	O88477
O45444	O88485
P41828	O88487
Q9N3C6	O88491
Q09316	O88492
Q93168	O88502
Q20065	O88508
Q7YWU9	O88509
Q23096	O88513
Q9XTR0	O88520
G5ECY6	O88522
Q7JLB0	O88532
U4PR70	O88543
P34659	O88544
Q9N4A7	O88545
Q19682	O88554
Q21795	O88559
Q9U1Q5	O88561
Q23087	O88566
G5EDV3	O88569
O16443	O88573
Q9U2F6	O88574
Q10958	O88597
Q21462	O88602
Q21453	O88609
O61220	O88621
Q22158	O88623
O45197	O88630
Q10023	O88632
Q22048	O88643
Q18240	O88653
Q9U1X0	O88665
Q18683	O88668
O01871	O88673
O44156	O88685
Q9U368	O88689
Q19948	O88693
Q19805	O88696
Q9XTY9	O88697
G5EEC4	O88700
G5EFZ3	O88703
A5PEX5	O88704
Q9XXE5	O88705
Q9TZ84	O88712
Q23477	O88713
Q93878	O88735
Q9XXR3	O88736
P41941	O88737
O01700	O88738
A0A1X7RC32	O88741
Q20561	O88745
P34561	O88746
Q21697	O88783
G5EGK3	O88786
Q19564	O88796
Q22495	O88809
O17909	O88811
Q23355	O88822
D3YT92	O88843
Q21501	O88844
Q9XTR1	O88866
Q22342	O88874
Q18013	O88876
Q21459	O88878
O02637	O88879
Q69Z12	O88888
A0A7R9SW82	O88895
O01991	O88898
A0A061ACW5	O88907
O17811	O88908
A5HU98	O88932
Q7K7J0	O88935
O61791	O88942
O01811	O88947
Q8WSZ5	O88951
Q9NA61	O88952
Q09438	O88958
G5ECL1	O88967
Q20924	O88974
Q9U2G6	O88986
Q93903	O88990
P34507	O88998
G5EBW5	O89001
O16948	O89017
Q19969	O89019
Q09456	O89023
Q7YWP5	O89026
Q22418	O89029
Q17688	O89032
Q93641	O89051
Q19520	O89053
Q21832	O89079
A0A2C9C3E2	O89084
Q18999	O89086
Q19293	O89091
P34592	O89106
O61460	O89110
Q9N3S8	O89112
Q09251	O89113
O02274	O89116
O01603	P00015
G5EG03	P00186
Q10000	P00342
Q9N394	P00375
Q9TZI2	P00405
Q18994	P00493
Q20932	P00520
Q20590	P00536
Q23238	P00860
O61199	P00920
Q19541	P01027
O16453	P01029
Q19951	P01101
Q93413	P01108
Q09387	P01132
Q9BL73	P01139
A5JYV4	P01582
Q19461	P01642
Q20448	P01831
Q9TZI4	P01837
Q8ITV4	P01844
G5EES8	P01865
Q20382	P01867
P52018	P01869
H2KYE0	P01872
Q2EEM4	P01887
Q09225	P01899
A0A5K1ICF1	P01901
Q86LS4	P01942
Q22183	P02088
Q2L6V1	P02089
Q21713	P02104
Q2V071	P02301
O61521	P02340
Q965L0	P02463
G5ECA7	P02468
Q21155	P02469
Q19341	P02535
Q19093	P02798
O17593	P02802
Q9U1Y2	P02830
Q95XM9	P03940
A0A0K3AXH1	P03953
Q18869	P03958
V6CLP9	P03966
Q03601	P03995
Q09345	P04104
Q10941	P04117
O01627	P04187
G5EGU8	P04370
Q95ZS2	P04441
Q9U2Y1	P04627
O62040	P04919
G5EGD2	P04925
Q9NA56	P05063
Q17963	P05064
Q9N2Z7	P05132
G5EF25	P05201
O44719	P05202
Q9GYG1	P05213
Q564Z8	P05214
Q04908	P05480
P30632	P05532
H8W3Y3	P05555
Q95ZV8	P05622
Q9NAE1	P05627
Q17676	P05784
Q09296	P05977
O16393	P06151
Q22961	P06240
Q22687	P06467
Q09349	P06537
G5EEM9	P06683
Q9U210	P06684
G5ECX0	P06728
O17921	P06745
A0A0K3AQP8	P06797
Q94316	P06798
Q20644	P06800
Q20059	P06801
G5EF58	P06802
O61942	P06804
Q9NA39	P06837
Q94051	P06876
O61217	P07091
Q93596	P07146
Q9N4W0	P07214
Q19901	P07309
Q5WRT8	P07310
Q9NA42	P07351
Q21831	P07356
G5EBN5	P07607
O45143	P07628
P54811	P07724
Q23595	P07742
Q9N4H4	P07744
Q23520	P07758
Q17493	P07759
Q03563	P07901
O62480	P07903
Q22033	P07934
Q9XXA2	P08003
G5EDV7	P08030
Q18345	P08032
Q21392	P08043
Q4PIV5	P08046
P91567	P08071
G4SJU0	P08101
Q22752	P08103
I2HAF5	P08113
Q10580	P08121
Q93212	P08122
Q23421	P08207
P34402	P08226
Q18234	P08228
Q18853	P08249
O44952	P08551
P53596	P08553
O01577	P08730
O76840	P08752
Q17850	P08775
Q9N3Q9	P09021
P49809	P09022
Q9XUG3	P09024
P41935	P09025
Q09639	P09027
Q21025	P09036
Q22972	P09041
O61742	P09055
G5EDB9	P09066
Q22880	P09079
Q23100	P09084
Q2L6W5	P09092
Q27493	P09103
Q1ZXU7	P09225
O17525	P09240
Q20130	P09242
P48158	P09405
Q9TYS3	P09411
O02225	P09450
O62132	P09470
Q9U2F5	P09528
Q18179	P09581
Q8I4M2	P09602
Q21338	P09631
Q23424	P09632
Q20456	P09633
Q09250	P09671
P91281	P09803
Q9N393	P09813
Q17899	P09838
Q20220	P0C090
O17689	P0C0S6
Q9XW30	P0C192
O44662	P0C1T1
Q09275	P0C5E4
Q18535	P0C605
Q27GV2	P0C7T6
P34436	P0C8B4
A0A1X7RC60	P0CG49
Q65CL5	P0CG50
Q09647	P0DOV1
Q09590	P0DP26
Q9N3V3	P0DP27
Q17902	P0DP28
Q9TYX4	P0DW27
Q23315	P10077
D7SFI3	P10078
Q9XWN7	P10085
O16369	P10107
Q9XVP0	P10126
Q9N563	P10146
O62238	P10284
O17933	P10417
O45083	P10493
Q22099	P10518
O16516	P10598
Q9N358	P10605
D0Z5P0	P10628
Q09585	P10629
G5EG31	P10630
O17670	P10637
A0A2C9C2L0	P10639
Q22662	P10649
Q20311	P10711
Q9TZI7	P10749
Q06561	P10852
Q9U1S7	P10853
P90971	P10854
Q95X32	P10922
Q6I6D4	P10923
G5EEI8	P11031
P34438	P11087
O18118	P11103
G5EG18	P11157
U4PR86	P11214
U4PBS1	P11247
Q21770	P11276
Q9TW67	P11344
G2HK05	P11352
O17956	P11403
Q20874	P11404
Q9N536	P11416
Q19319	P11438
P48322	P11440
P46561	P11499
Q19253	P11531
O02058	P11627
Q22949	P11672
Q9GYM4	P11679
Q09600	P11680
Q20178	P11688
O61745	P11725
Q23670	P11798
Q09583	P11835
Q21121	P11859
Q95QL2	P11862
Q9UAY9	P11881
Q09285	P11911
Q9UAV3	P11928
Q9U2B9	P11985
Q86MI0	P12023
Q95QC2	P12025
O17373	P12246
Q18244	P12265
P54813	P12367
P91306	P12382
Q9NA28	P12658
Q17433	P12660
H2KYG5	P12672
Q9TZM3	P12710
Q19264	P12787
Q9BL58	P12815
P34609	P12849
Q9XXU9	P12960
D7SFQ8	P12961
O02639	P12970
Q9BKU9	P12979
Q9XUR1	P13011
P53585	P13020
A0A0K3ARN3	P13297
P52057	P13366
G4S034	P13405
O62183	P13412
Q9BI86	P13439
Q19127	P13504
Q9U3D6	P13541
Q10130	P13542
G5EC86	P13595
Q20753	P13609
Q7Z0M7	P13634
Q09522	P13705
O16915	P13707
Q09651	P13808
Q18211	P13864
O16311	P14069
Q9BKU3	P14094
O02297	P14106
Q20224	P14115
P49405	P14131
Q9XWP3	P14142
O18650	P14148
Q21225	P14152
Q19162	P14206
Q17684	P14211
G5EE45	P14231
H2KYU2	P14246
Q19014	P14404
Q7Z1Z1	P14576
O45316	P14602
P46563	P14685
P34556	P14733
D6VPA1	P14824
U4PBU8	P14847
Q8WQA8	P14869
Q23509	P14873
E1B6Q7	P14901
Q9N4E2	P15037
Q8I7F8	P15066
Q27461	P15105
O61528	P15116
Q8T666	P15208
O61980	P15209
Q2HQK2	P15261
U4PM16	P15306
B2D6P1	P15307
C2BR94	P15314
Q09614	P15331
Q95ZW1	P15379
Q95Y99	P15499
H2KZH8	P15508
Q09295	P15530
A0A8S4QD99	P15532
G5EFI7	P15533
P34672	P15626
Q21625	P15655
Q95ZK7	P15864
Q21621	P15919
Q18399	P15946
Q09615	P16014
Q09374	P16015
O44566	P16043
Q8ITY4	P16045
Q17967	P16054
O02115	P16092
Q9U1Q3	P16110
O44505	P16125
O18051	P16254
Q23009	P16332
O45494	P16372
G4SPY1	P16381
Q27876	P16388
G5ECY0	P16390
Q20143	P16460
E3W743	P16546
O01756	P16627
O45011	P16675
P16356	P16858
Q22629	P16879
G5ED41	P16951
P10567	P17047
Q2PJ74	P17095
Q09312	P17141
Q20010	P17156
Q53U87	P17182
H2KYJ8	P17183
G5EG57	P17208
Q9N4Z2	P17225
O17695	P17426
Q17334	P17427
O62348	P17433
P91343	P17439
Q9N5G3	P17563
Q9TZ37	P17665
Q18200	P17679
O17939	P17710
Q9U1R1	P17742
Q09545	P17751
Q17693	P17809
Q19335	P17879
O18221	P17897
Q21227	P17918
P30640	P17919
A0A2C9C2L6	P18052
Q20872	P18111
Q93339	P18242
Q8I4N3	P18293
Q9N3Y3	P18337
Q9XUS6	P18572
P46505	P18581
O44712	P18608
Q19546	P18653
Q21898	P18654
G5EBQ3	P18760
Q03573	P18828
Q17446	P18872
Q18892	P18911
O44145	P19001
Q20678	P19091
Q8WTL6	P19096
G5ECW7	P19123
Q067X2	P19137
Q17827	P19157
Q18572	P19182
Q21053	P19221
P54889	P19246
P91128	P19253
Q11107	P19324
Q21925	P19426
Q09392	P19437
Q17559	P19639
Q94360	P19783
O18209	P19785
Q9BPN9	P19788
Q09957	P19973
O16850	P20029
P90781	P20060
P30629	P20065
O16488	P20067
Q65CM0	P20108
Q9NES7	P20152
Q22227	P20263
Q9TYN3	P20357
Q22596	P20443
P21137	P20444
P34327	P20612
O62193	P20664
O44804	P20917
P34324	P20918
Q19842	P21107
Q9N4D0	P21237
H2L0C9	P21271
O17835	P21278
O45672	P21279
O02075	P21447
B2D6P4	P21460
O45934	P21550
Q21313	P21552
Q18471	P21614
G5ECS4	P21619
O01545	P21661
Q10938	P21765
Q9XVM6	P21784
O01501	P21803
A0A168HB31	P21836
G5EBG1	P21855
X5M8Y9	P21981
Q22045	P22005
Q18089	P22091
O01901	P22227
Q95Q98	P22361
P51875	P22366
Q93169	P22437
Q8WQB3	P22518
Q23227	P22599
Q95ZY1	P22605
O01498	P22682
Q9XVP7	P22723
Q19834	P22777
P34703	P22892
P19974	P23116
O44989	P23188
Q27389	P23198
Q9BL05	P23204
P19625	P23242
Q22038	P23249
Q21821	P23359
P52014	P23440
O45181	P23475
Q22993	P23492
Q20255	P23506
O44960	P23591
O17763	P23611
Q09287	P23708
Q23563	P23780
A0A0K3AV08	P23798
Q23255	P23804
O17212	P23812
P90780	P23818
Q18886	P23819
Q19436	P23881
O45021	P23906
P34447	P23927
Q21216	P24161
Q09580	P24270
Q9XWQ1	P24288
P34504	P24369
P91853	P24383
Q22035	P24452
O17862	P24527
Q9XVH4	P24529
