P04039	A0A075BJP4
Q06412	A1ZAN6
P40083	A1ZAP1
Q3E798	A1ZAR2
P46962	A1ZAS3
P38041	A1ZAU6
P38116	A1ZAU8
Q12272	A1ZAV3
Q92392	A1ZAW0
P40508	A1ZAW3
P20795	A1ZAW5
Q06144	A1ZAX1
P38225	A1ZAY9
P25045	A1ZB08
Q04210	A1ZB15
Q12305	A1ZB42
Q03772	A1ZB61
P47145	A1ZB62
Q02873	A1ZB64
P38806	A1ZB68
Q08994	A1ZB70
P25502	A1ZB72
P38177	A1ZB73
P07281	A1ZB80
P24309	A1ZB86
P20967	A1ZBC3
Q04272	A1ZBD8
P0C2J3	A1ZBE8
P40008	A1ZBE9
P32337	A1ZBG6
Q99297	A1ZBJ2
P08458	A1ZBJ8
O13577	A1ZBK7
P53072	A1ZBL2
Q05040	A1ZBP6
Q3E829	A1ZBR5
P38166	A1ZBT3
P45818	A1ZBT5
P32873	A1ZBT6
Q03660	A1ZBU8
Q08109	A1ZBU9
P40467	A1ZBW1
Q12123	A1ZBW6
P32828	A1ZBY1
P39103	A1ZBY3
P53885	A2RVG7
Q03661	A2VER2
P53963	A2VEV0
P31787	A4IJ58
P40032	A4IJ59
P40155	A4IJ70
P39953	A4V0U4
Q07629	A4V0X6
P32769	A4V1B2
P19882	A4V303
Q3E776	A4V383
P21576	A8DY57
P38716	A8DYB0
Q12283	A8DYB9
P40004	A8DYG8
Q00618	A8DYH2
P53942	A8DYL7
P38196	A8DYL9
P11412	A8DYP0
P43565	A8DYR2
P38208	A8DYY6
P21524	A8DZ09
P32263	A8DZ13
Q08692	A8DZ28
P32599	A8E6M1
P53077	A8E6Z4
P32629	A8JMD5
P00899	A8JNG7
Q06469	A8JNH4
P47113	A8JNL9
P40857	A8JNQ7
Q12194	A8JNS0
P39718	A8JNT1
P33199	A8JNU1
P15565	A8JNU6
Q00453	A8JPQ1
P87275	A8JQX3
P38853	A8JQX6
P40564	A8JR03
P07807	A8JR05
Q06677	A8JR14
P38347	A8JR30
Q03798	A8JR84
P35997	A8JR92
P47180	A8JUX7
P40447	A8JV00
P36025	A8JV04
P40441	A8JV07
P53038	A8JV29
P12904	A8MZR4
P0CX10	A8WHD3
P38860	A8WHL4
P0CX61	A9QJQ6
P39968	A9UN61
P53749	A9YGE3
P38902	A9YGW5
P38713	A9YHI5
P36100	A9YIP0
P53210	A9YJ58
P53829	A9YJ99
P25648	A9YJX8
P42946	A9YKE5
P25087	A9YKH0
Q3E7B7	A9YKR0
P22007	A9YL14
P38285	A9YL61
P0CX67	B1A1N4
P25351	B1PFA4
P39998	B3DN64
Q12495	B3G0Q2
P40917	B4F687
Q12033	B4YWB2
P38089	B4YWD6
P23292	B5X533
Q12275	B6IDP6
P35187	B6IDV6
Q6WNK7	B6UVZ6
P38081	B6VQ99
P47002	B6VQA0
Q07844	B6VQA1
P39105	B7YZK4
P38206	B7YZM5
P38281	B7YZT2
P53759	B7YZX6
Q12270	B7Z018
P53217	B7Z083
Q12324	B7Z085
P38690	B7Z0E2
P18239	B7Z0M0
P42942	B7Z0X1
P19454	B7Z143
P33298	B9EQV3
P39016	C0HK95
P0C0W9	C0HKA0
Q3E757	C0HKA1
P14020	C0HKF7
P53968	C0HKF8
P18900	C0HL64
P50107	C0HL65
P38555	C0HL66
Q12029	C0HL67
P47061	C0LRM1
P38708	C0PDE0
Q06337	C0PUW4
P47165	C0PV00
P38624	C0PV55
Q12385	C5I7E8
Q06835	C6KI54
P53243	C6SUS8
Q12341	C6SV36
Q08282	C8AXZ6
Q03694	C9QPE2
Q01574	D0IQK3
Q12084	D0Z748
P19524	D1Z394
P28007	D1Z3A2
P32863	D2NUF2
Q03373	D3DML3
P47045	D3DMM0
P07285	D3DN23
P53866	D5AEK7
P53096	D5SHR0
P53202	D6W4X6
P52910	E0R7Q0
Q07878	E0R7Q1
P46151	E1JH25
Q02864	E1JH37
P38864	E1JHF9
P31385	E1JHH7
Q07887	E1JHJ7
Q3E794	E1JHK9
Q92328	E1JHP6
P53982	E1JHS8
P38636	E1JHU4
P23776	E1JI78
P40533	E1JIB9
Q00776	E1JIM0
P40452	E1JIN4
P03877	E1JIQ5
P53379	E1JIT7
P39928	E1JJ00
P07283	E1JJ90
Q08231	E1JJD6
P33331	E1JJP6
Q12116	E1UID8
Q04458	E1UIM5
P54787	E3CTP7
P25627	E3CTS2
P40016	E8NH67
Q07084	F0JAK5
P07702	F0JAR8
P25577	F0JAT1
P32047	F2FB81
Q08693	F3YD67
P42841	F3YD72
P48365	F3YDA8
P32608	F3YDE1
P22136	F3YDF1
P15705	F6J1D0
Q12189	F6J6F4
Q12310	F6J785
P53223	F6J9B4
P39978	F6JQ80
P18414	G2J613
P38724	G4LU05
P33893	H1UUM2
P25359	H1ZY91
P05750	H1ZYD3
Q02792	H1ZYE3
P38714	I0E2I4
P40063	L0CPN5
P38194	L7EET3
P09624	M9MRD1
P53628	M9MRQ3
Q02555	M9MSL3
P18494	M9MSP0
P32354	M9NDC4
Q04623	M9NDE3
P38682	M9NDM3
Q04371	M9NDP0
Q08990	M9NE09
Q12489	M9NEJ1
Q3E801	M9NEY3
Q06680	M9NEY8
P46670	M9NF90
Q04004	M9NFF9
P40086	M9NFH8
P49775	M9NFJ2
P32623	M9NFM7
Q03559	M9NFR6
P02992	M9NGY4
Q12149	M9PAY7
Q12510	M9PBB4
P02381	M9PBE2
Q3E739	M9PBK1
P53137	M9PBR0
P53012	M9PC41
Q99176	M9PCF9
P36136	M9PCJ4
P38699	M9PCS5
Q06632	M9PD87
P32333	M9PDA8
Q12326	M9PDE1
Q06408	M9PEN8
P32581	M9PEQ7
P40579	M9PF46
Q3E7C1	M9PF54
P47084	M9PF73
P18412	M9PFN0
P53081	M9PFQ9
P32478	M9PFR8
P36157	M9PFW8
Q02932	M9PG80
Q03770	M9PGC5
P11154	M9PIW5
P10174	O01367
P53189	O01404
Q07915	O01666
P53725	O01939
P32914	O02193
Q04712	O02194
P53207	O02195
Q12083	O02649
P38635	O15943
P40088	O15945
Q04526	O15971
Q02486	O16011
P25808	O16043
P47139	O16117
P0CX12	O16129
Q12176	O16130
P53854	O16158
Q06417	O16528
P02407	O16797
P38195	O16810
P21801	O16844
Q06819	O16867
P38318	O17432
P40693	O17445
Q12466	O17468
Q12024	O18332
P32565	O18333
P29295	O18334
P06102	O18335
P28496	O18336
Q6Q595	O18338
P39515	O18339
Q06598	O18373
P20434	O18381
P38274	O18388
P53972	O18400
Q08096	O18404
P19736	O18405
P46997	O18408
P39984	O18412
P0CX83	O18413
P25586	O18640
P0CX73	O44081
P24031	O44226
P38284	O44342
P25565	O44386
P43637	O44424
P48510	O44434
Q05979	O44437
P53844	O46034
P00925	O46036
P32191	O46037
Q05776	O46043
Q08206	O46052
Q03434	O46054
P16474	O46070
P29029	O46072
P23369	O46084
P01123	O46085
P26448	O46089
Q05948	O46094
Q03983	O46098
Q04902	O46099
Q07457	O46106
P33307	O46108
P50088	O46199
P25370	O46202
P36007	O46307
Q12255	O46308
P15992	O46339
P50946	O46341
P32505	O61231
Q12211	O61267
P38698	O61307
P38890	O61345
P38791	O61348
Q06252	O61351
P47029	O61380
P40562	O61443
P38131	O61444
P47129	O61491
P39732	O61492
P27895	O61602
P07276	O61613
P40495	O61661
P25625	O61734
P47169	O61735
P25515	O62526
P39073	O62530
P23595	O62531
P53962	O62589
P50106	O62602
P53048	O62609
P40496	O62618
P32499	O62619
P38875	O76324
P41806	O76460
Q06488	O76513
P40164	O76521
P40486	O76523
P36094	O76742
P12945	O76767
P47142	O76863
P38337	O76870
P23638	O76876
Q03407	O76878
P0CX75	O76899
Q04344	O76902
P54070	O76906
P46673	O76908
P53865	O76922
Q04087	O76924
Q04217	O76927
P53852	O76928
Q06137	O76932
Q05672	O76994
P22336	O77051
P32334	O77059
P38237	O77062
P32580	O77134
P38842	O77135
P0CE92	O77215
P38132	O77237
P40858	O77260
Q12317	O77284
P39981	O77287
P24384	O77290
P46959	O77410
P43603	O77430
P33299	O77434
P47032	O77459
Q04182	O77460
P32453	O96378
P13045	O96433
P53187	O96533
P34244	O96607
Q04372	O96660
P40152	O96676
P47076	O96689
Q01389	O96692
P53119	O96695
Q12156	O96827
P40482	O96860
Q12311	O96881
P43636	O96989
P32353	O97059
P47086	O97061
P53949	O97063
P32490	O97066
P27810	O97067
P35177	O97102
P53599	O97111
P32794	O97125
P22216	O97143
P38697	O97159
P13186	O97172
Q05911	O97182
P38920	O97183
P32908	O97365
P08539	O97418
P40020	O97420
P0CX25	O97428
P40005	O97454
P49626	O97477
P53929	O97479
P38911	P00334
P38741	P00522
Q05027	P00528
Q03776	P02255
P03965	P02283
Q06629	P02299
P38723	P02515
P33311	P02516
P32944	P02517
P38838	P02518
P23724	P02572
P0CX26	P02574
P25358	P02825
P39079	P02828
P31334	P02833
P30657	P02835
P38164	P02836
Q06208	P02839
P25585	P02840
P36013	P02843
P20484	P02844
P37262	P04052
P41903	P04146
P38889	P04197
Q12208	P04357
Q03862	P04359
P33336	P04388
Q12411	P04412
Q04116	P04814
P53057	P05049
Q07821	P05084
Q04935	P05205
Q02933	P05303
P05737	P05389
P38428	P05527
P38262	P05552
P38882	P05661
P19956	P05709
P38991	P05812
Q06214	P05990
P38255	P06002
P48566	P06601
P50896	P06602
Q07653	P06603
Q08932	P06604
P47156	P06605
P00817	P06607
P24000	P06742
P39929	P06754
P21243	P07182
P22139	P07183
P53600	P07185
P47821	P07187
Q05924	P07190
P40169	P07191
P38128	P07247
P38817	P07486
P38934	P07487
P40477	P07548
Q04969	P07663
P42937	P07664
Q12514	P07665
P36531	P07666
P40893	P07713
P06105	P07764
P40471	P07909
P47082	P08044
P36125	P08111
P16639	P08120
P53164	P08155
P07560	P08175
P38077	P08181
P52286	P08182
Q06703	P08266
P40534	P08510
P38181	P08570
P00729	P08630
Q00539	P08645
P47771	P08646
P12954	P08736
P53201	P08841
P38264	P08879
P50276	P08928
Q03083	P08953
P53036	P08970
P14682	P08985
Q03096	P09040
P53267	P09052
P0CH08	P09077
P00950	P09081
P39944	P09082
Q03785	P09085
Q12263	P09087
P40210	P09089
P36160	P09180
Q12329	P09208
P17255	P09491
Q03494	P09615
Q12297	P09774
P11745	P09775
Q00362	P09956
P32611	P0C919
P25342	P0CG69
P32939	P10035
P27882	P10040
P51996	P10041
Q03010	P10083
P38151	P10084
P25588	P10180
Q07793	P10181
P43571	P10333
P53378	P10379
Q12091	P10383
Q12480	P10627
Q08970	P10674
P38773	P10676
P40433	P10734
Q06168	P10981
P39743	P10987
P39946	P11046
P53901	P11146
Q12446	P11147
Q12000	P11346
Q06679	P11420
P38064	P11455
P53068	P11584
P22211	P11929
Q08930	P11956
P25353	P11997
P32775	P12297
Q12059	P12370
P43497	P12426
Q02642	P12613
Q12213	P12881
Q06410	P12982
P69771	P13002
P39935	P13008
P53735	P13054
P0CX36	P13060
P34161	P13095
P21372	P13096
Q06639	P13097
Q04693	P13098
P25605	P13238
Q07530	P13368
Q03976	P13395
P36044	P13468
P53923	P13469
P32898	P13496
P52490	P13582
P38861	P13607
P13090	P13677
Q12163	P13678
Q08208	P13706
P32903	P13709
P36148	P14003
P40356	P14199
P53970	P14318
P43599	P14599
P22804	P14734
P53313	P14785
P40462	P15007
P53215	P15215
Q12110	P15278
P07342	P15330
P29952	P15348
P53969	P15357
P32795	P15364
P47015	P15370
P38340	P15372
P36130	P15619
P40540	P16163
Q02256	P16241
P00942	P16371
P33400	P16375
P40567	P16378
Q06608	P16548
P40028	P16554
P43596	P16568
Q92325	P16621
P39102	P16905
P53839	P16912
P36169	P16914
P40352	P17133
P49723	P17210
Q06440	P17276
P53897	P17336
P53124	P17672
P34167	P17704
P40513	P17886
Q08965	P17917
P53063	P18053
P16862	P18091
P16521	P18101
P24482	P18102
Q03036	P18106
P40451	P18169
Q07979	P18289
P33416	P18431
P33201	P18432
P20053	P18459
P40543	P18475
P33314	P18488
P46654	P18489
P24784	P18491
P07280	P18502
P17065	P18824
P36101	P19018
P53091	P19109
P0CY09	P19334
P06782	P19339
P53330	P19351
P0CS90	P19538
P33322	P19889
P35200	P19967
P53549	P20009
P28495	P20153
P38143	P20193
P39987	P20227
I2HB52	P20228
P32792	P20232
P38820	P20240
P25369	P20348
Q07993	P20350
Q8TGM6	P20353
P22768	P20354
Q99312	P20385
P19414	P20432
P14832	P20439
P53064	P20477
P38845	P20480
P52870	P20482
P06775	P20483
P53142	P20659
Q06217	P21187
P32905	P21461
P53010	P21519
P38306	P21521
P32526	P21525
Q05164	P21663
P40341	P21750
P52919	P21914
Q03713	P22058
P53316	P22265
P07284	P22293
Q12368	P22464
P04050	P22465
P38877	P22469
P38764	P22700
P87284	P22711
P38244	P22745
P33750	P22769
Q12680	P22807
P34077	P22808
P01097	P22809
P47123	P22810
P29340	P22812
P40512	P22813
P32614	P22814
P17891	P22816
P41543	P22979
P04911	P23023
Q08273	P23128
Q02875	P23226
P23585	P23257
P36048	P23380
P25372	P23487
Q03640	P23572
Q06631	P23573
P54837	P23647
P53258	P23654
P38286	P23696
P35208	P23757
P32569	P23758
P38250	P23779
P41811	P23792
P36161	P23803
Q12155	P24014
Q05506	P24156
Q04711	P24350
P33754	P24785
P40498	P25007
P38219	P25008
P43608	P25153
P21965	P25158
P25338	P25159
P38843	P25160
P17883	P25161
P43569	P25167
P36159	P25171
P40363	P25172
P40580	P25228
P25368	P25439
P38855	P25723
P33324	P25822
P50874	P25823
P34241	P25843
P23202	P25867
Q00955	P25932
Q12093	P25992
P26755	P26017
P32419	P26019
P53631	P26023
P32471	P26270
P34758	P26675
Q05791	P26686
P39742	P27091
P02994	P27398
P32901	P27619
P31382	P28159
P28817	P28166
P32357	P28167
P47041	P28518
P51998	P28668
P53855	P28750
P40505	P29052
P38873	P29310
P05453	P29327
P46948	P29349
P40069	P29413
P38729	P29503
P00546	P29555
P38856	P29613
P32480	P29617
Q03856	P29673
P04912	P29742
Q08817	P29746
Q12166	P29747
Q03920	P29774
P25362	P29775
P38110	P29776
P53823	P29829
P39692	P29843
P36516	P29844
P54861	P29845
P38756	P30052
P22215	P30189
P40518	P30432
Q01590	P31007
P53235	P31009
Q08444	P31368
Q06705	P31369
P40091	P31396
P13574	P31409
P53309	P32027
Q08905	P32028
P0C2I2	P32029
Q12026	P32030
Q07648	P32031
P0CX35	P32100
Q3E833	P32234
Q04279	P32392
P0CX16	P32866
P04806	P33244
Q04599	P33438
Q04947	P33450
P40024	P34021
P32915	P34082
P08638	P34739
P06103	P35122
P53729	P35128
P25366	P35220
P48234	P35381
P38249	P35415
Q03213	P35554
P38711	P35600
P21306	P35820
P40440	P35832
P38792	P35875
P39542	P35992
P27692	P36179
P39676	P36188
P43590	P36192
P0CX54	P36241
P32796	P36872
Q06132	P36975
P40547	P37276
P0CX45	P38979
P0C2H9	P39018
P14905	P39413
P12385	P39572
P19358	P39736
P22202	P39768
P32568	P39769
Q12028	P39770
P40483	P40139
Q12532	P40301
P0CX50	P40304
Q06091	P40320
P14747	P40417
P17695	P40423
P38203	P40427
P36150	P40657
Q07534	P40688
P53959	P40791
Q03370	P40792
Q03921	P40793
P12689	P40796
P32327	P40797
P06242	P40798
Q07897	P40945
P16151	P40946
P53927	P41042
P41544	P41046
P54867	P41073
P0C2H6	P41092
P38333	P41093
P29453	P41094
P0CX82	P41126
P38067	P41375
P22354	P41572
P27636	P41894
P53135	P41900
Q08601	P42003
P36145	P42124
P38859	P42207
P36016	P42271
Q04430	P42280
Q00772	P42282
P33767	P42283
P53177	P42286
Q07451	P42287
P47116	P42325
Q03175	P42519
Q06287	P42570
Q02959	P43125
P38213	P43248
P38354	P43332
Q06078	P45437
P40055	P45447
P32345	P45888
P16522	P45889
P32474	P45890
P20435	P45975
Q3E7Y3	P46222
Q06339	P46223
P25300	P46415
P33306	P46461
P53040	P46824
P0CD91	P46863
P35999	P46867
P40314	P47825
P08679	P47938
P40449	P47947
Q12418	P48148
P35209	P48149
P14126	P48159
P36049	P48375
P40033	P48423
P40260	P48451
P36131	P48456
P53115	P48461
P0C2H8	P48462
P32642	P48554
P25385	P48555
Q01560	P48588
Q7M4S9	P48591
P43597	P48592
P40544	P48593
Q12004	P48596
Q01519	P48598
P05739	P48601
P43598	P48602
P38822	P48603
P41895	P48604
Q04396	P48607
Q04093	P48608
P23293	P48609
Q08920	P48610
Q04377	P48611
P24870	P48809
P40159	P48810
Q03774	P48987
P53144	P49021
P40475	P49028
Q02948	P49258
Q02326	P49630
P36104	P49657
Q06116	P49735
P16861	P49762
P47103	P49846
P38930	P49847
P40956	P49858
P00175	P49866
P25378	P49869
P33302	P49905
P19541	P49906
Q08747	P50245
P22082	P50445
P32609	P50534
P46974	P50535
Q08162	P50536
Q12749	P50882
Q12159	P50887
P38809	P51023
P41338	P51123
P49167	P51140
P20604	P51521
P47181	P51592
P40446	P52029
P38840	P52168
P32466	P52172
P00924	P52295
Q99382	P52304
Q08001	P52485
Q06324	P52486
Q06001	P52487
P18759	P52654
P43558	P53034
P32380	P53501
Q12267	P53777
Q06266	P53997
P12630	P54192
P38429	P54269
P40959	P54350
P36036	P54351
Q08989	P54352
Q05946	P54353
P34239	P54356
P30952	P54357
P39678	P54358
P36224	P54359
P40107	P54360
P34160	P54361
Q12217	P54362
Q04062	P54366
Q04748	P54367
P48240	P54385
P49334	P54397
Q03144	P54398
P53261	P54399
Q08732	P54611
P31111	P54622
P40568	P54623
P41800	P54733
P21538	P55035
P32432	P55162
Q06616	P55824
Q01477	P55828
P05317	P55841
P15790	P55935
P05066	P56079
P47114	P56175
P00431	P56672
P40070	P56721
P35189	P61209
Q04305	P61851
P32906	P61855
P23301	P61857
P53686	P62152
P53131	P80455
P53438	P81900
P43545	P81909
P34226	P82147
P38137	P82295
Q12199	P82701
Q04697	P82910
P53738	P83094
P39524	P83100
P41821	P83501
P40303	P83967
P00927	P84029
Q04636	P84040
P32912	P84051
P53858	P91621
Q05636	P91641
Q04740	P91664
P32461	P91679
P32862	P91682
Q3E7X8	P91875
P27351	P91926
P40552	P91927
P50109	P91928
P38211	P91931
P53259	P91940
P38344	P91941
P32832	P91943
P34760	P92177
P07252	P92204
P39010	P92208
P40459	P98081
P16370	P98149
P40366	P98163
P53933	Q00168
P39101	Q00174
Q05790	Q00449
P43538	Q00637
P42941	Q00748
P34730	Q00805
P53108	Q00963
Q08496	Q01068
P38199	Q01070
Q99190	Q01071
P40582	Q01083
Q12445	Q01295
Q03718	Q01583
P25617	Q01604
P24720	Q01617
P39925	Q01637
P37304	Q01642
Q06554	Q01643
P25379	Q01644
P25579	Q01645
P38865	Q01820
Q06032	Q01842
P32458	Q01989
Q12415	Q02308
P53290	Q02360
P36528	Q02361
P46992	Q02427
Q07454	Q02637
P46946	Q02645
P32473	Q02748
Q06411	Q02910
Q06563	Q02926
Q12188	Q02936
Q05359	Q03017
P39943	Q03019
P21375	Q03043
Q06512	Q03334
P40466	Q03372
P47072	Q03427
Q06822	Q03720
P38323	Q04047
P26309	Q04499
P53241	Q04652
Q04233	Q04688
P40348	Q04787
P39682	Q05192
P19146	Q05201
P53158	Q05344
P38615	Q05547
P40038	Q05652
P36009	Q05783
P43555	Q05856
P06787	Q058Z8
Q12676	Q05913
P42835	Q059C4
P35201	Q06453
P0C0W1	Q06559
P38960	Q06849
P32788	Q07152
P28737	Q07171
Q08421	Q07327
P38616	Q07436
Q12429	Q07892
P32361	Q08012
P0CX69	Q08180
P09547	Q08473
P00360	Q08605
Q99394	Q09024
P14064	Q09101
P25591	Q0E5P5
Q12246	Q0E8D0
P14540	Q0E8E8
P40531	Q0E8F8
P36520	Q0E8J0
P22209	Q0E8K5
P28795	Q0E8K8
Q12052	Q0E8N3
P47152	Q0E8P1
Q08223	Q0E8P6
P36123	Q0E8T4
Q06549	Q0E8V7
P40310	Q0E8W6
Q07500	Q0E8X8
Q03465	Q0E8X9
Q07528	Q0E908
P47120	Q0E924
P53389	Q0E938
Q08179	Q0E940
P14164	Q0E949
P35206	Q0E961
P38072	Q0E980
P38879	Q0E985
P33412	Q0E996
P53167	Q0E9A0
P00912	Q0E9A5
P53044	Q0E9B5
P15646	Q0E9B6
P25339	Q0E9B7
P36086	Q0E9E2
Q02196	Q0E9G3
P53260	Q0E9G4
P27344	Q0E9H9
P47176	Q0IGP7
Q08474	Q0IGQ2
P53860	Q0IGR3
P40957	Q0IGS7
P53237	Q0IGT4
P40450	Q0IGU4
P34087	Q0IGU7
I2HB70	Q0IGY0
P53051	Q0IGY6
P17536	Q0KHQ5
P32378	Q0KHV6
Q08058	Q0KHX7
Q12515	Q0KHZ6
Q04489	Q0KI05
P25365	Q0KI06
P38361	Q0KI14
P04161	Q0KI27
P32618	Q0KI39
P53912	Q0KI58
Q03148	Q0KI85
P38627	Q0KI97
P33751	Q0KI98
P53846	Q0KIB1
Q12309	Q0KIC3
P40312	Q0KIF1
P43551	Q0KIF4
Q3E7A3	Q1EC84
P08431	Q1KN24
Q12072	Q1LZ24
Q3E743	Q1LZ38
P18898	Q1RKV9
P39904	Q1RKX1
P08019	Q1RKY3
P28272	Q1RL19
P35183	Q1W9Q0
Q06451	Q1WWC9
P36015	Q1WWH6
P13298	Q23972
Q3E7Z9	Q23973
Q12114	Q23976
P0CE00	Q23977
Q03125	Q23978
P40473	Q23979
P56628	Q23983
P32523	Q23985
P32347	Q24007
P40578	Q24008
P33339	Q24009
P32343	Q24020
P50273	Q24025
Q99248	Q24034
P89886	Q24039
P38904	Q24040
Q02685	Q24044
P0CX74	Q24050
P40073	Q24062
Q00684	Q24090
P39108	Q24106
Q03193	Q24113
P19657	Q24117
Q03530	Q24119
P40460	Q24133
Q12025	Q24134
P38144	Q24141
P40150	Q24142
P32945	Q24143
P38254	Q24151
P40458	Q24152
P05755	Q24154
P61830	Q24167
Q07688	Q24168
P32522	Q24169
Q03954	Q24171
P43585	Q24174
P46964	Q24175
Q02206	Q24179
P41940	Q24180
P38270	Q24185
Q12460	Q24186
P54858	Q24188
Q04005	Q24207
Q12247	Q24208
P53148	Q24210
Q08924	Q24216
P47007	Q24239
P07255	Q24246
Q03496	Q24247
P34232	Q24248
P38111	Q24251
P00424	Q24253
Q03707	Q24255
P46971	Q24256
P33418	Q24266
P53253	Q24276
Q08562	Q24292
Q04172	Q24297
Q04049	Q24298
Q04767	Q24306
Q06164	Q24307
P22213	Q24311
P09733	Q24312
P37302	Q24314
P36051	Q24318
P08518	Q24319
Q06667	Q24320
Q08490	Q24322
P04387	Q24323
P07270	Q24324
Q01159	Q24337
P39705	Q24338
Q06011	Q24372
P35207	Q24388
P14680	Q24400
P12683	Q24404
Q12117	Q24423
P47074	Q24432
Q04067	Q24439
P53209	Q24454
P53872	Q24459
P39708	Q24472
P38874	Q24474
