Q3E840	A0A087WPF7
P22217	O35643
P87108	O35646
P39005	O35652
P38137	O35658
P40478	O35660
P0CD98	O35668
P38989	O35674
P50086	O35680
Q05881	O35681
Q04675	O35685
P07273	O35691
P40353	O35704
P53112	O35716
Q08986	O35718
P40366	O35719
P38692	O35730
Q08649	O35737
Q08045	O35738
Q08726	O35841
Q07478	O35857
P41940	O35864
Q12079	O35874
P41277	O35887
Q06506	O35900
P0CX59	O35904
P38116	O35927
Q08905	O35943
P53963	O35954
P12754	O35955
P53270	O35963
P22219	O35973
P53538	O35984
P38748	O54692
P53540	O54714
P35724	O54724
P47096	O54734
Q02896	O54743
Q12220	O54749
P06704	O54774
P11978	O54781
P53222	O54782
P53718	O54784
P32606	O54786
P07264	O54788
P41809	O54790
P18409	O54824
Q08969	O54826
Q02721	O54828
P43538	O54829
P40482	O54833
P50944	O54865
P52492	O54885
Q12158	O54890
P29704	O54916
P53107	O54917
Q03730	O54927
P53942	O54928
P39702	O54929
P53230	O54931
Q06108	O54941
P07866	O54943
P41903	O54946
Q06567	O54951
Q12530	O54956
Q12118	O54962
P39940	O54967
P00498	O54984
P38910	O54991
P21801	O54992
Q06696	O54998
Q12675	O55013
P31755	O55017
P33755	O55022
P40438	O55028
P36118	O55029
P30619	O55033
P28708	O55042
P38361	O55057
Q3E810	O55098
Q07747	O55100
Q03558	O55106
P35719	O55125
P30606	O55126
Q03735	O55128
P15019	O55131
P36525	O55135
P26783	O55142
Q02725	O55143
P12954	O55144
P40450	O55187
P39705	O55201
P32364	O55203
P32842	O55222
P48234	O55234
P39742	O70126
P25808	O70133
P40550	O70152
P40036	O70157
P40512	O70161
P07252	O70166
P53598	O70172
P40498	O70194
P25335	O70201
Q03388	O70228
P43549	O70230
P52924	O70237
P06843	O70250
Q02326	O70251
P50087	O70252
P06244	O70263
Q01926	O70293
P0CX53	O70305
P38084	O70309
P32833	O70310
P25351	O70311
P51998	O70318
Q08199	O70343
P32448	O70361
P47053	O70372
P53164	O70400
Q05131	O70404
P53303	O70405
Q04746	O70433
P29056	O70435
P32786	O70439
P15274	O70443
P15565	O70456
P38237	O70469
P38250	O70475
P32266	O70477
P50273	O70480
P38717	O70481
P43596	O70492
Q08774	O70494
P11655	O70503
P53224	O70546
P32454	O70566
Q05874	O70576
P03879	O70579
Q12248	O70585
Q06671	O70589
P37263	O70591
P21672	O88207
P32784	O88286
Q06616	O88291
Q06667	O88307
Q03177	O88322
P43623	O88325
P39722	O88335
Q06103	O88342
P04385	O88343
Q03860	O88351
P40553	O88379
Q08416	O88384
P38763	O88398
Q08687	O88413
P38830	O88447
P40033	O88456
P06245	O88470
Q07834	O88477
P15424	O88485
Q12309	O88487
Q12033	O88491
P0CH64	O88492
P50942	O88502
P40988	O88508
Q12320	O88509
P53266	O88513
P53049	O88522
P24279	O88532
P50094	O88543
P53076	O88544
P53165	O88545
Q12505	O88554
P40693	O88569
P23250	O88573
P38765	O88574
P39706	O88609
P37267	O88621
Q08967	O88623
Q02863	O88632
P48237	O88643
Q06819	O88653
P53878	O88665
Q12136	O88685
P89886	O88693
P0CX72	O88696
Q12380	O88697
P54003	O88700
P36059	O88703
P06787	O88704
P53070	O88705
P22209	O88712
P53852	O88713
P32466	O88737
P38909	O88738
Q04868	O88746
Q99252	O88783
Q12181	O88786
P20433	O88796
Q99316	O88809
Q06168	O88811
P47056	O88822
P40484	O88844
Q3E731	O88866
P53071	O88878
Q12472	O88879
P53086	O88895
P10834	O88898
Q03935	O88907
Q08972	O88935
P25385	O88947
Q04773	O88951
P38615	O88952
Q12143	O88958
P32800	O88967
P39987	O88974
P38331	O88986
P38756	O88990
Q07879	O88998
P38138	O89001
Q03081	O89017
Q04264	O89019
Q07843	O89023
P13045	O89026
P47074	O89032
Q04458	O89051
P39708	O89053
P46971	O89079
Q07986	O89084
Q05949	O89086
Q03796	O89091
Q04438	O89106
P53322	O89110
P41920	O89112
P40342	O89113
P43594	O89116
P40090	P00375
P53600	P00405
P17709	P00493
P25046	P00520
Q12458	P00920
P25336	P01027
P38992	P01029
P38236	P01101
P39969	P01108
P41698	P01132
P38125	P01642
P38321	P01831
P23503	P01837
Q3E834	P01867
Q99297	P01869
P32874	P01872
P46951	P01887
P53859	P01942
Q07938	P02088
P53961	P02089
P19657	P02340
P38143	P02463
P40343	P02468
Q08229	P02469
P38427	P02535
P53255	P02798
Q12466	P03940
P32915	P03953
P50873	P03958
P32903	P03966
P22543	P03995
P09624	P04104
P38132	P04370
Q07913	P04627
P15380	P04919
P04037	P04925
P53905	P05063
P50102	P05064
Q03920	P05132
P34219	P05201
P38202	P05202
P07278	P05213
P38887	P05214
P40069	P05480
P00854	P05532
P38724	P05555
P04710	P05622
Q12154	P05627
Q03687	P05784
P36147	P05977
P38682	P06151
Q06216	P06240
P53332	P06467
P53721	P06537
P50946	P06683
Q06053	P06684
P25300	P06728
Q12321	P06745
P29539	P06798
P25039	P06800
P50104	P06801
P53819	P06802
Q06676	P06804
P40516	P06837
P32906	P06876
P33328	P07309
P40566	P07310
P47068	P07356
Q06410	P07724
P40441	P07742
Q00578	P07744
Q12328	P07758
Q12531	P07759
P38873	P07901
P53752	P07934
P39990	P08003
P42845	P08032
P38841	P08046
P53746	P08071
P53918	P08103
P11076	P08113
P38870	P08121
P25386	P08122
P25560	P08207
A5Z2X5	P08226
P47124	P08228
P38805	P08249
P30771	P08551
P47821	P08553
Q12451	P08730
P38080	P08752
Q02732	P08775
P25649	P09021
P38332	P09022
Q02685	P09027
P26188	P09041
P02293	P09055
Q99299	P09066
Q03029	P09084
Q07454	P09092
P53011	P09103
P35127	P09242
P00549	P09405
Q06679	P09411
Q07887	P09450
P00812	P09528
P12686	P09581
P40989	P09631
P41800	P09632
P39923	P09671
Q99380	P09803
P25648	P09813
P17260	P09838
P25572	P0C0S6
P47147	P0C5E4
Q06098	P0C605
Q8TGM6	P0C7T6
P32602	P0CG49
P23285	P0CG50
Q04110	P0DOV1
P06778	P0DP26
P25384	P0DP27
Q08268	P0DP28
P32914	P10077
P17555	P10078
P23287	P10085
P53064	P10107
Q12464	P10126
P36032	P10146
P39007	P10284
Q12163	P10417
P39083	P10493
P00815	P10518
P36161	P10605
Q08220	P10628
P50861	P10630
P38181	P10637
P28834	P10639
Q07560	P10649
P39682	P10711
Q12447	P10852
Q12524	P10853
P48238	P10854
P38835	P10922
P53199	P10923
Q03103	P11031
Q08961	P11087
P41807	P11103
P38971	P11214
P47149	P11276
P53241	P11344
P32493	P11352
Q02792	P11416
Q12217	P11438
Q12386	P11440
P25294	P11499
P05986	P11531
P40099	P11627
P32621	P11679
P38774	P11680
P32643	P11688
P32497	P11798
P35209	P11835
P43614	P11859
P27637	P11881
P53722	P12023
P38145	P12246
P39107	P12265
Q12276	P12367
P08566	P12382
Q08579	P12660
Q04081	P12672
P25582	P12787
P36162	P12815
P38889	P12849
Q03246	P12960
P39517	P12970
P36060	P13020
P22133	P13297
P36136	P13366
P17967	P13405
P01097	P13412
P38954	P13439
P38242	P13504
Q01448	P13541
P17064	P13542
P32263	P13595
P53051	P13808
P32465	P13864
Q12098	P14069
Q99383	P14094
P38871	P14106
Q99207	P14115
P05737	P14131
P53059	P14142
P05317	P14148
P38787	P14152
P26321	P14206
Q01080	P14211
Q03281	P14231
P38165	P14602
P17214	P14685
Q04651	P14733
P47018	P14824
P53849	P14869
Q00955	P14873
P36122	P14901
Q06598	P15037
P04803	P15066
P00931	P15105
P36139	P15116
Q12078	P15208
P31385	P15209
P33550	P15314
Q7M4S9	P15331
Q3E846	P15508
P29547	P15532
P38073	P15626
P07286	P15655
P23644	P15864
Q03818	P15919
P47155	P15946
Q07980	P16014
P53949	P16043
Q03088	P16045
P25651	P16054
P32600	P16092
P53210	P16110
P38922	P16125
P50089	P16254
P25646	P16332
Q06488	P16372
P54730	P16381
P0CX80	P16388
Q08490	P16390
P38687	P16460
P32803	P16546
P03962	P16627
P06701	P16675
P40070	P16858
P53333	P16879
P50090	P16951
P12709	P17047
P43551	P17095
Q05027	P17141
P40548	P17156
P40485	P17182
Q01329	P17183
Q06146	P17225
P32380	P17426
P00924	P17427
Q06096	P17433
P04046	P17439
Q12697	P17563
P21623	P17665
P46954	P17679
P25558	P17710
P38720	P17742
P32481	P17751
P15625	P17809
P36108	P17879
P39952	P17897
P47037	P17918
P49955	P18052
P46957	P18111
P32614	P18242
Q2V2Q1	P18337
Q04924	P18572
P33418	P18581
Q12411	P18653
Q08550	P18654
P38625	P18760
P33892	P18872
P53685	P18911
P23493	P19001
P25619	P19091
P32468	P19096
P53840	P19137
Q04226	P19157
P24867	P19221
P38302	P19246
P04147	P19253
P16622	P19324
P47976	P19426
P53203	P19639
P53276	P19783
P38823	P19785
P36012	P20029
P31380	P20060
Q01896	P20065
P47115	P20067
P53331	P20108
P32502	P20152
P0CS90	P20263
P40509	P20357
P38827	P20444
P09368	P20612
P35688	P20664
P36172	P20917
P53917	P20918
Q04087	P21107
P47016	P21237
Q08187	P21271
P36104	P21278
P33419	P21279
P40505	P21460
Q12420	P21550
P47051	P21552
P32327	P21619
P40416	P21661
Q02647	P21803
Q12482	P21855
P38187	P21981
Q03792	P22091
P40956	P22227
Q12691	P22361
Q12083	P22366
P40057	P22437
P32464	P22518
Q99260	P22599
P53053	P22605
P43555	P22682
P38735	P22723
P32178	P22777
Q08273	P22892
P49626	P23116
P41930	P23188
P04912	P23198
P53847	P23204
P32419	P23242
P0C2H7	P23249
Q12177	P23359
P11632	P23440
P07284	P23475
P23748	P23492
Q03016	P23506
Q03722	P23780
P25299	P23798
P39547	P23804
Q07533	P23812
P46682	P23818
P38313	P23819
P32568	P23927
Q01454	P24270
P47044	P24288
P38328	P24369
P37261	P24383
P39732	P24527
O14467	P24547
Q04951	P24549
P25574	P24610
P50079	P24788
Q07793	P24860
P48232	P25118
P32567	P25206
P49334	P25233
P53873	P25322
P32319	P25425
P35208	P25444
P35056	P25799
P20424	P25801
P40540	P25911
P32328	P25916
P39678	P25976
Q02785	P26039
P32473	P26040
Q12329	P26041
P32343	P26043
P20676	P26231
Q08689	P26350
P38995	P26361
P40454	P26369
P35844	P26443
P53894	P26450
P49167	P26516
P15454	P26618
Q00776	P26638
P33315	P26645
Q00582	P26687
P51533	P27038
P53311	P27040
P38226	P27048
P10823	P27467
P07170	P27546
P08640	P27577
P38800	P27601
P47048	P27612
P07245	P27641
Q06839	P27656
P40462	P27659
P39976	P27661
P47163	P27671
P47138	P27699
P40460	P27773
P53735	P27782
Q08956	P27786
P0CX99	P27808
P30656	P27870
P35202	P27889
P38691	P28028
Q12743	P28033
Q06058	P28047
P40007	P28063
Q12034	P28076
Q08954	P28184
Q08387	P28271
P39108	P28293
P40026	P28301
P17536	P28352
P25338	P28357
P38713	P28359
Q04712	P28474
P38298	P28481
P25371	P28574
P47023	P28650
P33400	P28652
P33313	P28656
P38272	P28658
P50874	P28659
P08964	P28660
P52917	P28661
P32325	P28663
P0CE85	P28665
P53920	P28666
P40350	P28700
Q04659	P28705
P32912	P28738
P32449	P28740
Q08032	P28741
P16387	P28798
P21269	P28828
Q08980	P28843
Q12066	P28867
Q12450	P29037
Q05902	P29268
Q08909	P29319
P25586	P29341
Q01476	P29351
P40494	P29416
Q08992	P29533
Q03002	P29595
P32336	P29621
Q00245	P29699
P45819	P29754
P36083	P29758
P19358	P29974
P32629	P30051
P14772	P30285
Q05584	P30306
P38874	P30416
P47180	P30561
Q05777	P30658
P36123	P30681
Q05533	P30730
P22214	P30999
P32634	P31001
P04161	P31230
Q03370	P31245
Q04751	P31254
Q99344	P31266
P25367	P31310
P53281	P31311
P41901	P31324
Q08224	P31362
P41058	P31648
P36111	P31695
Q06263	P31725
P24583	P31750
P0CH08	P31938
Q12125	P32020
P47137	P32037
P0CX15	P32043
P30665	P32067
P34224	P32114
P32591	P32233
Q04003	P32261
P25653	P32442
P53756	P32443
P38771	P32507
P05694	P32921
P24031	P33173
P23585	P33174
P27514	P33175
Q04183	P33215
P51979	P33242
P39109	P33267
P25340	P33434
Q08562	P33587
Q03559	P33610
P46947	P34022
P40576	P34056
Q02795	P34152
P39979	P34821
P41697	P35235
P46997	P35276
Q02979	P35278
P0CH09	P35279
P32781	P35282
Q12373	P35293
P47172	P35329
P40434	P35396
P38295	P35436
Q6WNK7	P35438
P36076	P35441
P22202	P35486
P38856	P35492
P36027	P35546
Q12160	P35550
P40073	P35564
P40492	P35569
P42073	P35585
P28496	P35601
P52870	P35700
P53875	P35762
P00817	P35802
P25610	P35821
P06777	P35822
P14747	P35917
P0CE68	P35918
P48589	P35922
P81450	P35951
P38782	P35969
P53131	P35979
P0CX82	P35980
P20604	P35991
P39000	P36916
P32857	P36993
Q08925	P37040
P47190	P37172
P42839	P37238
P53622	P37242
P46675	P37804
P43563	P37889
Q08650	P37913
P36138	P38060
P06634	P38647
P46655	P39053
P13586	P39054
Q04608	P39061
P32792	P39087
Q06200	P39098
P0CX20	P39429
P39704	P39447
P11710	P39688
P07266	P39689
Q12417	P40124
P12753	P40336
Q12223	P40338
Q03434	P40630
P42833	P40645
P47129	P40694
P0CY06	P40749
P36062	P40764
P32324	P41105
Q12094	P41133
P53934	P41136
P40491	P41139
P40152	P41183
P30605	P41216
Q08645	P41230
Q12398	P41241
Q06704	P41242
P23643	P41731
P49018	P41778
P33441	P42125
Q12031	P42128
P25361	P42208
P38703	P42225
P53633	P42227
Q03236	P42230
P08425	P42337
P53170	P42567
Q07729	P42582
P19659	P42669
P43583	P42682
P17649	P42703
P10591	P42859
Q06218	P42932
P25344	P43006
P0CX28	P43024
P40579	P43120
P36002	P43136
P32589	P43241
P25373	P43247
P36158	P43267
P47176	P43274
Q07732	P43275
Q01217	P43276
P0CX71	P43277
P38113	P43345
P38213	P45376
P02994	P45481
P0CX66	P45591
P38430	P45878
P38798	P45952
P22579	P46061
P11433	P46096
P17883	P46097
P53899	P46414
Q04697	P46460
Q12407	P46467
P09733	P46471
P48582	P46638
P43639	P46660
P34164	P46662
P40555	P46664
Q06682	P46735
P24869	P46737
P29295	P46935
Q04477	P46938
P38141	P46978
P31116	P47708
Q12445	P47738
Q01532	P47739
Q6B2U8	P47746
P36015	P47753
P41810	P47754
P47912	P47757
Q02887	P47758
Q03208	P47791
P32495	P47806
P06104	P47809
P06784	P47811
P47001	P47856
P38879	P47857
P32558	P47911
P40449	P47915
P31384	P47934
P28817	P47941
Q99257	P47955
Q03973	P47962
P14126	P47963
Q06469	P47964
P36134	P47968
Q07688	P48024
P32943	P48025
P40467	P48036
Q04004	P48193
P36106	P48281
P23797	P48316
Q05515	P48318
P07275	P48320
P40568	P48432
Q05809	P48437
P18759	P48453
P32505	P48678
P40477	P48722
Q05670	P48725
P40020	P48754
P54787	P48758
P40546	P48771
Q12516	P48774
P25368	P48962
P52490	P48972
P43539	P48985
P32329	P48999
P28737	P49025
Q04370	P49135
P19146	P49138
Q12253	P49290
Q12404	P49312
Q12280	P49443
P38170	P49446
P38812	P49586
P00431	P49615
P38784	P49698
P43611	P49710
Q06144	P49717
P41696	P49718
P36041	P49722
Q08558	P49766
P53850	P49769
Q02875	P49813
Q6Q595	P49817
P53188	P49935
P48445	P49962
P36521	P50096
P53075	P50114
P38256	P50136
P29465	P50220
Q04706	P50247
P27895	P50396
P39011	P50429
Q3E772	P50431
P23561	P50446
Q03855	P50462
Q04545	P50481
P32832	P50516
P38694	P50518
Q02207	P50540
Q02256	P50543
P38629	P50544
P38747	P50580
Q04429	P50586
Q06350	P50636
P16120	P51125
P16547	P51141
P07342	P51150
P53866	P51174
Q04336	P51180
P36120	P51410
P53118	P51432
P38216	P51637
P42934	P51655
Q02805	P51660
Q08957	P51829
P24720	P51830
P38772	P51855
P38861	P51859
P40155	P51860
P32916	P51863
P46672	P51881
P39978	P51908
Q00381	P51943
Q08734	P52189
Q08001	P52293
Q05521	P52332
P57744	P52431
P22696	P52432
Q04792	P52479
P38911	P52480
P07834	P52483
P25617	P52503
Q08747	P52623
Q12235	P52734
P25357	P52785
P15179	P52787
P38875	P52795
Q99385	P52800
P43613	P52801
P36056	P52825
Q02933	P52875
P04456	P52912
Q05676	P52927
P38757	P52950
P39977	P52955
P53933	P52963
P40078	P53026
Q04013	P53395
P42945	P53566
P39707	P53568
P23293	P53569
P32528	P53612
P47977	P53668
P53769	P53690
P53962	P53702
P33302	P53762
Q03151	P53810
P25365	P53986
P32873	P53994
Q03465	P53995
P53198	P53996
P40463	P54071
P23059	P54099
P46987	P54103
P38715	P54116
Q12074	P54227
Q07468	P54254
P00128	P54276
Q03049	P54285
P32590	P54726
P43535	P54728
Q04062	P54731
Q12050	P54754
P32860	P54761
P27476	P54775
P12683	P54822
P23301	P54823
P53236	P54830
P07261	P55012
P40487	P55066
P12611	P55088
P46958	P55096
Q12069	P55194
P09620	P55200
Q12485	P55258
P39713	P55288
P40074	P55292
P32578	P55302
P53187	P55821
Q06333	P55849
P53890	P55937
P10659	P56135
P24482	P56183
P05319	P56382
P25627	P56387
Q3E754	P56391
Q04549	P56394
P53153	P56395
P39731	P56399
P33323	P56450
P40513	P56480
Q04493	P56542
P21147	P56546
P38089	P56564
P42847	P56593
P10507	P56695
P24868	P56716
P0CW40	P56942
P28795	P56959
P32496	P57080
P53599	P57716
P00045	P57722
P50109	P57746
Q07530	P57774
P28777	P57776
P16861	P57780
P38786	P57784
P43607	P58022
P29478	P58137
P0C0T4	P58252
P32771	P58281
P43592	P58283
Q04119	P58389
P10863	P58404
P22804	P58462
P36086	P58501
P53913	P58735
Q08686	P58742
Q06648	P58771
P35172	P58774
P41543	P58854
P25580	P58871
P69851	P58929
P39720	P59016
P38839	P59048
P38931	P59178
Q8J0M4	P59222
Q05854	P59235
Q12389	P59240
P40017	P59281
Q03661	P59325
P38306	P59326
Q05549	P59470
P53734	P59481
P38791	P59708
P47065	P59729
Q12202	P59759
P38876	P59823
P40560	P59900
P40012	P59913
P38009	P59999
P48415	P60122
P04386	P60202
P35207	P60229
P53060	P60322
Q12300	P60324
P00950	P60335
P37291	P60469
P53253	P60521
P53258	P60605
P32902	P60670
P02407	P60710
P39533	P60762
P36005	P60766
P11325	P60824
P17065	P60843
P53927	P60867
P00359	P60879
P32802	P60898
P33304	P60904
P36152	P61021
P18900	P61022
P39016	P61027
P17890	P61028
P38994	P61079
Q02776	P61080
P40517	P61087
P16649	P61089
P34160	P61161
P07262	P61164
Q12019	P61202
P00942	P61205
P43602	P61211
P0CI66	P61216
P53941	P61222
P38872	P61226
P38333	P61255
P36007	P61264
P20436	P61290
Q02939	P61294
P42846	P61327
Q12493	P61329
P53742	P61358
P22134	P61375
P32901	P61407
P54199	P61458
Q05473	P61460
P50107	P61514
P38158	P61588
P53077	P61600
P40510	P61620
P42942	P61750
P28778	P61759
P46681	P61922
Q03067	P61924
Q12734	P61939
Q99325	P61953
P12630	P61957
P38996	P61961
P48570	P61963
P15873	P61965
P40971	P61967
P38778	P61969
P33442	P61979
P05030	P61982
P53099	P62046
P39683	P62069
P43581	P62071
P38742	P62073
P39717	P62075
P53066	P62077
Q04500	P62082
Q03280	P62137
P20967	P62141
Q08235	P62192
Q01939	P62196
P54784	P62242
P05755	P62245
P34253	P62257
P38701	P62259
Q06339	P62264
P41805	P62267
P05740	P62270
P43497	P62274
P14120	P62281
Q05022	P62301
P20435	P62305
P40850	P62307
P32794	P62309
P10622	P62311
P53830	P62313
P07703	P62315
P35177	P62317
P23639	P62320
Q3E7Z7	P62325
P38266	P62331
Q08746	P62334
P13663	P62482
P52891	P62484
Q12441	P62500
P40037	P62627
P38930	P62631
Q01477	P62702
P32332	P62715
P06169	P62717
P53108	P62737
Q03780	P62743
P32617	P62746
P42941	P62748
P40010	P62751
Q00402	P62754
Q06340	P62774
P31382	P62806
P47160	P62812
P69771	P62814
P40348	P62821
P38122	P62823
P25491	P62827
Q3E7Y3	P62830
P08679	P62835
P53168	P62838
P0CX49	P62843
P05738	P62849
P0CX54	P62852
Q08096	P62855
P53261	P62858
Q05871	P62862
P21242	P62869
P38631	P62874
P32944	P62878
P32582	P62880
P52593	P62881
P27692	P62889
P25626	P62892
P38263	P62897
P38779	P62900
P53969	P62908
P53914	P62911
P38634	P62915
P24783	P62918
Q03330	P62960
P35691	P62962
P15646	P62983
P38251	P62984
P23542	P62996
P60010	P63001
Q3E829	P63002
Q08962	P63005
P38695	P63011
P38867	P63013
P06780	P63015
Q03940	P63017
P0CX45	P63028
Q04636	P63037
P00330	P63038
Q04311	P63040
P25554	P63044
P32572	P63056
P53729	P63058
P33298	P63073
Q04658	P63082
Q00684	P63085
P31383	P63087
Q08924	P63089
P0C2H8	P63101
P41948	P63139
P38218	P63141
Q03102	P63143
P40917	P63147
Q12049	P63154
P18562	P63158
Q12520	P63163
Q12365	P63166
P39723	P63168
P49687	P63213
Q06640	P63216
P38704	P63239
P20448	P63242
P00560	P63260
