Q8BR07	A0A087WUL8
Q497N6	A8MVW0
Q9D9G7	A8MVW5
Q9Z1N7	A8MW92
O54751	A8MW99
Q9QXK2	A8MXV4
Q8BHE3	A8MZ59
Q8BG17	A9UHW6
Q8R3V6	B1AH88
O35690	B2RNN3
Q5SW75	B2RPK0
O89091	B2RTY4
Q5SUE8	B2RUY7
A6X942	B2RUZ4
P48985	B2RXF5
Q9DCL8	B2RXH8
Q9D7R2	B3EWF7
Q9JK81	B5ME19
Q6PDK0	B7ZAP0
Q924C6	B7ZAQ6
O35646	B9A064
Q9CWF2	C0HLS1
Q9CQY2	C0HLU2
Q8C0M9	C4AMC7
Q8JZS9	E9PAV3
Q62029	E9PRG8
Q8CGP2	E9PS38
F6SEU4	F7VJQ1
Q8BVV7	G2XKQ0
Q8CJ96	H7C0V5
P56974	I3L0A0
Q6PCM1	O00116
Q91X76	O00124
Q9EPK7	O00139
Q8VHI7	O00141
Q6PH08	O00148
Q6P6L5	O00151
Q6ZWR6	O00154
Q8BWC0	O00155
Q60932	O00159
Q91VW3	O00160
P20067	O00161
O88351	O00165
P42337	O00167
Q8BZ47	O00170
B2RXQ2	O00178
Q9CUX1	O00180
P15208	O00182
A0A286YCP2	O00186
Q8BWN8	O00189
Q8BG54	O00192
Q6Q783	O00193
Q920I9	O00203
Q80W94	O00204
A2CG49	O00212
Q99MS7	O00213
Q9JI78	O00214
Q9Z206	O00217
Q64151	O00220
Q8VH51	O00231
Q6PD29	O00232
O88653	O00233
Q9D8E6	O00255
Q61074	O00257
Q9Z1B7	O00258
P80313	O00264
P70372	O00267
Q3UQ84	O00268
Q8R2K7	O00273
P36536	O00291
A2AQA1	O00295
Q9D9V3	O00299
Q8R4H2	O00303
Q07279	O00308
Q60809	O00311
Q61831	O00322
Q9Z1M0	O00327
Q9CQE1	O00330
Q61235	O00339
Q9WVS6	O00358
Q3UX10	O00391
Q3UQV5	O00398
Q9Z2P8	O00399
O54928	O00400
P15655	O00401
Q8C0M0	O00408
Q8K268	O00409
Q0VGT2	O00410
P52875	O00411
Q5RJF7	O00418
P84078	O00422
O35593	O00425
Q9EQI8	O00429
P63030	O00442
P09092	O00443
P70671	O00444
P28658	O00459
Q66PY1	O00461
Q60670	O00462
Q9JKP5	O00463
P97465	O00468
Q9QZS3	O00469
Q5SF07	O00471
Q8BWA8	O00479
Q64512	O00483
Q9QZB6	O00487
Q7TME0	O00488
Q9R1Q9	O00499
Q8VEE1	O00501
P17710	O00505
Q9CS84	O00506
Q00898	O00507
Q3V1N1	O00515
P35492	O00526
Q9DAL4	O00534
P62309	O00541
Q99PP2	O00555
Q8BYR5	O00559
P16546	O00560
Q9CQZ7	O00566
Q8BJY1	O00567
Q6RT24	O00571
Q6TLW0	O00585
Q4VBD2	O00590
Q4VAA7	O00592
Q8R124	O00602
P41164	O00623
Q8BGA9	O00625
Q8CHP0	O00626
Q9D1A4	O00628
Q9Z103	O00629
Q91YU6	O00635
Q80VK8	O00712
O88531	O00716
P12815	O00743
Q922J9	O00746
Q6NXL1	O00754
O35393	O00755
Q8C0L0	O00762
Q8CH02	O00763
Q8R4I1	O00764
Q8BYM5	O00767
Q9CZ70	O14492
Q8BZ32	O14493
Q64455	O14497
Q80ZI6	O14498
P84084	O14503
Q9WTJ8	O14508
Q80YR7	O14519
Q8R2R3	O14520
Q8K4I3	O14523
P09084	O14524
O55047	O14526
P97823	O14530
P47802	O14531
Q8R1M0	O14543
Q8BWY3	O14544
Q8C3X2	O14545
Q9R1Z7	O14548
Q9Z0M6	O14556
P58871	O14561
Q8CCH7	O14562
Q8K2I2	O14569
Q3TQI7	O14576
P16390	O14578
Q9ERR1	O14579
P14824	O14593
Q9D4G2	O14595
Q3U2J5	O14604
Q9CRC8	O14617
Q7TSJ6	O14618
Q8BJX2	O14625
Q99MV5	O14628
Q8BRH0	O14633
Q07832	O14639
Q9D2J7	O14640
Q9CX98	O14641
Q6QI06	O14646
D3Z2H9	O14647
P70275	O14653
P27546	O14654
Q8C8T7	O14656
Q99K10	O14657
Q3TAS6	O14662
P28665	O14672
Q8CD91	O14678
P61804	O14681
A1A5B6	O14686
Q8K354	O14715
P50608	O14727
Q91YD9	O14730
Q8BP86	O14732
A2A791	O14733
P14431	O14734
Q76KF0	O14735
Q99KK2	O14737
P54823	O14744
P14069	O14745
Q8BKE6	O14746
O88322	O14757
P50540	O14763
A3KFM7	O14770
Q8R5F7	O14771
Q8C9E5	O14775
Q8R104	O14776
Q64702	O14777
Q80VC9	O14787
Q62283	O14788
Q61398	O14792
Q9R1W3	O14793
Q9CWK3	O14795
Q8R3I3	O14798
Q9CX00	O14802
Q9D9P2	O14810
P41971	O14817
Q62371	O14818
P55302	O14828
Q3UZY0	O14829
P15327	O14836
Q64010	O14842
A2ALK8	O14862
P26262	O14863
Q3UHK8	O14867
Q6NZL0	O14874
Q00724	O14879
P10284	O14880
P06837	O14893
Q6PG95	O14894
Q8CG70	O14907
Q61827	O14908
Q64368	O14910
Q9DA80	O14917
Q8CC35	O14920
O35601	O14925
P22599	O14929
Q1PSW8	O14931
Q8CHT3	O14933
F7BJB9	O14939
Q9EPC1	O14949
Q8BHL3	O14950
Q91WC0	O14957
Q8VCN9	O14958
P62715	O14964
Q9DCS9	O14965
Q63739	O14966
Q99MR8	O14967
Q05922	O14972
P62305	O14974
Q810U5	O14975
Q9DAW6	O14976
P48318	O14978
Q3UKJ7	O14979
P83510	O14980
P26618	O14981
Q8CGW9	O14983
P35639	O15013
Q8C1L2	O15014
P53657	O15015
Q9JJA7	O15016
Q9D880	O15020
O35887	O15027
Q9D0F6	O15031
Q02085	O15042
A2APV2	O15047
Q9JM58	O15049
Q80ZX8	O15054
Q7TSH4	O15055
Z4YLD0	O15062
J3QN49	O15066
P48036	O15067
Q6P1E7	O15075
Q9EQH2	O15078
O35984	O15084
Q3UXZ6	O15085
Q80XI3	O15091
Q9WTR2	O15105
Q6P9P6	O15111
Q9DCH6	O15116
Q7TPR4	O15118
Q61418	O15119
Q3V1T4	O15120
Q62087	O15121
Q9Z321	O15126
P56716	O15127
P83877	O15131
Q3U108	O15143
Q91VM5	O15144
Q6ZQK0	O15145
Q9ERR7	O15151
P23818	O15155
P31361	O15156
Q9CQ40	O15160
P58462	O15162
Q4VA29	O15164
P55284	O15165
Q9ET54	O15169
Q6ZQ08	O15173
Q8CE46	O15182
A6H687	O15197
P35951	O15198
Q62521	O15205
P62774	O15212
Q9CPR5	O15213
O55144	O15218
Q07417	O15226
Q9D074	O15228
O70503	O15230
Q9WV27	O15231
Q9CYG7	O15234
Q9D0Z3	O15235
Q8C3B8	O15239
Q6P3A1	O15244
P60853	O15254
Q9R0N5	O15255
Q7JJ13	O15258
Q61216	O15260
Q8VEA4	O15265
Q91V12	O15269
Q08AT1	O15270
Q9D1C1	O15273
O35465	O15287
O54890	O15294
Q6PCN3	O15297
Q8BLK9	O15304
B2RUR4	O15305
O70176	O15315
Q9CYB0	O15321
Q60872	O15342
Q8BM75	O15347
Q9CWZ7	O15350
Q8BYI6	O15353
Q8CD92	O15354
P32921	O15355
P26687	O15357
O88737	O15360
P56183	O15371
P40336	O15372
P21278	O15379
P62313	O15381
Q922M3	O15392
Q9Z277	O15393
P61924	O15397
P31324	O15400
Q8BZB2	O15409
E9PW37	O15417
Q80VQ1	O15427
P50220	O15431
P57791	O15432
Q9DB25	O15439
B2RQL2	O15442
P61264	O15446
Q8R516	O15460
O35723	O15466
Q80UZ2	O15479
Q80XI1	O15481
Q8C1M2	O15482
Q91VK1	O15496
P09027	O15498
Q61006	O15499
Q9D1T5	O15503
Q0VE82	O15504
Q922S8	O15511
Q8C4M7	O15514
O88741	O15516
Q9DBE8	O15523
Q7TMV3	O15524
P21956	O15525
Q60665	O15529
Q99MR9	O15530
Q8C145	O15533
E9QAP7	O15534
Q99PR8	O15541
Q68FE9	O15547
Q9CWX2	O15550
A2RRY8	O15552
Q9JJH7	O15554
P70336	O43143
Q60771	O43148
Q8CGB3	O43149
Q8JZR0	O43156
Q9DBZ5	O43159
Q61092	O43164
Q921I9	O43166
O35658	O43167
O55042	O43169
P60229	O43172
Q7TSC1	O43175
P11344	O43181
P00687	O43184
Q9D384	O43186
O70616	O43187
Q6ZPI0	O43189
P35582	O43193
Q922E6	O43237
Q9D495	O43240
P08551	O43242
Q9JI91	O43251
Q9DC11	O43252
P59108	O43255
Q99MJ9	O43257
Q99P72	O43264
Q68ED3	O43278
Q9ESX4	O43281
P97458	O43283
Q9D6I7	O43286
Q8BVQ5	O43290
Q9JKD8	O43291
Q6NVG7	O43292
P32848	O43293
Q0PMG2	O43294
P59279	O43295
Q921W4	O43296
Q61079	O43298
Q6NZN0	O43301
Q7TSY8	O43303
Q9DAX2	O43306
Q9DBU6	O43309
Q61496	O43314
P22892	O43318
P81183	O43323
P25322	O43324
Q9WV98	O43347
Q9Z0S1	O43353
Q6ZWQ9	O43379
P48962	O43390
Q8VI84	O43395
Q8BGR8	O43396
Q5DTY9	O43399
Q62442	O43402
Q61321	O43405
Q91W61	O43422
Q60591	O43426
Q91YI6	O43427
Q8BLR2	O43432
Q8VHH7	O43439
Q5U3K5	O43447
Q9DC23	O43463
Q921X6	O43464
Q8VC30	O43474
Q9D6N5	O43482
Q6PEE3	O43488
Q61233	O43491
O35626	O43493
Q9CR58	O43502
Q9D1H7	O43504
Q9Z1J2	O43505
P52633	O43513
Q003Y7	O43516
Q8VHR0	O43521
Q60780	O43524
Q99KJ0	O43529
Q6GYP7	O43542
Q99PI5	O43557
P07758	O43559
O55028	O43561
Q9JKL5	O43567
Q8R1F6	O43583
Q811J3	O43586
Q3THG9	O43592
Q14BI5	O43593
Q924X6	O43597
Q62178	O43602
Q9JIH2	O43609
Q9ER69	O43612
Q8CHG5	O43614
Q9D0F9	O43615
Q91YN5	O43617
P50114	O43633
Q3TZX8	O43638
Q8CJ27	O43639
O54865	O43653
Q923U0	O43657
P57746	O43660
Q9Z1J1	O43663
Q8CB27	O43670
Q9D898	O43674
P48281	O43676
Q8CDI6	O43678
O54950	O43679
Q9QZM3	O43681
P82350	O43683
G5E829	O43684
Q8CDB0	O43687
Q91V88	O43692
P80315	O43707
Q6NXJ0	O43709
Q9Z1N9	O43711
P04230	O43715
Q99K28	O43719
Q99N28	O43731
Q9D6F9	O43741
Q8BSY0	O43747
Q8VED5	O43752
P70218	O43759
Q9D4H7	O43760
O88939	O43763
P08226	O43765
O35654	O43768
Q9D8P4	O43772
E9Q7G0	O43776
Q69ZQ2	O43781
Q9CQ02	O43790
P54775	O43791
Q3UM45	O43795
Q7TNP2	O43805
Q8BMG7	O43808
Q9CVB6	O43809
A2AHC3	O43813
Q91WT9	O43815
Q8BZW8	O43818
P23506	O43819
P60882	O43822
Q9Z0E0	O43823
P51949	O43824
Q7TT28	O43826
Q91Z53	O43829
Q9WUU8	O43837
Q61087	O43847
Q62158	O43852
O70373	O43854
A2BH40	O43865
Q9R049	O43889
Q8C006	O43896
P09240	O43900
Q9CQS4	O43908
Q6P5D3	O43909
Q62406	O43913
Q80TM6	O43914
Q91X83	O43915
Q8R0G9	O43918
Q8C6G8	O43920
Q9CQH0	O43921
Q6NZP1	O43924
Q6PD24	O43929
Q8BWF0	O43930
Q8BHI7	O43933
Q8CIF4	O60216
Q4FZF3	O60218
Q99PV5	O60220
Q63932	O60231
P11103	O60232
A6H648	O60237
A1L3P4	O60238
Q8BG22	O60243
P63139	O60244
Q9Z1K6	O60245
Q60793	O60248
Q8BH66	O60256
O35228	O60258
Q9WU02	O60259
Q8K4Z2	O60260
P70168	O60264
P28649	O60266
Q8VDD9	O60271
Q8R574	O60281
Q8R284	O60282
A2RT62	O60285
Q9EQ61	O60287
Q9QY76	O60291
Q99LC8	O60292
Q921J2	O60293
Q9CQI7	O60296
Q9CY52	O60306
P53995	O60307
Q9EPU4	O60313
Q8R5F8	O60318
Q9QX11	O60333
Q9JMB0	O60336
Q56A10	O60337
P68368	O60341
Q6PA06	O60343
Q3V089	O60346
P31315	O60353
Q9JKF1	O60356
Q9R060	O60361
P62627	O60381
Q9DA97	O60383
O88998	O60403
Q91V01	O60427
Q99NH2	O60437
Q5DU57	O60443
Q06986	O60447
Q3UXZ9	O60469
A4FUP9	O60476
P56564	O60488
Q8CCB4	O60493
Q9D0J4	O60496
Q91WF3	O60499
Q8R4X3	O60502
Q9Z1P8	O60503
E9Q414	O60504
P68369	O60506
Q99KK7	O60508
P32507	O60512
Q791T5	O60513
P61588	O60518
Q91VC7	O60524
Q3UVP4	O60547
Q9WVJ9	O60551
Q8VBT9	O60563
Q8CAS9	O60566
P03966	O60568
Q9WUM4	O60573
Q7M764	O60583
Q9JHI8	O60610
P60487	O60613
Q9CWE0	O60636
Q05144	O60637
Q8CEF1	O60641
P09242	O60645
Q9DCU2	O60663
Q9CXW2	O60664
Q91WZ8	O60671
Q9D0L7	O60674
Q91V10	O60676
O70230	O60678
Q99MD9	O60684
Q8BZ60	O60701
Q8CHQ0	O60704
P62254	O60711
P51863	O60716
Q921P9	O60725
Q8VE62	O60729
Q8R216	O60739
Q5H8B9	O60741
Q9DBR3	O60749
Q3UVK0	O60756
Q8R001	O60762
Q3UJB9	O60763
P47964	O60779
Q52KR3	O60783
Q9EP89	O60784
O08738	O60812
Q8BMJ2	O60814
Q60856	O60825
P09066	O60826
P12658	O60828
Q9D287	O60829
Q8R5J9	O60830
Q99PE9	O60831
Q61136	O60832
Q3UHJ0	O60841
Q8C419	O60858
Q5NBX1	O60869
Q8BMC3	O60870
Q5PR69	O60879
Q9JKF6	O60880
Q8R4Y4	O60883
Q9WTM5	O60884
Q80Z64	O60885
P86174	O60888
P85094	O60894
P49766	O60895
P19785	O60896
Q9R059	O60906
A2A9T0	O60907
P58742	O60909
Q9QZ28	O60911
Q921N7	O60921
P70297	O60925
Q8CHG3	O60930
Q8BRF7	O60934
O70237	O60939
Q9WUH7	O60941
Q80U58	O60942
Q80YW5	O75015
P97479	O75027
Q61093	O75031
P01639	O75037
Q8CJ67	O75044
Q811L6	O75051
Q7TSH3	O75052
Q3V0H8	O75054
Q91VU7	O75056
Q8R5C8	O75061
O35161	O75063
Q99MX1	O75069
P56931	O75074
Q9CQI9	O75081
Q6PB44	O75083
B1AVY7	O75084
Q8VD63	O75096
Q9D7B7	O75110
Q9QY23	O75116
E9Q6A7	O75122
P63089	O75127
C0HKE7	O75128
Q61423	O75131
Q8C5L3	O75140
P10711	O75143
Q91VJ2	O75145
Q80TP3	O75146
Q61207	O75147
Q9Z1Z2	O75150
Q6TDP3	O75152
Q8CDD9	O75153
Q5SU73	O75155
P54320	O75157
Q91W52	O75164
Q9Z110	O75165
Q80Y56	O75170
P11403	O75173
Q61127	O75175
E9PY14	O75177
P32020	O75179
Q6P9S0	O75182
P20357	O75190
O88573	O75197
E9Q5G3	O75208
Q8VHD8	O75223
Q6P1G2	O75251
O70273	O75298
Q9JLB0	O75306
Q6ZQ03	O75312
Q6DFY2	O75317
Q8K596	O75319
Q60718	O75323
O88822	O75330
P61961	O75340
Q8K1S4	O75342
Q9CXN7	O75344
Q91WV0	O75347
Q9CXI5	O75348
Q6NZC7	O75351
Q3TZ89	O75352
Q7M760	O75354
P41251	O75360
O70493	O75362
Q61048	O75364
P61953	O75365
Q9JJ26	O75366
O35857	O75367
Q3UR70	O75368
Q9EQH3	O75369
O70492	O75376
B7ZNG0	O75379
Q07813	O75380
P22361	O75381
O55196	O75382
Q61483	O75385
Q9JJR7	O75386
Q8VHK9	O75390
P16882	O75394
O54941	O75396
Q9CYI4	O75398
Q9CZU3	O75400
Q8BH16	O75409
Q9DBN4	O75410
Q3ULJ0	O75417
Q61282	O75419
Q9DBC0	O75420
P70178	O75427
P35282	O75431
Q8VI33	O75436
O70468	O75438
Q5H8C4	O75439
Q9ESK4	O75444
P17439	O75446
P13808	O75448
Q80TN5	O75449
Q9WVK8	O75459
Q8BK35	O75460
Q64282	O75461
Q3UPP8	O75462
Q5MPP0	O75467
Q9DAV6	O75469
Q9QXB9	O75475
Q99M28	O75477
Q99MR6	O75478
Q9CWR7	O75486
P02089	O75487
Q8K1K4	O75489
Q3U0V1	O75494
O09044	O75496
O88282	O75503
Q3U3N0	O75506
P33611	O75521
O35453	O75525
Q5SQY2	O75526
Q3V172	O75528
Q80ZF8	O75529
Q9DCJ5	O75530
Q99L47	O75531
Q8BG05	O75533
Q6IR22	O75534
Q9DBB9	O75553
P49769	O75554
A2A6A1	O75556
P16388	O75558
Q9CWV1	O75563
Q61010	O75564
O35435	O75569
G3X9C2	O75575
Q3U214	O75581
Q8BVI4	O75582
Q9WU22	O75586
P43274	O75592
O88786	O75593
Q3V3Q7	O75596
Q8BIZ6	O75600
Q9ERE3	O75603
P33175	O75604
Q9CZ83	O75607
Q9CQP2	O75608
Q99MZ7	O75616
Q9D4V7	O75626
P46656	O75635
P83626	O75636
Q9JIS7	O75638
Q9CQ54	O75643
Q7SIG6	O75648
P11680	O75663
Q61457	O75665
Q9D2M8	O75674
Q07230	O75676
P70195	O75683
Q60902	O75688
P47791	O75691
Q8C7D2	O75694
Q9QXE2	O75695
P52963	O75716
Q1JRP2	O75717
P62761	O75718
Q8BGS2	O75746
O08739	O75771
Q8BKR5	O75781
P13864	O75787
Q9Z175	O75791
A0A1L1SSF8	O75792
Q9D752	O75815
Q3UN02	O75817
P59672	O75818
O70517	O75820
Q99LE6	O75821
P03958	O75822
Q6WQJ1	O75828
Q8K0T0	O75832
B9EKI3	O75838
Q63912	O75841
Q6IE82	O75843
P40694	O75844
P57787	O75845
P15499	O75865
Q69ZX6	O75874
P48615	O75879
Q6PGD0	O75880
Q3UYL4	O75882
Q61609	O75886
Q99LI7	O75891
Q711T7	O75896
A2A6M5	O75897
Q9DAE2	O75901
O55225	O75907
G3XA59	O75908
Q9DBV4	O75909
Q9EST1	O75911
P01887	O75915
Q61160	O75923
Q3THK3	O75925
Q7TPM1	O75928
Q62433	O75934
P70302	O75935
A2A4P0	O75937
Q8VHN8	O75940
Q62443	O75943
P58137	O75947
P08883	O75951
Q80SY3	O75953
Q8C0T5	O75955
Q9D3W5	O75956
P58064	O75962
P48320	O75964
G5E897	O75970
Q9WV07	O75971
Q9Z179	O75973
P62071	O75976
P0DP26	O76003
P26450	O76011
Q9ER97	O76013
O08677	O76014
Q06335	O76015
O55234	O76021
Q9DC16	O76024
Q9DCA7	O76027
Q9QZE5	O76031
Q9JJC6	O76038
B9EHI3	O76041
P45448	O76061
P05064	O76064
Q8VCX5	O76071
Q80UG2	O76081
Q3TLI0	O76083
A0A0G2JEY4	O76094
Q920N2	O76095
Q6NS52	O94760
O08586	O94761
Q9CQP0	O94762
Q9CZP7	O94763
A2AJ88	O94766
Q3USS3	O94768
Q9Z205	O94772
Q8R1Q8	O94776
Q8BKF1	O94777
P13366	O94782
Q8BKD6	O94805
Q5SXI5	O94806
P46425	O94808
Q9D8M4	O94813
Q8R0F9	O94817
Q7TSH6	O94818
Q6DFV1	O94822
Q8JZS0	O94826
O09110	O94829
O70172	O94832
O88477	O94842
Q99PU7	O94844
Q8BFZ3	O94854
P56671	O94855
Q9QZR5	O94864
A2ASI5	O94868
P53566	O94874
D6RHB7	O94875
Q9WV96	O94880
Q9Z2T6	O94885
Q3U1F9	O94886
Q924A2	O94887
O88532	O94888
Q9QZB9	O94889
Q8BXL7	O94898
Q921L3	O94901
Q0MW30	O94903
E9PVX6	O94905
P50096	O94906
D3YZZ5	O94910
Q8BW10	O94913
Q9D9W6	O94915
Q00288	O94919
P49070	O94921
Q91WM2	O94923
O08784	O94925
Q7TN02	O94927
P62342	O94952
Q91X85	O94953
Q91VA6	O94955
Q64475	O94964
P27889	O94966
P18872	O94972
P17225	O94973
Q8BZH4	O94979
Q8R0A0	O94985
Q9D3J5	O94989
Q9WTR1	O94991
P97351	O94992
Q80TH2	O95047
Q67FY2	O95059
Q8CAE3	O95067
Q9D6X6	O95070
O88545	O95071
Q9DCV4	O95073
Q91ZE0	O95084
P18581	O95104
Q8BIY3	O95125
Q9D0F4	O95136
Q3TMW1	O95139
Q8BHA1	O95140
P28705	O95147
Q9JHG7	O95149
Q9D5R2	O95155
Q9R226	O95156
Q2QI47	O95157
Q8VDM1	O95158
P97303	O95159
P09671	O95163
Q68SA9	O95166
Q9QXV3	O95167
Q9Z0R9	O95168
Q505B8	O95169
P56657	O95171
Q9DBY5	O95182
O35375	O95183
Q9D113	O95196
Q3UHH1	O95197
Q80VH0	O95198
Q8K0L0	O95199
P59708	O95202
Q99JX1	O95208
Q8BS95	O95210
Q8CDV6	O95214
Q9WTZ1	O95218
Q62232	O95219
O35607	O95229
Q8R151	O95231
Q05CL8	O95232
Q8BP22	O95235
Q3TUA9	O95236
Q8CDJ3	O95239
Q9DBR1	O95243
Q9D6Z1	O95248
P59222	O95249
B2RRE4	O95251
Q9CSB4	O95255
P23591	O95257
Q9D6E4	O95260
P59048	O95271
Q6IQY5	O95273
Q8VCA5	O95274
Q8BNI4	O95279
P17427	O95292
Q8K440	O95295
Q9CUN6	O95297
Q64436	O95298
Q71LX4	O95299
Q9CZ52	O95336
P54818	O95340
Q9JJA4	O95347
Q99246	O95352
Q8R205	O95359
Q9WVH6	O95361
Q91YR7	O95363
P50481	O95365
G5E8E3	O95372
Q78IK2	O95373
P51410	O95376
Q8CDG1	O95377
Q5IR70	O95382
Q3UWW6	O95390
O70400	O95391
Q8JZV4	O95393
Q9EQN3	O95394
Q6NVG1	O95396
P17183	O95400
Q91X72	O95402
Q8R238	O95405
Q8CHY3	O95406
P35969	O95425
B1AR13	O95427
Q62018	O95429
Q8BVY0	O95433
Q5DU31	O95436
Q91ZI0	O95445
P11985	O95450
P24860	O95453
Q6J1H4	O95456
O70571	O95466
Q9DAS9	O95470
O89032	O95471
Q9ET77	O95476
Q80XL6	O95478
Q9DC28	O95486
Q69ZA1	O95487
Q9Z131	O95490
Q9JM62	O95498
Q9WU28	O95503
B2RUR8	O95544
Q810S1	O95551
B5X0E4	O95562
Q8BJM5	O95563
P27790	O95568
E9PZ36	O95571
B1AWL2	O95573
Q8BG58	O95600
P62838	O95602
Q8R429	O95613
P06798	O95619
P58802	O95625
P70224	O95628
Q5IRJ6	O95630
Q6PIJ4	O95639
Q8BUN5	O95644
Q640L3	O95670
Q6PE54	O95671
Q924W5	O95672
P05977	O95674
Q9Z129	O95677
Q91ZU6	O95678
Q8BZZ3	O95684
P84091	O95696
P84244	O95711
Q64727	O95714
Q8C0D7	O95715
Q8VD04	O95718
Q9WUB0	O95721
Q9CQA1	O95747
P24161	O95749
Q8CBB9	O95751
Q8R3W5	O95754
Q6A4J8	O95757
Q61329	O95758
Q8JZM0	O95772
Q9JJN4	O95777
Q60865	O95782
O70157	O95785
Q9Z2B5	O95786
Q8BFU0	O95789
P62908	O95793
O89023	O95801
Q99LB0	O95810
P63001	O95816
P80206	O95817
Q9R0K7	O95819
Q5NCC9	O95822
P63328	O95831
Q8BR27	O95833
Q8CFX3	O95834
Q61881	O95835
Q64701	O95858
P70453	O95861
Q9CX56	O95863
Q8R1R3	O95864
Q8C1S0	O95865
P97751	O95870
Q8R2K4	O95872
Q61733	O95881
P35762	O95886
Q8BR86	O95897
Q8CF66	O95900
O08856	O95905
P70414	O95926
P41160	O95931
Q9R069	O95947
Q8CFK6	O95967
P61080	O95968
Q8CFX1	O95970
Q5F226	O95971
P08207	O95977
Q8C1F4	O95980
P60469	O95983
Q3B7Z2	O95985
Q8CB19	O95988
P06802	O95989
Q9DBN5	O95990
O88685	O95994
Q8K368	O95995
Q3V1M1	O95997
P04441	O95999
Q149F1	O96000
Q9Z1K5	O96005
O08573	O96006
P10078	O96008
Q58A65	O96009
Q9D1G1	O96013
Q9Z0J3	O96015
O88811	O96017
P08101	O96018
Q9CZW5	O96019
Q9JJU9	O96024
Q91WJ8	O96028
P08121	P00167
Q61315	P00338
P60954	P00352
O88502	P00367
Q61390	P00374
Q91ZW3	P00387
Q2M3X8	P00390
Q8VC03	P00403
Q61187	P00441
O70422	P00450
Q9JKK7	P00492
Q9DD03	P00505
Q9DBR0	P00519
Q4ACU6	P00533
B2RQA7	P00540
Q91X58	P00558
Q99MR1	P00568
Q8BSM7	P00734
Q8BPU7	P00738
Q8BSF4	P00740
Q9JMF3	P00747
Q6PAM1	P00748
Q8K3A0	P00749
O70518	P00750
Q5F259	P00751
Q3UPE3	P00813
A2AH22	P00918
Q8CJ19	P00966
Q91WK7	P01008
Q9Z1N2	P01009
Q9WVM1	P01011
P19324	P01023
Q3U1N2	P01024
P17257	P01031
Q6P2L6	P01033
Q6PZE0	P01036
P35918	P01037
P28271	P01040
P48744	P01042
Q9ERD7	P01100
Q3V0C5	P01106
Q91ZQ1	P01111
Q8R2Q0	P01112
P62821	P01116
O70311	P01127
O54828	P01130
Q60949	P01135
P24270	P01137
Q8R2U7	P01160
P13745	P01189
P70353	P01298
Q8CHK4	P01308
Q8CB59	P01344
Q9DCB4	P01350
P31245	P01375
Q8CFQ3	P01568
Q9QY14	P01589
Q3ULF4	P01591
Q8BX57	P01730
O88697	P01732
Q8CJH3	P01833
Q8K284	P01834
P15105	P01857
O70405	P01859
Q8CCA0	P01860
O70137	P01861
P97299	P01871
P81066	P01876
Q6V4S5	P01877
Q8C0K5	P01889
Q62210	P01903
Q5S248	P01909
O88898	P01911
Q8R1Q0	P01920
Q8BFU1	P02008
Q8C2W5	P02042
Q9EPC2	P02452
O08970	P02458
