P32368	A0A061ACG4
P04807	A0A8D9MTV9
P53037	A0A8D9N0J4
Q06636	A0A8S4Q990
P17442	A0A8S4Q9N7
P40155	A0A8S4QAX9
Q04093	A0A8S4QAY3
P32567	A0A8S4QBN9
P40356	A0A8S4QC20
P32857	A0A8S4QD18
P29547	A0A8S4QD99
P36066	A0A8S4QGS8
Q08058	A0A8S4SL88
P53074	A0A8S4SQK1
P28834	A0A8S4SQL6
P40341	A0A9J5I4G4
P42837	A0PD34
P19211	A0T4F9
P39975	A1EHR5
P47022	A2V8C3
Q03973	A3QMC5
P53604	A3QMC8
P36131	A3QMD6
P53226	A3QMD7
Q08673	A3RMS7
Q12300	A3RMT9
Q12006	A4F318
P53171	A4UVJ6
P38957	A4UVJ8
Q03652	A5A8N8
P47007	A5A8P5
P19658	A5A8Q6
P39734	A5HWA8
Q12482	A5JYR6
P07884	A5JYT7
Q05933	A5JYW2
P33416	A5JYW9
Q07872	A5JYX5
P40508	A5JYX8
P38931	A5JYY2
P14681	A5PEX5
Q07938	A5Z2T6
P0CE92	A5Z2U2
Q12311	A5Z2V0
Q03825	A6PVA1
Q12052	A6PVA5
P22579	A6ZJ46
P53962	A6ZJ71
P38724	A7DTF0
Q08995	A7DTF3
P53839	A7DTF5
Q07949	A7LPJ5
P40956	A8DYR7
P33412	A8WFJ9
P52867	A8WFK3
P38208	A8WFN7
P25559	A8WHU4
Q03148	A8WI16
P26570	A8XQ35
P22136	A8XQE0
Q12140	A9D4S6
P53039	A9QY30
P32331	A9UJN7
P43554	A9Z1L6
Q04772	B1GRK6
P53438	B1GRL4
Q03694	B1Q236
P32598	B1V8A0
P38865	B1V8I7
P40558	B2D6K9
P53281	B2D6P4
P00445	B2FDA8
Q12114	B3CJ34
P32916	B3CKG1
P37366	B3GWA5
Q99234	B3KYC0
P40057	B3WFX6
Q12375	B5BM33
Q03630	B5U8L0
P38352	B5U8M5
P40359	B6EU65
P53125	B6GUP8
P32335	B6VQ60
Q08818	B7FAS0
P04806	B7WN72
P00724	B7WN91
P14120	B7WN95
P53217	B7WN96
P38234	B7WNB0
P0CX75	B7WNB4
P48562	B9WRT8
P34251	B9WRU1
P40207	B9ZSG9
P38928	C0HLB3
Q12004	C0HLB4
Q05947	C0P273
P25628	C0VXV7
Q06142	C0Z1Y9
Q06321	C0Z3L6
P48566	C1P636
P40086	C1P659
P38326	C2BR91
P53329	C2BR94
P39721	C3JXE6
P38764	C6KRJ8
Q04902	C6KRL6
P53137	C6KRN1
P39563	C7IVR4
Q12326	C7IVS4
Q04487	C8JQN9
Q04003	C9IY37
P47079	D0PV95
Q3E758	D0VWM4
Q08826	D0VWM8
P38848	D0Z5P0
Q08974	D1MN74
P38763	D3NQA8
Q03262	D3NQB6
P36106	D3NQB9
P36110	D3YT31
Q99231	D3YT37
Q04304	D3YT44
Q06135	D3YT51
P48582	D3YT69
P04650	D3YT71
Q05900	D3YT80
P40012	D3YT99
Q99373	D3YTA0
P39955	D5MCN2
P29952	D5MCR4
P87275	D5MCR9
Q12071	D6RYD9
P40527	D6VPA1
Q08492	D7SFI3
Q9P305	D7SFQ3
Q12425	D9PTN5
P50113	D9PTP3
P11491	D9PTP6
Q12272	E0AHB4
Q12015	E1B6Q7
P50107	E2JL04
Q04697	E3W743
Q99321	E5QCF2
Q07684	E5QCH0
Q04370	E7EAU8
Q03759	E8MDV8
Q08417	E9P851
P53538	E9P861
P32489	E9P864
P33339	E9P8A2
P43605	E9RKC7
Q08347	F0IWU1
P39719	F1LIM5
P32190	F3NWW3
P38122	F5GU62
P38312	F5GUD1
P26637	F5GUF0
P41815	G2HK03
P32493	G2HK05
P05085	G2HK10
P24000	G2HK15
Q08023	G2HK16
P53889	G3MU09
P21264	G3MU12
P33306	G3MU88
Q05790	G4RRB3
P32634	G4RT11
Q01476	G4RYA5
P17967	G4S034
P39111	G4S460
P08425	G4SLH0
P38885	G4SPY1
P39958	G5EBE3
P53584	G5EBE4
Q04477	G5EBF1
Q02931	G5EBF3
P39984	G5EBF4
P53253	G5EBF5
P06784	G5EBG0
P38767	G5EBG1
Q04089	G5EBG4
P38825	G5EBH7
P36038	G5EBI0
P38088	G5EBJ7
P19956	G5EBK0
Q08271	G5EBK4
P36032	G5EBK8
Q99181	G5EBL1
P53823	G5EBL2
Q03776	G5EBL8
P51998	G5EBL9
P06197	G5EBM1
P53191	G5EBM6
Q3E7B6	G5EBP0
Q12743	G5EBP5
P17709	G5EBQ3
P38689	G5EBR1
P52491	G5EBR6
P47024	G5EBR7
P81449	G5EBT5
Q08702	G5EBT6
P40484	G5EBU5
P34243	G5EBU8
P27614	G5EBV0
P10823	G5EBV3
P27476	G5EBV4
Q00684	G5EBV6
P38953	G5EBV8
P32943	G5EBW5
Q12520	G5EBX0
Q06216	G5EBX5
P15367	G5EBY0
Q02793	G5EBY6
P23202	G5EBZ1
P34226	G5EBZ4
Q12098	G5EBZ8
P46957	G5EC05
P39006	G5EC06
Q02908	G5EC10
P81451	G5EC14
Q12079	G5EC21
P40077	G5EC22
P06738	G5EC23
P12962	G5EC32
P32582	G5EC35
P20459	G5EC36
P40564	G5EC37
P48569	G5EC40
P33442	G5EC44
P0C2I5	G5EC57
P40890	G5EC63
P36520	G5EC71
P33331	G5EC77
P43544	G5EC84
P40957	G5EC86
Q08685	G5EC87
P14905	G5EC89
P40856	G5EC91
P39707	G5EC97
Q06324	G5ECA7
P36075	G5ECB0
Q08773	G5ECB9
Q07923	G5ECC0
Q96VH4	G5ECC7
Q03180	G5ECC9
P38069	G5ECD1
P53718	G5ECD6
Q06707	G5ECE7
P38123	G5ECF1
P53850	G5ECF8
Q12510	G5ECF9
P21965	G5ECG0
P43574	G5ECG2
P33304	G5ECG7
P32770	G5ECH0
Q12383	G5ECH5
P32830	G5ECH7
P28737	G5ECJ4
P47014	G5ECJ6
P50076	G5ECK0
P33760	G5ECL1
P50875	G5ECL2
P21576	G5ECL3
Q08119	G5ECL7
P52489	G5ECM6
Q06315	G5ECM8
Q06417	G5ECM9
P38717	G5ECN2
P39992	G5ECN5
P33895	G5ECN8
P40579	G5ECP4
P53628	G5ECP6
P32903	G5ECQ1
P38889	G5ECQ2
P46998	G5ECQ3
Q3E813	G5ECQ8
P25337	G5ECR0
Q12244	G5ECR1
Q07657	G5ECR7
P32776	G5ECR8
P38994	G5ECS4
Q07913	G5ECT6
Q99177	G5ECT7
P06244	G5ECU1
P47017	G5ECU7
P32900	G5ECV5
Q06680	G5ECV7
Q05672	G5ECV9
Q12322	G5ECW0
Q05934	G5ECW3
P40003	G5ECW9
P25300	G5ECX0
P15380	G5ECX2
P48232	G5ECX8
Q08490	G5ECY0
P40101	G5ECY4
P53049	G5ECY6
Q12524	G5ECZ3
P41318	G5ECZ4
P46995	G5ED01
P53176	G5ED07
Q08873	G5ED14
P40476	G5ED17
P53210	G5ED20
P34111	G5ED21
Q03446	G5ED24
Q03649	G5ED26
P53104	G5ED29
P40151	G5ED30
P00128	G5ED34
Q02981	G5ED35
P38355	G5ED36
P43597	G5ED37
P32377	G5ED39
P50090	G5ED41
Q12138	G5ED44
Q01574	G5ED46
P07267	G5ED57
Q12325	G5ED58
P53060	G5ED60
P53970	G5ED64
P25694	G5ED66
P40187	G5ED70
P03069	G5ED71
P09232	G5ED75
Q12441	G5ED81
P46784	G5ED84
P40076	G5ED85
P38630	G5ED89
P38143	G5ED95
Q03769	G5ED97
P47027	G5ED98
P39997	G5EDA0
Q03654	G5EDA3
P42934	G5EDA6
P29467	G5EDB8
P24813	G5EDB9
Q04110	G5EDC0
P23585	G5EDC6
P46681	G5EDD1
P42935	G5EDD4
P40071	G5EDD7
Q04264	G5EDD8
P28777	G5EDE1
P40202	G5EDE2
P13856	G5EDE4
P12612	G5EDE8
P25621	G5EDE9
P06174	G5EDF0
P53956	G5EDF1
P53723	G5EDF5
D6VTK4	G5EDF6
P53921	G5EDF7
P32179	G5EDF9
P32353	G5EDG2
P48558	G5EDG6
P36107	G5EDH0
Q12477	G5EDI8
P38308	G5EDJ4
P53730	G5EDJ6
Q12252	G5EDJ7
Q08270	G5EDK1
Q03407	G5EDL0
P46989	G5EDL3
P38316	G5EDM4
P08456	G5EDM5
D6W196	G5EDM9
Q04869	G5EDN8
Q06592	G5EDP0
P38996	G5EDP2
P53322	G5EDP9
P53949	G5EDQ2
Q2V2P3	G5EDQ5
P38753	G5EDR3
P0CX39	G5EDS1
P40317	G5EDS2
P07390	G5EDS5
P40335	G5EDT1
Q12291	G5EDT2
Q08232	G5EDT4
Q06681	G5EDT6
Q08580	G5EDT8
P00937	G5EDT9
P40005	G5EDU3
Q03330	G5EDU4
P19262	G5EDU6
P40543	G5EDV1
P35208	G5EDV3
P40039	G5EDW1
Q3E769	G5EDW2
Q04922	G5EDW5
P17536	G5EDW8
P47049	G5EDW9
P36111	G5EDX5
Q04964	G5EDX9
Q04066	G5EDY0
P08536	G5EDY2
P14737	G5EDY3
P32333	G5EDZ2
Q06644	G5EDZ9
P43561	G5EE01
Q12345	G5EE02
P27801	G5EE04
P46964	G5EE07
Q08229	G5EE09
P38771	G5EE16
Q12048	G5EE18
P38253	G5EE25
Q2V2P5	G5EE34
Q03370	G5EE37
P38792	G5EE41
Q02209	G5EE42
Q03281	G5EE45
P32585	G5EE46
P12687	G5EE48
P26309	G5EE53
P0C2H8	G5EE56
P32466	G5EE62
Q03774	G5EE65
P25515	G5EE66
Q06671	G5EE67
P39083	G5EE68
P40518	G5EE74
P52919	G5EE80
Q03034	G5EE96
P38361	G5EE97
P32801	G5EE98
Q03081	G5EEA2
P23833	G5EEA3
P40033	G5EEA8
P05694	G5EEB3
P25384	G5EEC2
Q06510	G5EEC4
Q08913	G5EEC8
P40026	G5EED4
P47072	G5EEE5
P25653	G5EEE7
P00546	G5EEF6
P38787	G5EEG1
P34253	G5EEG4
P47113	G5EEG7
P06245	G5EEG9
P39717	G5EEH0
Q8TGS2	G5EEH5
P33401	G5EEH6
P08964	G5EEH9
P27472	G5EEI4
Q03103	G5EEI8
P40006	G5EEJ7
Q01852	G5EEK3
P40988	G5EEK5
Q08754	G5EEK7
Q12297	G5EEK8
P38688	G5EEK9
P53952	G5EEL0
P17558	G5EEL3
P0CE11	G5EEL9
Q04217	G5EEM0
Q04526	G5EEM1
P25293	G5EEM5
P17123	G5EEM6
Q04432	G5EEM9
Q12134	G5EEN3
P53933	G5EEN4
Q12434	G5EEN6
P46971	G5EEN7
Q02872	G5EEN8
Q04013	G5EEP3
P28707	G5EEQ3
P32835	G5EEQ7
Q05946	G5EEQ8
P53299	G5EER4
Q12507	G5EES6
Q02796	G5EES9
Q01896	G5EET2
Q01217	G5EET3
P33767	G5EET5
P38207	G5EET6
Q04660	G5EET8
P47076	G5EEV2
P53688	G5EEV5
Q06411	G5EEW5
Q02939	G5EEW7
Q06098	G5EEW9
Q04712	G5EEX1
P20424	G5EEX3
P42941	G5EEX5
P53120	G5EEX7
P36014	G5EEZ3
P53062	G5EEZ4
Q03629	G5EEZ5
P47058	G5EF01
P40531	G5EF02
P38163	G5EF03
P38723	G5EF07
Q03308	G5EF09
P14693	G5EF11
P52917	G5EF15
Q03525	G5EF25
P47084	G5EF29
P34247	G5EF32
Q12402	G5EF37
P40011	G5EF39
Q04301	G5EF48
P48560	G5EF50
P05030	G5EF53
Q04921	G5EF58
P53983	G5EF60
Q2V2Q1	G5EF79
Q03020	G5EF82
P53206	G5EF83
Q01722	G5EF84
Q08287	G5EF86
P00830	G5EF87
P38239	G5EF90
P38863	G5EF96
P15454	G5EF97
P19146	G5EF98
P53147	G5EF99
P33122	G5EFA2
P23292	G5EFA4
P36159	G5EFA9
P05319	G5EFB5
Q04087	G5EFC1
Q07915	G5EFC4
P33307	G5EFC8
Q08929	G5EFD4
P08153	G5EFD6
P38138	G5EFD7
P32891	G5EFD9
P47116	G5EFE0
P53193	G5EFE1
P08638	G5EFE3
P36157	G5EFE6
P10870	G5EFE7
P53045	G5EFF1
P00044	G5EFF2
Q12255	G5EFF4
P33891	G5EFF5
Q06108	G5EFF7
P23900	G5EFF8
P53061	G5EFG0
P53946	G5EFG4
P25627	G5EFH0
P40565	G5EFH8
P38329	G5EFI4
P38690	G5EFI9
P47102	G5EFJ4
Q03088	G5EFK4
Q04740	G5EFL9
P21951	G5EFM0
Q06178	G5EFM7
Q04602	G5EFM8
P25302	G5EFM9
Q00582	G5EFP1
Q06200	G5EFP3
Q3E811	G5EFP4
Q05899	G5EFP5
Q12485	G5EFQ0
P38271	G5EFQ4
Q06683	G5EFQ5
P53197	G5EFQ8
P21538	G5EFR0
P39704	G5EFS1
Q03771	G5EFS4
P46682	G5EFT5
Q05827	G5EFU0
Q12283	G5EFU3
Q12028	G5EFV3
P39731	G5EFV4
Q07951	G5EFV5
Q01590	G5EFV8
Q03337	G5EFW1
P39988	G5EFW7
Q06563	G5EFW8
P43551	G5EFX3
P36108	G5EFX6
P36150	G5EFY5
P48361	G5EFY6
P33750	G5EFZ1
P38590	G5EFZ3
P53719	G5EG02
P07347	G5EG13
P40530	G5EG14
P43550	G5EG17
P43614	G5EG22
Q03691	G5EG28
P38274	G5EG31
P40572	G5EG36
P32571	G5EG38
P38804	G5EG39
Q06199	G5EG44
P53198	G5EG47
P38337	G5EG51
P42948	G5EG53
P53051	G5EG54
Q07895	G5EG58
Q12182	G5EG59
Q12315	G5EG62
Q04311	G5EG65
P43638	G5EG76
Q06665	G5EG78
P05743	G5EG83
Q12254	G5EG85
Q05785	G5EG86
P42951	G5EG87
P38971	G5EGA5
P40051	G5EGA9
P28321	G5EGB1
P52871	G5EGB9
P25631	G5EGC9
P38074	G5EGD2
Q12473	G5EGE3
P40185	G5EGE4
Q12165	G5EGE9
Q04178	G5EGF0
P38131	G5EGF2
Q00723	G5EGF3
P00899	G5EGF4
P40481	G5EGF8
P31539	G5EGG0
P38838	G5EGG8
P53932	G5EGG9
P27515	G5EGH3
P38702	G5EGH6
P38627	G5EGI1
Q07528	G5EGI2
Q8TGJ3	G5EGI7
P53294	G5EGI8
P53541	G5EGJ5
P32909	G5EGJ9
P32378	G5EGK1
P38967	G5EGK3
P17898	G5EGK5
Q08844	G5EGK6
Q02795	G5EGK8
Q00947	G5EGL7
Q04636	G5EGM3
P46958	G5EGM4
P21825	G5EGN2
P41057	G5EGN3
P42844	G5EGN9
P0CI66	G5EGP2
Q03695	G5EGP4
P21375	G5EGP8
Q03964	G5EGQ3
P02829	G5EGR6
Q04004	G5EGR8
P50947	G5EGS3
P39967	G5EGS5
Q12316	G5EGS6
P31386	G5EGS7
Q05931	G5EGS8
P38288	G5EGT6
Q12072	G5EGT7
Q07959	G5EGU1
P25037	G5EGU8
P32419	G5EGU9
P41912	H1UBJ1
Q04212	H1UBJ3
P25630	H1UBJ9
P53112	H1UBL0
P23595	H2B4N0
P89113	H2FLI6
Q04177	H2FLJ1
Q04847	H2FLL8
Q06389	H2KMI9
P39526	H2KMJ3
P38725	H2KMJ9
Q2V2Q3	H2KML2
Q06494	H2KML7
Q05050	H2KY90
P46680	H2KY91
P46973	H2KYA0
P32366	H2KYA1
P38306	H2KYB0
P53258	H2KYE0
Q06497	H2KYG4
P40004	H2KYG5
P00045	H2KYH3
P16521	H2KYH4
Q8TGQ7	H2KYI2
P47150	H2KYI3
P13099	H2KYI8
P47098	H2KYJ0
P38910	H2KYJ3
P53327	H2KYJ5
P0CX44	H2KYJ8
Q03236	H2KYK6
P32564	H2KYK9
P50946	H2KYN0
P42942	H2KYN7
Q12121	H2KYP0
Q04401	H2KYP8
Q04673	H2KYQ5
P41277	H2KYR1
P47096	H2KYS2
P32767	H2KYS8
Q3E737	H2KYU3
Q03983	H2KYU5
P25038	H2KYU6
P36018	H2KYV3
P32336	H2KYW1
O13525	H2KYW5
Q02647	H2KYX2
Q12207	H2KZ07
P53279	H2KZ16
P38845	H2KZ21
P31116	H2KZ24
P53736	H2KZ29
P47818	H2KZ39
P43598	H2KZ41
P53886	H2KZ72
Q06580	H2KZ73
P32572	H2KZ80
P11709	H2KZG6
P36163	H2KZH5
Q03212	H2KZH8
P32349	H2KZI3
P38285	H2KZL1
Q8TGU7	H2KZM6
Q04409	H2KZN0
P21560	H2KZP2
P32893	H2KZQ6
Q02721	H2KZR2
P53867	H2KZR6
P36172	H2KZS3
Q12239	H2KZS9
P23059	H2KZU7
P15732	H2KZV9
P26448	H2KZW0
P40512	H2KZY4
Q12453	H2KZZ2
Q12168	H2L006
P36081	H2L008
Q07794	H2L025
P39714	H2L044
P15274	H2L045
P36168	H2L056
P47039	H2L057
P29311	H2L089
Q08004	H2L099
P53326	H2L0A8
P38523	H2L0B1
P43591	H2L0C0
Q08187	H2L0C9
Q07825	H2L0D3
P32388	H2L0D9
P47029	H2L0E0
P32781	H2L0H5
P28519	H2L0J7
P38087	H2L0L1
P38292	H2L0N3
P32831	H2L0N7
P34237	H2L0N8
P0CZ17	H2L0Q6
Q12495	H2L0S3
Q07589	H2L0S5
P38230	H2L0S6
P25618	H2L266
P38633	H2L279
P40955	H2L299
P38226	H2L2B3
P35201	H2L2B6
P36053	H8ESF1
P39965	H8ESF5
P53165	H8W3Y3
P52892	H9G2T3
P53845	H9G301
P43123	I1W6S5
Q12342	I2HA85
P40351	I2HA90
P40532	I2HA93
P39543	I2HAA0
P33400	I2HAF5
P0CX72	I2HAI1
P38788	I2HAJ2
P36096	I6Z0I7
P04802	I7FXD3
Q08457	J7RNI7
Q12365	J7RNK2
P53390	J7SA57
P0CE00	J7SEY5
Q12461	J7SEY9
Q04839	J7SF93
Q3E7Y5	K8ES01
P53259	K8ES47
P47115	K8ESB4
Q12405	K8ESC5
P40219	K8F807
P32559	K8FDZ1
Q03899	K8FDZ6
P53280	L8E6Z8
P43587	L8E712
P38782	L8E938
P42847	L8E946
P41930	N1NTN5
P53178	N1NV13
Q06349	N1NVB5
Q04162	N1NVC0
Q04119	O01254
P32805	O01255
P40893	O01299
Q05021	O01300
P48439	O01314
P32450	O01322
Q08925	O01326
P47137	O01329
Q08446	O01393
P47006	O01422
P34223	O01427
P38213	O01442
Q03559	O01456
Q8TGT3	O01477
P38205	O01479
P38691	O01482
Q03785	O01488
P27810	O01489
P53389	O01496
Q06266	O01497
Q06629	O01498
Q03860	O01501
Q12460	O01504
Q02799	O01505
P20051	O01509
Q12049	O01510
P10961	O01513
Q12347	O01514
P38158	O01516
P40468	O01524
Q06344	O01527
P53333	O01530
P39110	O01531
P38852	O01532
P07170	O01541
P32892	O01542
P53237	O01545
P24031	O01546
Q99288	O01549
Q8TGJ2	O01561
P33332	O01563
P25451	O01576
P53388	O01577
P32899	O01578
Q03529	O01585
Q04067	O01590
P11325	O01592
Q06640	O01593
P0CX16	O01598
Q04049	O01601
P53901	O01606
Q03483	O01615
Q04585	O01616
P0C2I3	O01622
P0CX50	O01630
P41698	O01635
Q3E793	O01658
P0C2J1	O01661
P0CS90	O01683
P05453	O01692
Q04868	O01700
P40030	O01702
Q12396	O01734
P40019	O01735
P38632	O01739
P53944	O01756
P32338	O01759
P07256	O01761
Q03516	O01763
P54787	O01765
P40188	O01767
P24871	O01768
P53080	O01775
P37298	O01777
Q08471	O01780
P39929	O01789
P50111	O01796
Q08909	O01800
P39935	O01802
P25367	O01803
P32862	O01804
P53145	O01805
P15873	O01806
P25385	O01811
P40010	O01812
P40352	O01813
Q04408	O01814
Q07800	O01815
P54786	O01816
P11938	O01819
Q06451	O01820
P40318	O01822
Q03530	O01833
P14064	O01835
P40473	O01836
P09959	O01839
P38796	O01847
P36078	O01853
P40466	O01854
P38291	O01861
P47111	O01864
Q05022	O01868
Q03280	O01869
Q12212	O01876
P38157	O01879
Q08118	O01882
P40548	O01900
P19145	O01901
P28006	O01902
P38698	O01905
P20049	O01918
Q07887	O01927
Q02204	O01960
Q02457	O01961
P36165	O01964
Q12317	O01969
Q06523	O01971
Q01163	O01974
Q02159	O01991
Q02959	O01996
Q99176	O02039
P38290	O02040
P10849	O02042
Q08234	O02043
Q02776	O02053
P18963	O02055
Q12158	O02056
P53075	O02058
Q02574	O02063
Q12398	O02074
Q05788	O02076
Q99299	O02088
P0C0V8	O02089
P0CY07	O02096
Q07930	O02097
P47082	O02101
P40493	O02106
P06243	O02108
P47180	O02111
P34160	O02115
P38243	O02139
Q12128	O02155
Q06106	O02158
P07284	O02161
Q2V2P1	O02203
P23797	O02207
Q12193	O02208
Q92316	O02209
P38170	O02217
P53305	O02219
Q12025	O02225
P33890	O02238
P53063	O02267
P53753	O02268
Q06631	O02273
P39702	O02274
P17890	O02279
P40102	O02293
Q04368	O02297
Q06651	O02298
P33893	O02300
Q06505	O02323
Q08774	O02327
P40327	O02328
Q08438	O02333
Q05131	O02334
P41939	O02358
P35187	O02365
P02381	O02482
Q12690	O02485
P53757	O02495
P06781	O02592
P12754	O02621
Q12198	O02626
Q06201	O02637
P04912	O02639
P49626	O02640
Q12092	O02641
P21524	O02642
Q99271	O16000
P46983	O16198
P38816	O16202
P38768	O16213
P40892	O16214
P46949	O16215
Q6Q546	O16218
Q3E740	O16242
P20107	O16243
Q3E798	O16246
Q06325	O16254
P32387	O16259
Q07623	O16264
Q12256	O16266
P53855	O16276
P38342	O16291
P53853	O16294
P18961	O16297
P39683	O16298
P34760	O16299
P49955	O16303
P37293	O16310
Q06147	O16311
Q12094	O16313
P10834	O16315
P40022	O16359
P38217	O16364
Q07655	O16366
Q3E7Y3	O16368
P36103	O16369
P35843	O16374
P40167	O16381
P38295	O16393
P38206	O16424
Q06551	O16443
P38992	O16453
P53220	O16454
Q06336	O16458
Q12185	O16466
Q12372	O16467
Q06011	O16486
P38256	O16487
P32788	O16488
P41811	O16500
P40218	O16502
P04817	O16511
P40858	O16517
P38064	O16519
Q12403	O16520
P43563	O16525
Q12468	O16536
P47099	O16573
Q08217	O16580
P17122	O16581
P06182	O16582
Q12373	O16612
P40053	O16619
P43602	O16628
P50276	O16637
Q05506	O16643
P53050	O16649
P38212	O16658
P00729	O16682
P25299	O16695
P38323	O16720
P40459	O16734
P0CX08	O16741
P26798	O16783
P89114	O16784
P20604	O16785
P32841	O16795
P49334	O16850
Q3E742	O16885
P53189	O16887
Q08992	O16922
P53616	O16927
P47046	O16928
Q12117	O16929
P36009	O16932
P0CD98	O16946
P34233	O16948
P32579	O16949
P36525	O16991
P45818	O16997
Q05637	O16999
Q05787	O17003
P32352	O17004
Q04623	O17005
Q06143	O17006
Q03795	O17020
P08459	O17038
P40534	O17040
Q96VH3	O17067
P07270	O17071
P38803	O17072
P38439	O17087
P53756	O17099
Q08905	O17100
Q3E743	O17112
Q04894	O17169
P48238	O17198
Q12010	O17200
Q07533	O17212
P05744	O17214
P34909	O17218
Q3E7Y9	O17229
P33323	O17239
P38791	O17245
P39720	O17253
P25366	O17268
P47183	O17271
P32379	O17286
P25569	O17287
Q12167	O17301
P40038	O17323
P40029	O17328
P14180	O17345
P40573	O17352
P38813	O17373
P28584	O17395
P53083	O17396
Q08647	O17403
P38083	O17405
Q02775	O17406
P18496	O17514
Q12320	O17552
Q05776	O17559
P42936	O17567
P53202	O17568
P33322	O17570
P40574	O17578
P32860	O17580
Q08182	O17581
P07280	O17583
P10659	O17586
P15801	O17587
P53836	O17589
P19516	O17606
P36517	O17607
P53121	O17608
Q01846	O17612
P39705	O17622
P49167	O17626
P48525	O17641
P19358	O17643
P40504	O17644
P46987	O17646
P36004	O17666
P48589	O17670
P25042	O17679
P39079	O17680
Q02205	O17684
P40355	O17685
P37304	O17687
P33199	O17689
P53960	O17693
P06106	O17694
P00431	O17695
P53848	O17725
P50273	O17726
P08432	O17728
P28743	O17731
P21147	O17732
P38732	O17754
P53152	O17757
P22336	O17759
P36094	O17761
P25361	O17772
Q04299	O17776
P53043	O17777
P38881	O17807
P33550	O17817
P53242	O17824
P39009	O17828
Q03718	O17829
P12868	O17835
