Q12511	A0A087WUL8
P38700	O15075
P38925	O15078
P46992	O15084
P36090	O15091
Q06151	O15111
P24583	O15118
Q06208	O15126
P40438	O15127
P47822	O15143
P36131	O15144
P39104	O15145
Q02203	O15151
P32916	O15155
Q12255	O15160
P38992	O15162
P35191	O15164
Q05905	O15169
P53629	O15173
P0CX90	O15182
P32893	O15198
Q12017	O15212
P89886	O15213
P13186	O15218
Q07532	O15226
P33890	O15228
Q03798	O15230
P04173	O15234
Q12346	O15244
Q06405	O15258
P43597	O15260
Q03825	O15265
Q12068	O15269
P36156	O15287
Q12158	O15294
Q02685	O15350
P38767	O15354
P04386	O15355
Q06148	O15357
P08466	O15360
Q02555	O15371
P43558	O15372
Q12504	O15379
P32773	O15381
Q06411	O15393
P32327	O15397
P53176	O15400
P40350	O15431
P40152	O15446
P26798	O15460
P25626	O15479
P0CX58	O15496
P39000	O15498
Q05635	O15503
Q08119	O15504
Q12090	O15511
P38204	O15514
P25380	O15516
Q12748	O15524
Q06668	O15529
P14843	O15530
P38780	O15534
Q12499	O15541
P11746	O15552
P36041	O43143
Q07990	O43148
Q08826	O43149
P18544	O43156
P17883	O43159
P47026	O43164
Q6Q5K6	O43166
P14736	O43167
P41800	O43169
P09435	O43172
P19097	O43175
P38221	O43181
P39706	O43186
P23642	O43189
Q04235	O43237
P35206	O43240
P30771	O43242
P40046	O43251
P00175	O43264
P0CX50	O43290
P38815	O43291
Q04401	O43292
Q08906	O43301
P40434	O43303
Q08273	O43318
P40002	O43324
P40327	O43390
Q12487	O43395
P06838	O43396
Q12477	O43399
P40005	O43402
P38232	O43422
Q12317	O43432
Q04740	O43447
P53173	O43463
P17119	O43464
P53873	O43474
Q12262	O43482
P53233	O43491
P40359	O43493
P43634	O43504
Q04749	O43505
P53109	O43542
P36154	O43557
Q07376	O43559
Q04902	O43561
Q06390	O43586
P03069	O43592
Q05016	O43597
Q08023	O43609
Q3E825	O43612
P38330	O43615
P53062	O43633
P13090	O43638
P53120	O43639
P50944	O43653
P32836	O43660
P47069	O43663
P32461	O43674
P40310	O43676
Q06677	O43678
P36054	O43681
P47976	O43683
P09119	O43684
P53389	O43692
P53881	O43707
P47172	O43711
P31115	O43719
P23202	O43741
P38109	O43747
Q99287	O43752
P0CD91	O43759
P25585	O43760
P0CF17	O43765
P04710	O43776
P38900	O43790
P53040	O43791
P15019	O43795
P0CX48	O43809
P38769	O43813
Q3E829	O43815
Q12167	O43818
P47031	O43819
P34232	O43823
P15365	O43847
P07244	O43852
P15992	O43865
Q03370	O43889
P39979	O43896
P25583	O43909
P32323	O43914
Q12021	O43918
P40547	O43920
P22215	O43929
P53094	O43930
P36104	O60216
P36068	O60231
P43321	O60232
Q00246	O60244
Q3E795	O60245
P36115	O60256
P40150	O60260
P40422	O60264
P07262	O60271
A2P2R3	O60285
Q12269	O60287
Q06597	O60291
Q03653	O60293
P39720	O60306
Q12234	O60307
P38746	O60313
Q08995	O60318
P43570	O60333
P47101	O60336
P38182	O60341
Q03218	O60343
P05740	O60356
P25301	O60361
P40890	O60381
P32178	O60403
P48560	O60427
P35844	O60437
P38966	O60469
Q12508	O60488
P48232	O60493
P38361	O60496
P45819	O60499
Q03434	O60502
P38812	O60503
Q06708	O60504
P14540	O60506
Q08748	O60508
Q08760	O60512
Q3E7Y6	O60518
Q9URQ5	O60563
P40917	O60566
P27809	O60568
P32492	O60573
P48743	O60610
Q08742	O60636
P14908	O60637
P38836	O60645
P43592	O60664
Q05015	O60674
Q08887	O60678
Q03388	O60684
Q9ZZW7	O60701
Q03784	O60704
P23585	O60716
Q05648	O60741
P38692	O60749
Q12296	O60762
P38244	O60763
P39711	O60779
P07271	O60783
P40022	O60784
P17536	O60812
P57743	O60814
P13856	O60826
Q05636	O60829
P40556	O60831
P20447	O60832
Q12267	O60841
Q04210	O60883
P43573	O60884
Q06164	O60885
Q12212	O60895
P06101	O60896
Q03362	O60906
Q12405	O60907
P14180	O60909
P46957	O60911
P00425	O60925
Q05567	O60934
P53970	O60939
P40533	O60941
P40081	O60942
P53045	O75031
Q08387	O75044
P36025	O75051
P25654	O75052
P39106	O75083
P25353	O75084
Q08734	O75096
P53169	O75116
P38627	O75122
P38280	O75127
Q02864	O75131
P39682	O75143
Q03102	O75146
P25294	O75147
Q03373	O75150
P42842	O75152
P40009	O75153
P53134	O75155
P39533	O75165
P03878	O75170
P34246	O75175
P39981	O75177
Q04493	O75179
P38776	O75182
P40509	O75190
P0CY08	O75197
Q12434	O75208
P00128	O75251
Q12117	O75306
Q12380	O75323
Q02256	O75340
Q92316	O75342
Q05924	O75344
Q01976	O75347
Q3E790	O75365
Q06706	O75367
P41806	O75368
P11978	O75369
P40161	O75376
P54787	O75379
Q02804	O75380
P16523	O75381
P41816	O75385
P05626	O75386
P40486	O75390
Q06108	O75396
Q08054	O75398
P53136	O75400
Q03629	O75409
P47187	O75419
P43616	O75420
P53208	O75431
P54885	O75436
P53079	O75439
P38123	O75446
Q12418	O75448
P38759	O75461
Q3E798	O75462
P32449	O75475
Q06263	O75477
P24870	O75478
P40451	O75487
P17555	O75489
Q99181	O75494
Q06991	O75496
Q04549	O75525
P32472	O75528
Q03205	O75529
P47047	O75530
P38996	O75531
P06103	O75533
P40154	O75534
Q08910	O75553
P36150	O75554
Q99271	O75556
P37262	O75558
P40362	O75569
P43599	O75575
Q3E776	O75581
P53950	O75582
P07248	O75592
P29340	O75593
P39007	O75604
P32899	O75607
Q06705	O75616
P25567	O75643
P38302	O75648
O13577	O75663
P13134	O75665
P38176	O75674
Q12069	O75676
P53941	O75683
P38266	O75688
Q12040	O75691
Q07938	O75694
P53255	O75695
P40107	O75716
Q12222	O75717
P38851	O75746
Q07534	O75771
P30902	O75787
P40893	O75791
P40507	O75821
P40037	O75822
P32491	O75832
P25338	O75838
Q6B2I9	O75841
P33448	O75844
P40571	O75874
P39953	O75886
P32489	O75897
Q07967	O75909
Q99186	O75915
Q06106	O75925
P18238	O75928
Q01163	O75934
Q05031	O75935
P34111	O75937
Q3E752	O75940
P07252	O75947
P0CF34	O75953
Q07418	O75955
P32609	O75964
P40476	O75976
P21651	O76003
P53894	O76011
P0CX13	O76014
P21801	O76015
Q04062	O76021
P43623	O76024
Q03016	O76031
P39960	O76064
P13433	O76071
P53965	O76081
Q02642	O76094
P29311	O94761
Q3E826	O94762
P53072	O94763
P38872	O94766
Q12329	O94776
P33894	O94782
P50084	O94805
P69851	O94822
Q07555	O94826
P32573	O94829
P41813	O94832
P40317	O94842
P40395	O94844
Q03177	O94854
P48836	O94874
P53128	O94886
P38130	O94888
P05375	O94901
Q04712	O94903
Q03735	O94905
Q06506	O94906
Q03482	O94919
P42942	O94925
Q12139	O94927
P53916	O94955
P47145	O94964
Q03231	O94966
P40016	O94972
Q05931	O94973
Q03103	O94979
Q12194	O94985
P38264	O94992
P51533	O95047
Q04472	O95070
P53165	O95071
P09950	O95104
P39014	O95147
Q01532	O95155
P14693	O95159
P23643	O95163
Q07471	O95166
Q05809	O95167
P35196	O95169
Q12146	O95182
P40471	O95183
P05373	O95197
Q12112	O95198
Q12063	O95202
P38957	O95214
P50109	O95218
P39724	O95229
Q07830	O95231
P47089	O95232
P32349	O95235
P38624	O95243
P22943	O95248
P25587	O95249
Q12179	O95251
Q99315	O95257
D6VPM8	O95260
P39005	O95271
P53068	O95273
P47041	O95274
P00924	O95292
Q04322	O95295
P25365	O95297
P47179	O95298
Q07655	O95299
Q04067	O95347
P23255	O95352
P33401	O95363
P38928	O95365
Q12432	O95373
P36120	O95376
P53895	O95377
P40056	O95391
P36087	O95393
Q01159	O95400
Q05919	O95402
P38782	O95425
Q06449	O95429
P20084	O95433
P39677	O95453
P38839	O95456
P38866	O95466
P38427	O95470
Q99252	O95471
P0CX34	O95478
Q06266	O95486
P38710	O95487
P32605	O95503
P54838	O95573
P40060	O95600
P37297	O95602
Q04632	O95613
P33332	O95619
Q06134	O95625
Q12257	O95630
P38878	O95644
P53262	O95672
Q08448	O95674
P53871	O95677
P16622	O95678
P47090	O95684
Q03758	O95696
P23287	O95711
P33122	O95714
P38854	O95718
Q06648	O95721
Q08269	O95747
P38632	O95751
Q12680	O95757
P38793	O95758
P47139	O95777
P26754	O95782
P39002	O95785
P40499	O95789
P53741	O95793
P21190	O95801
P60010	O95816
P33311	O95817
P23542	O95819
P32481	O95831
P40526	O95833
P46995	O95835
A5Z2X5	O95858
P33336	O95861
P40212	O95863
P33893	O95870
P37254	O95872
Q08959	O95881
P25642	O95886
Q08651	O95897
Q04670	O95900
Q04301	O95905
P35197	O95967
Q04458	O95968
P40335	O95977
Q06685	O95983
P27999	O95985
P32452	O95989
P32337	O95994
P40086	O95995
Q12407	O96000
P39006	O96005
P31381	O96006
P20459	O96008
Q08581	O96009
P15454	O96013
Q08299	O96017
P11633	O96019
Q12365	O96028
Q03705	P00167
P25623	P00338
P25648	P00367
Q05791	P00374
P09959	P00387
P41733	P00390
P00498	P00403
P14742	P00441
P36066	P00492
Q03824	P00505
P50090	P00519
P05743	P00533
P53285	P00540
P12383	P00558
P47165	P00738
P47034	P00747
P38234	P00966
Q04706	P01009
P38927	P01011
P40433	P01023
P40959	P01024
P47142	P01036
P32864	P01037
Q12206	P01040
P39001	P01100
P02829	P01106
Q04368	P01111
P53865	P01112
P39986	P01116
P46955	P01127
P32317	P01130
P0CX81	P01135
P11709	P01137
P09733	P01308
P12683	P01375
Q08347	P01591
Q12293	P01730
Q03148	P01732
P33891	P01833
Q08484	P01834
Q12462	P01857
P40508	P01859
P23493	P01871
Q06001	P01876
P07286	P01877
Q05785	P01889
P26309	P01903
P39111	P01909
P32341	P01911
Q08902	P01920
Q12395	P02452
P36057	P02489
Q08641	P02511
Q02884	P02533
Q03161	P02538
Q12159	P02545
P32629	P02647
P24867	P02649
Q3E7B2	P02652
P42934	P02671
P32602	P02675
Q04847	P02679
Q03494	P02686
P36162	P02724
P38229	P02746
P35732	P02751
Q3E801	P02763
Q08907	P02765
Q9P305	P02766
P32473	P02768
P04801	P02786
P06208	P02787
Q06616	P02788
Q3E794	P02790
Q05359	P02792
P33749	P02794
Q07468	P03372
P38272	P04004
Q3E763	P04035
P40043	P04040
P00546	P04049
P53721	P04062
Q12386	P04075
P25619	P04080
P32861	P04083
P87284	P04114
P14680	P04150
P40099	P04179
P52919	P04181
P06738	P04183
P33442	P04198
Q06159	P04201
P53974	P04233
P38317	P04234
Q08979	P04259
P40450	P04264
P25341	P04271
P0CE00	P04279
P40185	P04350
P43577	P04406
Q07878	P04439
P52491	P04440
P22204	P04626
P43588	P04629
P38890	P04632
P05750	P04637
Q02821	P04792
Q08817	P04808
P39079	P04843
P35169	P04844
P07143	P04899
Q03862	P04908
Q12084	P04920
P38707	P05023
Q07622	P05026
P10591	P05067
P40006	P05089
P53886	P05090
P38699	P05091
P21306	P05109
P50275	P05114
P38142	P05120
P09734	P05141
P05755	P05161
P47153	P05165
P21657	P05166
P36024	P05187
P15938	P05198
Q12697	P05204
Q06639	P05362
P40850	P05386
P23293	P05387
P38779	P05388
P40460	P05412
P23797	P05423
P0CX84	P05455
P53172	P05556
P06843	P05771
P20604	P05783
P08018	P05787
P38208	P05981
P30402	P06126
P40328	P06213
P50111	P06239
P31382	P06241
P25374	P06396
P40485	P06400
P38291	P06454
P43609	P06493
P35189	P06576
P15442	P06702
P04821	P06703
P53900	P06730
P0CX53	P06733
Q03178	P06737
P25303	P06744
P25586	P06748
P53091	P06753
O74700	P06756
P52960	P06865
Q06543	P06899
P36151	P07099
P38219	P07195
P47082	P07196
Q04431	P07197
P39552	P07199
P53297	P07237
Q12753	P07305
P53193	P07307
P32479	P07339
Q07653	P07355
P15703	P07384
P38074	P07437
Q03529	P07476
P53933	P07498
P27637	P07550
P53853	P07711
P50085	P07737
Q3E842	P07741
P32944	P07814
Q03406	P07858
P32588	P07900
P36105	P07910
P38745	P07919
Q04868	P07942
Q01454	P07947
Q05080	P07948
P38749	P07949
P35201	P07951
Q05040	P07954
P21182	P07996
P43534	P08034
Q02647	P08069
P27654	P08133
P27466	P08134
Q06350	P08151
P32584	P08173
P32895	P08195
P38999	P08237
Q00402	P08238
P53191	P08240
P53834	P08243
P25613	P08247
Q04623	P08311
P53119	P08473
P38112	P08559
P50105	P08574
P53256	P08579
P40825	P08581
P53244	P08603
P38886	P08621
P38137	P08631
P38771	P08648
Q12013	P08651
P28795	P08670
P07283	P08708
P40541	P08727
Q06632	P08754
Q12363	P08758
P36004	P08779
Q02767	P08962
P50873	P09001
Q08235	P09012
P38089	P09067
P43633	P09104
P38202	P09132
P47025	P09211
P47083	P09234
Q03640	P09382
P35194	P09429
Q08172	P09466
P05318	P09467
P0CF19	P09471
P39998	P09493
P39727	P09496
P53286	P09497
P36101	P09543
P40312	P09601
P39966	P09619
P46654	P09622
P14126	P09651
P36146	P09661
P18852	P09669
P47102	P09758
Q02724	P09874
P40497	P09884
P54783	P09936
Q12457	P09958
P40529	P09972
Q01080	P0C0S5
Q03002	P0C0S8
Q12163	P0C1Z6
P53748	P0C2W1
Q03213	P0C5Z0
Q06549	P0C6T2
P41948	P0C7H8
P40560	P0C7P0
Q08929	P0C7T5
P40151	P0C7X2
P46969	P0CG20
Q12440	P0CG37
P38319	P0CG38
Q02732	P0CG47
P0CS90	P0CG48
P53822	P0DI81
Q3E7A0	P0DMU8
P16370	P0DMV8
P38013	P0DMV9
P08964	P0DP23
P32325	P0DP24
Q00916	P0DP25
Q06625	P0DPA2
P39992	P0DPB6
P39548	P0DPH7
P53616	P0DPI2
P29467	P0DTE8
P38688	P0DW28
Q12099	P10074
P39521	P10075
P10823	P10147
P36040	P10155
Q04399	P10244
P39721	P10253
P06782	P10275
Q12199	P10276
P22217	P10321
P51998	P10398
P07270	P10412
P0CX75	P10415
P40475	P10451
P53158	P10515
P36018	P10586
P18759	P10599
Q04214	P10606
Q12015	P10619
Q12425	P10620
P36081	P10636
P25719	P10644
P15380	P10721
P32485	P10809
Q12498	P10827
P38723	P10909
P25443	P11021
Q12470	P11047
P53838	P11117
P30822	P11142
P21524	P11166
Q12155	P11172
P31412	P11177
P40492	P11182
Q08199	P11216
P06773	P11217
P05316	P11233
P08153	P11274
Q05506	P11279
P21623	P11308
P47084	P11310
Q02795	P11362
P53254	P11387
P02406	P11388
P53734	P11413
P32381	P11441
P38271	P11473
P32578	P11498
Q12039	P11532
P49686	P11586
P39547	P11686
P08524	P11717
P32386	P11802
P25454	P11908
P24719	P11912
P13393	P11940
P00360	P12004
P0C2J3	P12035
P46973	P12081
P31379	P12109
P0CY07	P12110
P31373	P12235
P32380	P12236
P48570	P12268
P25632	P12270
Q03012	P12273
P25605	P12277
P53719	P12532
Q06156	P12644
P50942	P12694
P35181	P12755
P22007	P12757
P32583	P12814
Q06179	P12830
Q08471	P12883
P39723	P12931
P19454	P12956
P37838	P13010
P32799	P13073
P25560	P13164
P32858	P13196
P39975	P13284
P16639	P13473
Q06834	P13489
P43598	P13497
Q06608	P13501
P38181	P13569
Q12136	P13612
Q04651	P13637
P38988	P13639
P48237	P13645
P53296	P13646
P39967	P13647
Q04087	P13667
Q03246	P13674
P06776	P13693
Q04978	P13747
P24521	P13796
O75012	P13797
P18851	P13804
Q04893	P13805
Q12485	P13807
P43638	P13861
Q08187	P13929
Q2V2P9	P13984
Q06522	P13987
P53939	P14136
P06775	P14138
P36421	P14174
P53868	P14314
P25040	P14316
P14743	P14324
P32361	P14373
Q99188	P14406
P38751	P14416
P35187	P14618
P18239	P14625
Q06096	P14635
P38212	P14649
P07260	P14678
P25385	P14735
P38242	P14770
P48606	P14859
P47017	P14866
P40011	P14867
P39705	P14868
P43639	P14923
P47049	P14927
Q08951	P15056
P40483	P15104
P40969	P15151
P29295	P15153
P38792	P15170
P0CX99	P15173
Q05131	P15289
P11353	P15309
P46679	P15311
P38921	P15313
Q12481	P15328
Q06568	P15336
P25298	P15374
Q08268	P15408
P38293	P15498
P29509	P15531
Q92317	P15586
P40550	P15622
P38799	P15735
Q12382	P15822
P53914	P15880
P38623	P15884
Q08972	P15924
Q06142	P15927
Q04767	P15941
Q12367	P15954
Q3E6R5	P15976
P38817	P16070
P53874	P16104
P38172	P16144
P43602	P16152
Q03935	P16220
P33767	P16234
P38213	P16260
P40573	P16278
Q03308	P16333
P38126	P16389
P40348	P16401
P34247	P16402
P38263	P16403
P05085	P16410
P53854	P16435
P53932	P16473
P38630	P16615
P47156	P16949
P09064	P16989
P0C2J0	P17026
P53093	P17028
P47075	P17066
P14681	P17081
P00927	P17096
Q04007	P17152
P09620	P17174
P25342	P17252
Q03667	P17275
P53973	P17302
P38174	P17480
P19955	P17482
P38180	P17568
P15873	P17612
P00163	P17655
P46972	P17661
P0C0W1	P17676
P25580	P17693
P32855	P17706
Q03723	P17787
P38426	P17812
P49687	P17813
P38249	P17844
P36124	P17858
P40515	P17931
P34760	P17980
P25491	P17987
P38853	P18031
P53187	P18075
P36013	P18077
Q12428	P18084
Q06338	P18085
Q99207	P18124
P16550	P18206
P38971	P18433
Q12153	P18583
Q02792	P18621
P53168	P18669
P36148	P18754
Q03236	P18847
Q06821	P18848
P40985	P18850
P47159	P18858
P40527	P18859
Q08831	P18887
Q02773	P19012
P47177	P19022
Q03695	P19075
Q06211	P19105
P40528	P19174
P49626	P19320
P06634	P19338
P11154	P19367
Q12046	P19387
P43621	P19388
Q03144	P19397
Q12513	P19404
P53060	P19419
P25515	P19438
P40059	P19447
P39073	P19474
P25348	P19525
P39549	P19634
P15790	P19784
P32849	P19793
P35183	P19823
P39107	P19838
Q99303	P19971
P38998	P20020
Q12107	P20036
P0CX46	P20042
P27705	P20073
Q03322	P20226
P69850	P20248
P38201	P20309
P10862	P20333
Q08162	P20339
P47122	P20618
P47005	P20648
P07884	P20671
P38301	P20674
P32639	P20700
Q3E760	P20718
Q12252	P20719
P53227	P20827
Q04120	P20839
Q03707	P20848
P08019	P20929
P47137	P20936
P53283	P21127
Q06032	P21246
P38254	P21266
P52553	P21281
P38090	P21283
P10659	P21333
P50947	P21359
P32451	P21453
P0CE69	P21462
P34163	P21580
P53264	P21589
P36145	P21675
P50861	P21709
P21672	P21730
P16861	P21796
P47136	P21802
Q12018	P21860
P38339	P21912
P17695	P21964
P23180	P21980
P53507	P22059
P02992	P22061
P15180	P22087
P47180	P22090
O13539	P22102
P32585	P22234
Q05568	P22304
P21951	P22314
P53064	P22392
P00424	P22455
P25627	P22492
P38297	P22607
P36143	P22612
P34909	P22626
P17505	P22681
P38814	P22694
Q07844	P22695
Q04272	P22735
Q06213	P22736
Q08457	P22830
P38709	P23025
P46958	P23142
P53830	P23193
P53878	P23229
Q04947	P23246
P19880	P23258
P24869	P23284
P53685	P23352
P0CX26	P23378
P53959	P23381
Q02892	P23396
P38338	P23443
P25339	P23458
P36019	P23468
Q03306	P23497
P39008	P23508
Q03786	P23511
Q07651	P23526
P47977	P23527
Q04693	P23528
Q04439	P23588
P10174	P23634
Q99296	P23921
P50263	P24158
P38316	P24385
P47085	P24390
P40098	P24468
Q12106	P24522
P41821	P24534
Q12417	P24539
P53108	P24593
P32344	P24666
P47135	P24863
P20840	P24864
Q04491	P24928
Q00684	P24941
Q12344	P25054
P38819	P25090
P25616	P25103
P50102	P25205
Q08412	P25311
P0CX38	P25398
P38882	P25440
P28834	P25490
P32521	P25685
P36001	P25686
P33298	P25705
Q06071	P25774
P38080	P25786
Q06596	P25787
P50101	P25788
P32787	P25789
Q06671	P25791
P39003	P25800
Q01590	P25815
Q04410	P25942
Q03254	P25963
P35691	P26038
P36014	P26045
P38828	P26196
P40480	P26358
P38634	P26367
P22138	P26368
Q01560	P26373
P28005	P26447
P48240	P26583
Q07457	P26599
P06104	P26639
P53935	P26640
P22137	P26641
P40165	P26678
P53271	P26715
P53819	P27037
P36027	P27105
P08004	P27144
P33297	P27348
P47037	P27361
P38826	P27448
P24280	P27449
P28708	P27482
Q12152	P27487
P38310	P27540
P24783	P27635
P36149	P27658
Q12749	P27694
P38313	P27695
Q02260	P27797
P05747	P27816
Q03280	P27824
P27472	P27986
P53051	P28062
Q08969	P28065
P15705	P28066
Q05050	P28070
P27895	P28072
P38748	P28074
P43596	P28288
Q06336	P28289
Q12486	P28290
P15891	P28331
Q12248	P28335
Q04602	P28340
P10963	P28370
P19414	P28482
Q08905	P28562
P38695	P28799
P0CX60	P28838
Q12232	P29016
P53294	P29033
P32939	P29034
A0A0B7P3V8	P29083
P40517	P29084
P33200	P29144
P38889	P29317
P40466	P29350
P32599	P29353
P37261	P29371
Q08773	P29372
P40057	P29374
P09938	P29508
P08518	P29590
P11914	P29597
P17065	P29692
Q06337	P29966
P32770	P29972
P47032	P29992
Q06247	P30038
P53961	P30040
P07170	P30041
P40091	P30044
P38697	P30048
P48568	P30049
P16862	P30050
Q12165	P30084
Q03262	P30085
P00410	P30086
P13586	P30101
P53261	P30153
P38863	P30154
P38262	P30203
Q92331	P30260
P38066	P30273
Q02201	P30279
P32487	P30304
P53751	P30305
Q12745	P30307
P38773	P30405
Q12245	P30419
P53755	P30511
P53218	P30518
P31383	P30519
Q08970	P30520
P38690	P30530
P39702	P30533
Q3E731	P30556
P50896	P30566
Q06508	P30622
Q03713	P30825
P00815	P30837
P47022	P30838
P32447	P30876
Q12219	P30926
P38152	P31025
Q08962	P31040
P89114	P31146
Q01722	P31150
Q01846	P31151
P40084	P31153
Q07084	P31273
P33296	P31321
Q06489	P31323
P40325	P31327
P15303	P31689
P32502	P31749
Q04772	P31751
P32910	P31930
P34225	P31937
Q08971	P31939
Q12118	P31942
Q01939	P31943
P34164	P31944
P32897	P31946
P38724	P31947
P32835	P31948
Q03660	P31997
P38629	P32119
P07257	P32121
P38849	P32189
P38085	P32241
Q01476	P32242
P00431	P32246
Q12523	P32322
Q3E791	P32780
P14127	P32969
Q03407	P32970
P36164	P32971
Q06251	P33151
P23638	P33176
Q08193	P33240
Q12189	P33316
P43590	P33527
Q04516	P33681
P53551	P33778
P25377	P33947
P39707	P33981
Q00539	P33991
P19659	P33992
Q08723	P33993
Q03289	P34059
P53832	P34741
P53869	P34896
P07245	P34897
P48813	P34925
P06704	P34931
P00358	P34932
P38633	P34947
P07261	P34972
P53855	P35052
Q06109	P35080
P38248	P35221
P40457	P35222
P06169	P35226
P53749	P35227
P40568	P35232
P23641	P35240
Q07657	P35241
Q3E754	P35244
P32794	P35249
P21705	P35250
P45976	P35251
Q05946	P35268
P00899	P35269
Q02825	P35270
P39108	P35372
P25297	P35414
P38816	P35499
P32480	P35520
P42844	P35527
P43620	P35548
P46983	P35558
P32435	P35568
P39709	P35573
P25694	P35579
P36519	P35580
P19735	P35606
P33329	P35609
P40061	P35610
P22035	P35611
P43603	P35613
P41734	P35625
P40462	P35637
P48015	P35638
P48231	P35658
P47130	P35659
P40360	P35711
Q06836	P35749
Q06497	P35813
P32786	P35869
P53628	P35908
Q08989	P35916
P31334	P35998
P47042	P36406
P38827	P36507
P53332	P36508
P32628	P36542
P53753	P36543
P32505	P36578
Q05827	P36639
Q02629	P36776
Q01802	P36871
P20424	P36873
P40989	P36894
P25607	P36896
Q08975	P36897
P32363	P36941
P38744	P36952
P39995	P36954
P32902	P36957
P36534	P37108
P19658	P37173
P34223	P37198
P53333	P37231
P53823	P37235
P0CX73	P37268
Q12369	P37275
Q12466	P37802
P53137	P37837
Q12445	P37840
Q03212	P38117
P28274	P38159
P02407	P38398
P38903	P38432
P52593	P38606
P22336	P38646
P53276	P38919
P11745	P38936
Q04500	P39019
P0CX45	P39023
P38087	P39060
P32563	P39656
P39538	P39687
Q12221	P39748
Q07807	P40222
Q03018	P40227
P33413	P40259
P38312	P40306
Q06440	P40337
P53949	P40426
Q08208	P40429
P54007	P40616
P38075	P40692
Q12270	P40763
Q08227	P40818
P12868	P40855
P50278	P40925
Q03466	P40926
P25270	P40937
P38616	P40938
P07278	P40939
P32909	P41002
P56628	P41091
Q12215	P41146
Q08750	P41181
P35176	P41182
P53311	P41208
Q02875	P41218
Q07786	P41219
P32612	P41220
P48365	P41223
P35724	P41227
Q05789	P41229
Q12246	P41231
P07253	P41240
P52918	P41250
P38968	P41252
P36147	P41273
Q96VH5	P41587
Q08732	P41743
P32839	P42025
Q12230	P42166
P00445	P42224
Q12439	P42229
Q12072	P42285
P34233	P42336
P38820	P42345
P09798	P42356
Q04049	P42357
P29539	P42566
P53976	P42568
P38122	P42574
P20435	P42677
