A0APW9	A0A075B5T3
Q9VWI1	A2AGH6
Q95RR1	A2AGL3
Q9Y091	A2AGT5
Q9VQ66	A2AGX3
Q8MST3	A2AH22
Q8SX86	A2AHC3
Q9VVG1	A2AHG0
Q9VBD6	A2AHJ4
Q9VW53	A2AHL1
Q9VVX3	A2AI05
Q9VFP5	A2AIE7
Q9VFA0	A2AIL4
Q9VLB7	A2AIV2
Q7JZK6	A2AIV8
Q9VLH9	A2AJ15
X2JD62	A2AJ76
Q9VEQ2	A2AJ88
Q8MRW1	A2AJA9
P26686	A2AJI0
Q9VCX1	A2AJK6
Q9VG24	A2AJQ3
Q9VJ10	A2AJT4
Q86BM4	A2AJX4
Q9VQH2	A2AKB4
Q9VY20	A2AKB9
P25028	A2AKG8
Q9VG62	A2AKQ8
P46461	A2AKX3
Q9VFD1	A2AKY4
Q9VS48	A2AL36
Q9W1H8	A2ALK8
Q7JYV7	A2ALS5
Q9VSM9	A2ALU4
Q9W0F4	A2ALW5
Q9VFW4	A2AM29
A1Z7W1	A2AMM0
Q94517	A2AN08
Q4V6L8	A2ANN7
Q9VG28	A2APA5
Q9VJ61	A2APB8
Q9VHG0	A2APF3
Q9VQY9	A2APV2
P22265	A2APX8
Q9VNI8	A2AQ07
Q9VST2	A2AQ19
Q9V468	A2AQ25
Q4ABK3	A2AQA1
Q95T70	A2AQH4
Q9VA70	A2AQP0
Q960V3	A2AQW0
Q9VJQ3	A2AR02
A8DYK6	A2ARA8
Q9VFW5	A2ARK0
Q7KSP9	A2ARP1
Q7JZR0	A2ARV4
Q9W2R2	A2ARZ3
Q9VJ85	A2ASI5
Q7K4H4	A2ASQ1
Q9VPR5	A2ASS6
Q9VUR5	A2ASZ8
Q95R73	A2ATY4
A1ZAH3	A2AUC9
Q8MR31	A2AUM9
O61366	A2AVA0
A1ZA77	A2AWA9
Q9VSR3	A2AWL7
Q7KT68	A2AWP0
O76895	A2AWP8
Q9VE97	A2AX52
Q8MR04	A2BE28
Q9VQU9	A2BH40
Q9V490	A2CG49
Q9W2E1	A2CG63
Q9VSY0	A2NV19
Q9VCU8	A2RRY8
Q95SK3	A2RSJ4
Q9VWF5	A2RSQ0
Q9VQT5	A2RSY1
Q1LZ08	A2RSY6
Q9VEV3	A2RT62
Q9VRJ7	A2RT67
Q9V813	A2RTF1
Q9VGX0	A2RTL5
Q9W2S3	A2TJV2
Q9VVA6	A2VDH7
Q868T3	A3KFM7
P43248	A3KGB4
Q9VSM8	A3KGF7
Q9W497	A3KGK3
Q8MQJ8	A3KGS3
Q9W0P4	A3KGV1
Q9I7L1	A3KGW5
Q9VUC7	A3KMN5
Q9VJ90	A4FUP9
Q7K4B6	A6BLY7
Q8IMM9	A6H5Y3
Q9VIN5	A6H5Z3
Q9W1T0	A6H611
Q9VF85	A6H648
Q9VJZ9	A6H687
Q9VJ45	A6H6A9
P07247	A6H6T1
Q9VXK0	A6H8H2
Q24041	A6H8H5
Q9VK68	A6PWA5
Q9VT75	A6PWY4
Q9VU56	A6X935
C5I7E8	A6X942
Q9VV58	A7UAK8
Q8IPT9	A7XUY5
P07189	A8C756
Q7K3Z3	A8DUK4
Q8IP68	A9Z1V5
Q9VD13	B0V2N1
Q9VCW1	B1AQ75
Q9W4K8	B1AQJ2
Q9VCB6	B1AR13
Q9VK83	B1ART1
Q9I7F7	B1AT98
Q8SXK2	B1AUE5
Q9VVI9	B1AUH1
A1Z9S8	B1AUR6
Q9V5R2	B1AV75
Q9W0Y2	B1AVB3
Q9VW82	B1AVY7
Q9VW93	B1AWL2
Q9VE51	B1AWN6
Q9VL69	B1AX39
Q9VRX6	B1AXH1
Q05192	B1AY10
Q9VID7	B1AY13
Q7KMJ6	B1AZI6
Q9VLK2	B1AZP2
Q9VLG0	B2RPU8
Q9V3A9	B2RPV6
F0JAT1	B2RQA7
Q9VCW5	B2RQC2
Q9V3P3	B2RQE8
Q9VFE4	B2RQG2
Q9V3Y3	B2RQL2
Q9V3D7	B2RQR8
Q9Y105	B2RR24
Q9VU77	B2RR83
Q9VMF3	B2RRD7
Q9VJU8	B2RRE4
Q9Y125	B2RRE7
Q9VUL4	B2RRF6
Q9VYG8	B2RSH2
Q8T6L6	B2RU80
Q9VN89	B2RUJ5
B9A0M7	B2RUR8
Q9VDD9	B2RUS7
Q24077	B2RW38
Q95RR8	B2RWS6
Q9VG98	B2RX14
Q9VWL4	B2RX88
A1ZBF6	B2RXB2
Q9VPP7	B2RXC5
A1Z9E4	B2RXQ2
Q4V4S6	B2RXR6
Q7JVK6	B2RXS4
A1ZB86	B2RXT3
Q9VD07	B2RXX5
A1Z7L0	B2RY04
Q9VED4	B2RY56
P41900	B5KM66
Q9VH45	B5TVM2
Q9VAK3	B5X0E4
Q9VMU0	B7ZMP1
Q8MZ03	B7ZN02
O76877	B7ZN57
B4YWD6	B7ZNG0
Q9VAM5	B7ZNG4
Q9VLJ7	B7ZNL9
Q7JUZ0	B8QI36
Q8T8Y5	B8ZXI1
Q9VJC5	B9EHI3
Q9VNU2	B9EHT4
Q9VUK8	B9EJ54
Q9VUJ2	B9EJ80
Q9W1G4	B9EJ86
Q9VZJ1	B9EJA2
O97064	B9EKF7
Q9W1K4	B9EKI3
Q9VGI1	B9EKR1
Q9VHE4	B9EKX1
Q9VFV6	C0HKD9
Q95UN8	C0HKE1
Q9VZQ4	C0HKE2
Q08694	C0HKE3
Q9VUP0	C0HKE4
Q9VQB7	C0HKE5
P12297	C0HKE6
Q7JRA7	C0HKE7
Q9VNH2	C0HKE8
Q9VHN9	C0HKE9
Q9V7Y2	C6KI89
Q9VAK8	C8YR32
Q8T3U8	D3YU57
P22815	D3YU81
A1Z7M6	D3YUG0
P81914	D3YUR8
Q6IG80	D3YV10
Q9VJN4	D3YVF0
Q9V9X1	D3YWE6
Q7K2R3	D3YWQ0
P48554	D3YXK2
Q7K5K9	D3YXS5
Q9VI49	D3YYM4
Q9VQK3	D3YYY8
Q8MT48	D3YZG8
Q9VX15	D3YZP9
Q24188	D3YZU1
Q9VF80	D3YZV8
Q7JZ53	D3YZZ5
Q9VWK3	D3Z0M9
A1Z787	D3Z0R2
Q9VLN6	D3Z2H9
Q9VNX8	D3Z2R5
Q9V3X5	D3Z2X2
O18334	D3Z3K2
Q058W1	D3Z4I3
Q9V3R3	D3Z4R1
Q9VDU4	D3Z4R4
Q9VMB8	D3Z4Z0
Q9VWH2	D3Z5S8
Q9VZ24	D3Z624
Q7JQW6	D3Z6Q9
Q9VFI3	D3Z6S9
Q9VYN0	D3Z6Y3
Q9VG93	D3Z750
L7EET3	D3Z7B1
Q8SX81	D3Z7B5
Q59DN5	D3Z7P3
A1ZBX4	D3Z7X0
Q9VUH7	D4AFX7
Q9VBS7	D6RHB7
Q7JW01	D6RIJ8
Q9VX32	E0CXB3
Q95SH2	E0CXN7
Q9V452	E0CZ16
C0PV67	E1U8D0
Q9W2Q1	E5FYH1
A1ZBU7	E9PUD6
Q2PDR0	E9PUL5
A9YGV6	E9PUQ8
Q8I044	E9PV24
P07663	E9PVA8
Q9VJK1	E9PVB3
Q9VLN8	E9PVB5
Q9W5D6	E9PVD1
D2A6L8	E9PVD3
Q8MZ67	E9PVX6
Q9VTX1	E9PW37
Q9VMC4	E9PWB6
Q8MRT2	E9PWM3
Q9VXC6	E9PWT2
Q9W511	E9PX95
Q9VXP5	E9PXF8
Q9W1L7	E9PY14
Q9W127	E9PY16
Q4QPR8	E9PY46
Q9VGC2	E9PYH6
Q7KJ69	E9PYI1
Q8WSF3	E9PYL2
Q9W534	E9PZ19
Q9VES7	E9PZ36
Q9VUM2	E9PZJ8
Q9VMS2	E9PZM4
Q9VHG6	E9PZQ0
Q9VRU2	E9Q0B6
Q24093	E9Q0S6
Q9VL65	E9Q1P8
A0A6F7UCJ3	E9Q1W3
Q27368	E9Q286
Q9VD49	E9Q2I4
Q9W4B3	E9Q2M9
Q8IN43	E9Q2S7
Q9VF70	E9Q2W8
B6VQA1	E9Q394
Q8IQ13	E9Q3G0
Q9W4E4	E9Q3L2
Q9VJ94	E9Q3S4
A1XXK2	E9Q401
Q9VXS6	E9Q414
Q9VPY9	E9Q4F7
P20028	E9Q4N7
Q9VMD6	E9Q4P1
Q9W474	E9Q4Z2
Q7K508	E9Q555
Q6NP71	E9Q557
Q9VHL4	E9Q585
P11596	E9Q5C9
P10040	E9Q5F9
Q6ILA6	E9Q5G3
Q9VJU1	E9Q5K9
Q8MTA6	E9Q5M6
Q9VWR0	E9Q5Z5
Q9W1G1	E9Q612
Q9VRI1	E9Q616
Q9VBA1	E9Q624
E1JIB9	E9Q634
Q9VRN0	E9Q6A7
Q9VNY7	E9Q6B2
Q9N9Y9	E9Q6D6
O46102	E9Q6J4
Q7KS16	E9Q6J5
Q9VP27	E9Q6P5
P35128	E9Q6R7
Q05783	E9Q6X9
Q7K084	E9Q735
A1ZAE2	E9Q740
A1Z7V9	E9Q777
Q8T092	E9Q784
Q2PDQ9	E9Q7D5
Q8MQZ8	E9Q7E2
Q9VGV8	E9Q7F2
Q9VKG8	E9Q7G0
A0A0B4K6G0	E9Q7X6
Q9V434	E9Q8D0
F3YD67	E9Q8I9
Q9VZA8	E9Q8Q6
Q9VZT5	E9Q912
Q7K159	E9Q9A9
Q9VD81	E9Q9K5
Q9VKK2	E9Q9R9
Q9VU15	E9QA62
Q8SXP1	E9QAE3
Q9VVM2	E9QAG8
Q86BJ3	E9QAM5
Q95TN1	E9QAP1
Q8INS9	E9QAP7
Q8T9A4	E9QAT4
Q4V6C1	E9QM90
Q9W4R9	F2Z426
A1ZB19	F2Z4A3
Q06559	F6PZ19
Q9VZK7	F6QTX1
Q9VR62	F6RR19
Q9I7K8	F6SEU4
Q95V52	F6VAN0
M9PHS6	F6X3X7
Q9W0Y6	F6XVL5
Q24478	F6ZDS4
M9NDU3	F7A4A7
Q8SYC1	F7B5B5
Q9VVM6	F7BAB2
Q9VSL5	F7BJB9
Q9NDM2	F7CUW7
O77438	F7D4U1
Q9VZ02	F8VPN2
A8JNV1	F8VPP8
Q8IRI4	F8VPU2
Q7K1I4	F8VPZ3
Q9W5H1	F8VPZ9
Q9VDR4	F8VQ70
A1Z8N1	F8VQB6
B7Z0I8	F8VQG7
Q9VML9	F8VQN3
Q9VS78	G3UW82
A1ZAH1	G3UYX5
P25455	G3X8W1
Q9W042	G3X912
Q9VCT2	G3X939
E1JIQ5	G3X9C2
Q9VUD1	G3X9J0
Q9VKC7	G3X9K3
Q0E8U8	G3X9P9
Q9VL77	G3XA30
Q9VZG0	G3XA57
Q9VXA5	G3XA59
Q8T0D1	G5E829
A1ZAD2	G5E861
Q9VVX0	G5E870
Q9VP06	G5E897
Q4QPY7	G5E8B9
Q9VQU8	G5E8E3
Q9VLP3	G5E8K5
Q9VP53	G5E8P0
P83088	G5E8P1
Q9VDV5	G5E8Q8
Q7KTF9	G5E8V9
Q7KK96	H3BL64
Q9VZR2	I6L978
Q8SYD0	J3KMS6
M9NGR9	J3QM48
D3DN23	J3QMC5
A1Z9E9	J3QMC7
Q9VXY9	J3QN49
Q9VWB9	K7N641
Q86B58	K7N660
Q9W228	L0N7N1
Q7KSE4	L7N1X6
Q9VFR8	M0QW46
O44081	O08528
Q86BN2	O08529
Q9W1B2	O08532
A0A0B4LF41	O08537
Q9VDL2	O08539
Q9W4Z5	O08543
Q9GSP1	O08547
Q9VDK2	O08550
Q8T3Y0	O08553
Q9V9A9	O08573
Q7JPN9	O08575
Q0KID3	O08576
Q9W396	O08579
Q95SM8	O08580
Q9W1G0	O08582
Q7K148	O08583
Q9V3A4	O08585
Q8IR14	O08586
Q7Z2C5	O08599
Q9VJ98	O08600
Q9W3A7	O08601
Q9V4E6	O08609
Q9V3R8	O08638
Q7YTZ4	O08648
Q494K2	O08663
Q9U5W2	O08664
Q9VCJ6	O08665
A1ZA08	O08674
Q9VHI7	O08677
P04388	O08686
P16378	O08688
Q9VAU5	O08692
Q9VKS4	O08696
Q9VTB3	O08710
P40795	O08715
Q9VWE1	O08734
Q9VCU6	O08738
A0A0B4LG85	O08739
E1JHK9	O08740
Q9Y0E4	O08746
Q9VT87	O08747
Q24312	O08749
Q00748	O08756
P12881	O08759
P81900	O08760
Q9VCS4	O08762
B7Z0X1	O08784
Q8IRR5	O08785
P08182	O08788
O15943	O08789
Q9VEV1	O08791
Q9VRN3	O08795
Q8IPA5	O08807
Q9VKM3	O08808
Q9VND8	O08810
Q9V3S9	O08811
A1Z6R7	O08842
P25843	O08848
A1ZA98	O08849
Q9VMI0	O08852
Q9VJK4	O08856
Q7KM15	O08863
A9YJ99	O08900
Q9W4S1	O08901
Q9VHB5	O08908
O16117	O08911
Q8IRK0	O08912
Q9VK23	O08915
Q8SZU1	O08917
Q8IR10	O08919
P48461	O08966
Q9VXH0	O08970
Q9I7K0	O08992
Q9VUK7	O09000
Q9VCE2	O09005
Q9VT15	O09009
Q9VZX6	O09012
Q9VDS3	O09039
Q9VWY7	O09044
Q95RA9	O09053
Q8MSI2	O09061
Q9VTW7	O09100
Q9W103	O09105
P17886	O09106
Q7JUZ6	O09107
A8JPQ1	O09110
Q9VPA9	O09111
Q9VJQ6	O09114
Q9VMN9	O09118
Q961T8	O09126
Q9V7D2	O09127
Q9VNZ2	O09130
Q8T0B1	O09131
Q9VAI3	O09158
Q7YU81	O09159
Q8T447	O09165
Q9W278	O09167
Q9VND7	O09172
Q9VN80	O19442
Q7KN61	O35066
Q9VR69	O35074
Q9VMY3	O35082
Q0E9A5	O35083
Q9W137	O35084
Q9VF39	O35098
P02515	O35099
Q86LG1	O35114
Q9Y137	O35118
Q8SXD4	O35126
Q9VTD2	O35127
Q6NP07	O35129
Q7YU24	O35130
P29349	O35134
Q9VVH8	O35136
P40427	O35137
Q9W3V9	O35143
Q961C5	O35144
Q9VSZ0	O35149
Q9W399	O35160
Q8IGQ3	O35161
Q9W2X2	O35164
P20478	O35166
Q9VT01	O35173
P25992	O35174
Q9VIP0	O35177
Q9VFS1	O35181
Q9VF43	O35185
Q8IPS7	O35214
Q24434	O35215
Q960N6	O35218
Q9VH95	O35226
O77134	O35227
Q9W366	O35231
Q9W1C5	O35245
Q9VBQ4	O35250
P42286	O35253
A1ZAY9	O35280
Q4V4M5	O35284
B9EQV3	O35286
Q9VUB5	O35295
Q9W539	O35309
Q9VPV6	O35316
Q9VM50	O35317
Q9V9S0	O35326
P32392	O35343
Q9VTH8	O35344
Q9VMI6	O35345
A1Z7H5	O35350
Q9VU13	O35375
Q9VKQ3	O35379
Q6AWN6	O35381
Q8SYA4	O35382
Q9V3Y4	O35385
Q0E931	O35386
Q9VVC7	O35387
Q9W244	O35393
Q8MST5	O35405
A1ZBM2	O35426
Q9VVY1	O35435
Q9VB90	O35437
Q9VQZ3	O35445
Q9VYR2	O35448
Q9VL37	O35449
Q9W1V7	O35450
Q9VZ22	O35451
Q8ITC9	O35452
P10333	O35453
Q59E04	O35454
Q7KGU6	O35459
Q7KF43	O35464
Q9VFE3	O35465
Q8MZC4	O35473
Q9VRE9	O35486
Q9VWU7	O35488
Q9VUR0	O35490
Q9VCY5	O35491
Q8IP75	O35492
Q9VP22	O35495
Q7JWW6	O35516
Q9W1K2	O35526
Q4QQ81	O35544
Q9VID3	O35551
Q9Y149	O35593
A1YK02	O35594
Q9VYA4	O35598
Q9VRX2	O35600
Q9VJW8	O35601
Q9W3I9	O35604
Q7KNS3	O35607
Q7K5M6	O35609
Q9VP16	O35613
Q9VNK8	O35615
A8JV00	O35618
Q9VA38	O35625
Q8IN63	O35626
Q9VB74	O35627
A6MHQ4	O35633
Q9V4F4	O35638
Q9VTE6	O35639
Q7JWN2	O35643
Q2PDP6	O35646
Q9VCW6	O35652
Q9VPR2	O35654
Q9W1X4	O35658
Q9VAS0	O35659
Q9VEN5	O35660
Q9VCC3	O35668
Q4V5D0	O35671
Q9Y1B2	O35674
Q23997	O35678
Q9VJ73	O35680
Q9VDQ6	O35681
Q9VWZ3	O35682
Q9W4L5	O35683
Q9VTZ1	O35685
P91645	O35690
Q8MT58	O35691
Q9VC94	O35704
Q9VXX0	O35716
A1Z8T9	O35717
Q9VC93	O35718
Q9VJA1	O35719
M9NF12	O35723
F2FB81	O35730
Q961W5	O35732
Q9VNB9	O35737
Q9W316	O35738
Q9W100	O35739
Q9VI12	O35740
Q9W1J7	O35841
Q961C3	O35857
Q9I7L0	O35864
A1Z8Y4	O35874
Q9W4M8	O35887
Q9VLM8	O35892
Q9VW59	O35900
P48612	O35902
Q9VJE4	O35904
A1ZAU8	O35927
Q9VS86	O35930
A0A0B4JCV9	O35943
Q9BJZ5	O35954
Q8IPA1	O35955
Q9VC65	O35963
Q7JW00	O35972
Q9VY61	O35973
Q24297	O35984
P40417	O54692
Q9VJD8	O54714
Q9VXK9	O54724
P08630	O54734
Q9VKJ4	O54743
A1Z7C1	O54749
Q9VJ75	O54751
P06607	O54774
Q9VU72	O54781
Q9VF51	O54782
Q9VSZ6	O54784
Q9W4X9	O54786
Q9VBP9	O54788
Q8STI6	O54790
Q9VPP2	O54791
Q7KVS9	O54824
Q9W4T4	O54825
Q9VEE9	O54826
Q7JYP8	O54828
Q9W0C1	O54829
Q9W481	O54833
Q9W4F3	O54839
Q7K3P6	O54864
Q7KRY7	O54865
P92189	O54879
Q9W1H4	O54885
Q9V3I2	O54890
A1Z6K7	O54908
P22977	O54915
Q9VR03	O54916
Q9VAZ0	O54917
Q9W266	O54918
Q9VLK1	O54927
Q9XZL8	O54928
Q9VRC3	O54929
Q9VUH6	O54931
A1ZBT2	O54940
Q2PNN6	O54941
Q9W115	O54943
P04146	O54946
A1Z864	O54950
Q9VNZ8	O54951
Q7KN85	O54956
Q9W443	O54957
P02572	O54962
O46070	O54967
Q59DT1	O54983
Q95RR6	O54984
Q9V3J4	O54991
O16844	O54992
Q9XYR0	O54998
Q9W475	O55003
Q9VUG5	O55013
Q9VIM5	O55017
A0ZWM5	O55022
Q03751	O55023
Q8MLS1	O55026
A8JR03	O55028
Q9VHA4	O55029
M9NDC4	O55033
P09085	O55042
Q9VIR7	O55047
Q8SXS4	O55057
Q9VCM3	O55082
Q0KHQ6	O55091
Q9V9Z9	O55098
Q9NIV1	O55100
Q9VM37	O55106
Q8T023	O55112
Q9VWS1	O55125
Q9VYG1	O55126
Q9Y106	O55128
Q9VVF4	O55131
Q9W0M5	O55134
Q9VIJ5	O55135
Q9W499	O55142
P25867	O55143
O96692	O55144
Q0IGU4	O55187
Q9W3T7	O55188
M9PF08	O55196
Q24338	O55201
Q99323	O55203
Q9VRZ3	O55222
Q9VUM4	O55225
Q9W0Q5	O55229
Q94535	O55230
Q9VHL2	O55234
O46100	O55240
Q9VD46	O55242
Q0E9B7	O70126
Q9VZI1	O70133
Q8T8R4	O70137
B4F591	O70145
Q9NHB9	O70146
Q9V5E1	O70152
Q9VS36	O70157
Q9VTR6	O70161
Q95PE4	O70165
Q9VLX9	O70166
Q95RQ1	O70172
Q7JZR2	O70174
Q9VS21	O70176
Q9VK55	O70191
Q7KMP8	O70194
A1Z6H9	O70201
Q9VKI2	O70220
Q9V3W6	O70228
Q8MR44	O70230
Q9V9V7	O70237
P47947	O70250
P49630	O70251
Q9VNS7	O70252
Q9VJD4	O70263
Q9VGY1	O70273
Q9VL48	O70293
Q8INK2	O70305
Q960M4	O70306
Q9VKM1	O70309
Q95TZ0	O70310
A9QJQ6	O70311
Q9V3A3	O70318
Q9VJ34	O70325
Q9W3U2	O70326
Q9VAM8	O70333
Q9VLU4	O70337
Q9VN97	O70338
Q9W4J6	O70340
A1ZBE9	O70343
Q9VD35	O70361
Q9VSF9	O70370
A1Z8C0	O70372
Q9VE71	O70378
Q9VX20	O70400
Q95RM0	O70404
Q9VHM7	O70405
Q8MKK1	O70422
Q9Y163	O70433
Q9VWH4	O70435
Q4V5U6	O70439
Q9VKD8	O70443
Q9W3I7	O70445
Q9VAX8	O70456
Q9VQA7	O70458
Q9W106	O70460
Q0KHY8	O70468
Q9W0X9	O70469
Q9VCT9	O70472
Q9V785	O70475
Q02637	O70477
P30189	O70480
P25171	O70481
Q9I7U2	O70492
Q8INQ3	O70493
Q9VHG4	O70494
B7YZT2	O70503
Q9VFC0	O70507
Q9W1E8	O70517
M9PI87	O70518
Q8SXX8	O70546
Q6AWN0	O70566
Q9W1U1	O70570
Q9VAQ7	O70571
Q8MR63	O70572
Q9VZN4	O70576
Q9VK89	O70579
Q9VZP9	O70585
Q8SY77	O70589
Q9W403	O70591
Q9VCY2	O70616
C0P8M9	O70619
Q9VPV3	O70628
Q9W4Z6	O88196
O16158	O88207
Q95U58	O88271
Q9VV40	O88282
Q9VLS1	O88286
A1Z7N6	O88291
Q8SWV6	O88307
P04052	O88322
Q9VES1	O88325
Q9VHC8	O88329
Q9VJC7	O88335
Q9VCU7	O88342
Q5LJU1	O88343
P23128	O88351
Q59DZ4	O88379
A8JUX7	O88384
E1JH07	O88393
Q9V4E1	O88396
Q9W1C6	O88398
O17468	O88413
Q9VUE8	O88441
A0A0B4KFH6	O88447
P29673	O88448
Q9W3B3	O88455
P40320	O88456
P05812	O88470
Q7K4Y8	O88472
A1Z9Z9	O88477
Q9VWG1	O88485
Q9W3J9	O88487
Q9V574	O88491
Q8MKL4	O88492
Q9VDP8	O88502
Q9VQZ0	O88508
Q9VNP0	O88509
Q9VL81	O88512
Q5BI03	O88513
Q9W0S5	O88520
Q9V3W9	O88522
Q9VUS6	O88531
P54733	O88532
Q8INY3	O88543
A1Z813	O88544
P13607	O88545
Q9V817	O88551
Q7JZ51	O88554
Q9VFK4	O88559
Q8SYP9	O88561
Q9VAT6	O88566
O17445	O88569
Q9VNX1	O88573
Q9VUT8	O88574
Q9VNA6	O88597
Q9VIS5	O88602
Q7JW27	O88609
Q9VTZ2	O88621
Q9U1K1	O88623
Q9TVP3	O88630
Q95RI8	O88632
Q9V3W7	O88643
Q26263	O88653
Q9VRM5	O88665
Q9VL31	O88668
A0A4P1SA55	O88673
Q7JY00	O88685
Q9VCJ2	O88689
Q9VWI0	O88693
O46202	O88696
A1ZB08	O88697
Q8MRL1	O88700
E1JJP6	O88703
Q9VI53	O88704
Q9W1S6	O88705
Q9VMZ8	O88708
A1Z700	O88712
Q9VHV1	O88713
Q9VV13	O88735
Q9VJH2	O88736
Q9VZ56	O88737
Q9VSI6	O88738
Q9W1E9	O88741
Q8MS27	O88745
Q9VL41	O88746
Q9VFN9	O88783
Q9VVP5	O88786
Q9VDB8	O88792
P08645	O88796
M9PEW2	O88799
Q9I7D0	O88809
P10981	O88811
Q7YZA5	O88822
Q8MKN0	O88843
Q9VVN2	O88844
Q9W4V4	O88848
Q9VZJ8	O88855
Q7JWQ7	O88866
Q7KUT2	O88874
Q9VF02	O88876
M9PDE1	O88878
A9YGE3	O88879
A1Z9W2	O88888
Q8MSY4	O88895
Q09024	O88898
A2VEK1	O88904
Q7JWV5	O88907
Q7KKH3	O88908
Q9VX95	O88932
Q7KUL3	O88935
Q9W2S9	O88939
Q24567	O88942
Q04499	O88947
Q9VHR5	O88951
Q9VHA8	O88952
Q9VQB9	O88958
Q9VI84	O88967
Q7YU23	O88968
Q9VZF1	O88974
O46199	O88986
Q9W1M9	O88990
Q9V727	O88998
Q9VPL5	O89001
Q7K264	O89017
B5X533	O89019
Q9VER6	O89023
Q9V437	O89026
Q8I941	O89029
Q9VQY8	O89032
Q9V451	O89033
Q9W246	O89051
M9PEN8	O89053
Q94545	O89079
Q9XTK9	O89084
Q9W335	O89086
Q9VC87	O89091
Q9VLY7	O89100
Q9V7S5	O89106
Q9W4V8	O89110
P29617	O89112
Q9VDC6	O89113
Q9Y171	O89114
Q9VAC1	O89116
Q8SXF2	P00015
Q7KUD5	P00186
Q0E8T1	P00329
Q9W116	P00342
Q7K2L7	P00375
O62526	P00405
Q8SX76	P00493
Q9VQQ6	P00520
Q9VAZ2	P00536
Q8IN59	P00687
Q8I0P9	P00860
Q9VCI0	P00920
Q9U4U5	P01027
Q9VP77	P01029
Q9VTU3	P01101
P31368	P01108
Q8IPH9	P01132
Q9VDG5	P01139
Q7JRA5	P01582
Q8IPE5	P01592
Q9W025	P01633
Q9VKS7	P01635
P37161	P01639
Q9VKD7	P01642
P54191	P01749
X2JFW7	P01831
Q9VK39	P01837
Q6IK18	P01844
Q8MRW5	P01865
Q9VDQ4	P01867
P08111	P01869
A9YJ58	P01872
Q9VDI6	P01887
Q9VF78	P01898
Q7PLI7	P01899
A1Z6G9	P01901
A0AQH0	P01942
Q960Z0	P02088
Q9U4L6	P02089
B7YZY0	P02104
Q9VWA8	P02301
Q32KD4	P02340
D2NUF2	P02463
Q9VH64	P02468
A1Z8Z8	P02469
Q9VLT5	P02535
P16912	P02798
Q4V5M2	P02802
Q8IMY6	P02830
Q9W2F0	P03940
P34082	P03953
A1Z7S0	P03958
A1ZBU8	P03966
P02843	P03995
A1Z9X0	P04104
Q9VPK3	P04117
Q9VFP0	P04184
A0A0B4K7K5	P04186
Q6NN22	P04187
Q9W0E1	P04230
Q9VE80	P04370
Q9W4Q9	P04441
Q9VKB2	P04627
Q9VYY3	P04919
Q9V3M9	P04925
Q5BI44	P05063
A8JQX6	P05064
