Q9XVJ5	A0A075BJJ9
G5ECC5	A1ZAX6
O17389	A1ZAY1
Q21138	A1ZAY9
Q18521	A1ZAZ7
Q95QK1	A1ZAZ9
Q20819	A1ZB08
P53439	A1ZB15
F5GUF4	A1ZB19
Q22021	A1ZB42
Q9GUM1	A1ZB56
Q27485	A1ZB58
Q09567	A1ZB61
Q9XXN4	A1ZB62
O17726	A1ZB64
O17004	A1ZB68
Q21368	A1ZB70
Q22531	A1ZB72
Q23164	A1ZB73
Q27888	A1ZB80
Q9U217	A1ZB86
P40614	A1ZBC3
G5EEW6	A1ZBC5
Q22045	A1ZBC8
P34808	A1ZBD8
P91209	A1ZBD9
Q21605	A1ZBE8
Q21916	A1ZBE9
B7CED8	A1ZBF1
Q9TYQ5	A1ZBF6
A5JYY2	A1ZBG6
Q9TZM3	A1ZBG9
P41990	A1ZBH8
Q9N5B1	A1ZBJ2
Q966M6	A1ZBJ8
G5EDM7	A1ZBK1
Q17560	A1ZBK7
Q95XN1	A1ZBL2
Q19022	A1ZBM2
O44452	A1ZBM4
B2FD95	A1ZBN5
Q95PX9	A1ZBP6
Q21354	A1ZBR5
Q5FC43	A1ZBT2
Q18164	A1ZBT3
O16997	A1ZBT5
Q93758	A1ZBT6
Q95QW4	A1ZBU7
V6CLP9	A1ZBU8
G5EDM4	A1ZBU9
Q20379	A1ZBV0
Q9XX95	A1ZBW1
Q18040	A1ZBW6
Q9U348	A1ZBW7
O16520	A1ZBY1
Q19185	A1ZBY3
Q17328	A2RVG7
Q18543	A2VEJ9
G5EGM3	A2VER2
O62124	A2VEV0
A0A061ACQ8	A2VEV2
G5EFJ8	A2VEY9
Q9TZE7	A4IJ58
Q17388	A4IJ59
Q9XVT2	A4IJ70
P34445	A4V0U4
Q23149	A4V0X6
O45241	A4V1B2
Q7Z1Z1	A4V243
Q9N410	A4V303
Q9BLC3	A4V383
G5EE36	A6MHQ4
G5EBT1	A8DY43
P91419	A8DY57
O16432	A8DYA0
Q9XXC2	A8DYA9
O01329	A8DYB0
G5EGA5	A8DYB9
A0A8S4SS65	A8DYC5
Q19220	A8DYE0
Q9N483	A8DYG7
Q22032	A8DYG8
G5EC84	A8DYH2
A8WFJ8	A8DYK6
Q9GRV5	A8DYL7
G5EEM1	A8DYL9
G4SPY1	A8DYP0
Q18535	A8DYR2
Q9XWI2	A8DYT9
H2KYN0	A8DYY6
O02642	A8DZ09
O44144	A8DZ13
Q9BL17	A8DZ28
A0A2C9C2L0	A8E6M1
Q8WQF7	A8E6Z4
Q9U2M8	A8JMD5
Q18347	A8JNG6
Q18038	A8JNG7
G5EFX3	A8JNH4
P91149	A8JNL3
P09588	A8JNL9
Q95XP4	A8JNQ7
O01737	A8JNR2
Q23130	A8JNS0
Q21526	A8JNT1
Q03569	A8JNU1
O17643	A8JNU6
Q21366	A8JNV1
Q22161	A8JPQ1
O18687	A8JQX3
H2KYA1	A8JQX6
O01840	A8JQY9
P34340	A8JR03
G5EDY0	A8JR05
Q9GZI7	A8JR14
Q22237	A8JR30
O01546	A8JR84
Q9U489	A8JR92
G5EFR6	A8JRE2
Q21816	A8JUX7
Q18474	A8JV00
Q93343	A8JV04
Q19393	A8JV07
O76606	A8JV22
Q09365	A8JV29
Q09958	A8MZR4
O16443	A8WHD3
O61201	A8WHL4
Q9XVI6	A9QJQ6
P91349	A9UN61
O16497	A9UND2
Q9NAC1	A9YGE3
Q20373	A9YGV6
Q18043	A9YGW5
F3Y5P7	A9YH80
G5ECJ4	A9YHI5
Q20523	A9YIP0
G5ED20	A9YJ58
Q9XVN3	A9YJ99
J7RNK2	A9YJX8
O16628	A9YKE5
Q17796	A9YKH0
Q17410	A9YKR0
Q17771	A9YL14
O44992	A9YL61
G5EBK0	B1A1N4
Q22061	B1PFA4
Q94177	B3DN53
Q93203	B3DN64
Q22795	B3G0Q2
O16312	B4F591
O45637	B4F687
Q9XVZ1	B4YW76
G5EGK3	B4YWB2
A0A0M7RDX3	B4YWD6
P34424	B5T232
G5EFA4	B5X533
O44490	B6IDP6
O02365	B6IDV6
Q9NAF6	B6IDZ4
Q9TXI4	B6UVZ6
O61711	B6VQ99
O62236	B6VQA0
G5EFC4	B6VQA1
Q17449	B7YZJ3
Q95ZI6	B7YZK4
Q9N412	B7YZM5
Q8I111	B7YZM8
Q9XVI9	B7YZT2
P34618	B7YZX6
O61881	B7YZX9
O61789	B7YZY0
Q21877	B7Z016
Q19905	B7Z018
Q18489	B7Z031
Q03571	B7Z083
A0A0K3AQR2	B7Z085
G5ECX8	B7Z0E2
Q19553	B7Z0G4
O45595	B7Z0I8
Q09299	B7Z0L8
O62106	B7Z0M0
O44150	B7Z0N0
H2L056	B7Z0X1
G5EEH9	B7Z143
Q9N2Z3	B8A405
B1V8I9	B9A0M7
Q22483	B9EQU7
G5EF53	B9EQV3
Q20077	C0HK92
Q17948	C0HK95
P91913	C0HKA0
P52713	C0HKA1
O02336	C0HKA2
Q95X84	C0HKA3
P91155	C0HKA4
P45972	C0HKF7
Q11107	C0HKF8
G5EF97	C0HL64
G5EDS2	C0HL65
O45577	C0HL66
Q2L6W5	C0HL67
Q93353	C0LRM1
A3FPJ2	C0MKB4
K8ESJ1	C0MKK6
G5EF06	C0ML52
Q9NAB4	C0PDE0
Q95XT5	C0PUW4
P91051	C0PV00
O44729	C0PV55
Q8I7N1	C0PV67
Q21131	C0PVB3
P90825	C3KGN2
H2KYN3	C3KKC6
O02109	C4NAP3
G5EEE7	C5I7E8
Q18054	C6KI54
Q18501	C6SUS8
O16286	C6SUV4
P91398	C6SV36
P91423	C8AXZ6
O01593	C9QPE2
G5EEG6	D0IQC0
O76436	D0IQK3
Q17792	D0Z748
Q9BL76	D1FYT3
Q18056	D1Z394
Q21929	D1Z3A2
P34330	D2A6J2
Q9U210	D2NUF2
Q23240	D3DML3
Q9BL48	D3DMM0
D3NQB9	D3DN23
O01578	D5AEK7
Q9BKP8	D5SHR0
Q23083	D5SHT8
U4PBW7	D6W4V3
O44867	D6W4X6
Q6BEV5	E0R7Q0
Q27274	E0R7Q1
Q95X59	E1JGZ9
Q0G825	E1JH07
P54245	E1JH25
Q7YTU4	E1JH37
O45610	E1JHA6
O16999	E1JHF9
Q9XUU2	E1JHH7
O01927	E1JHJ7
G5EG85	E1JHK9
Q8WSZ5	E1JHP6
P91189	E1JHQ0
Q21355	E1JHS8
Q7JP60	E1JHU4
Q9XXN2	E1JI78
O45789	E1JI91
O18188	E1JIB5
G5EC06	E1JIB9
Q9XTV9	E1JIL1
Q09367	E1JIL4
Q22835	E1JIM0
P34653	E1JIN4
H2KZM6	E1JIQ5
H2KZW0	E1JIT7
O45080	E1JIV8
Q93642	E1JIY8
Q09439	E1JJ00
B3GWD4	E1JJ62
P34420	E1JJ90
O45246	E1JJD6
Q22284	E1JJP6
Q23232	E1UID8
O62512	E1UIM5
Q09285	E2QCZ6
Q9NAH7	E3CTP7
Q9N3F0	E3CTS2
O45625	E3CTS5
Q18031	E4NKL4
O17680	E8NH67
O17805	E9NA96
O62263	F0JAI6
O44757	F0JAK5
Q18184	F0JAR8
O76387	F0JAT1
Q09444	F2FB81
Q9TYM3	F3YD67
G5EE02	F3YD72
P34367	F3YDA8
Q95QR3	F3YDE1
Q22240	F3YDF1
P06125	F6J1D0
O18235	F6J6F4
Q20577	F6J785
O45513	F6J9B4
Q17654	F6JQ80
Q22613	F9VMG5
P90847	G2J613
Q9XXD4	G4LU05
G5EBL2	H1UUM2
P90868	H1ZY91
Q9XTF3	H1ZYD3
O45525	H1ZYE3
P91555	H8YGQ3
Q18032	I0E2I4
Q21156	L0CPN5
P91127	L7EET3
G5EEI4	M9MRD1
G5ECP6	M9MRQ3
Q9NAI5	M9MRU0
Q17981	M9MRX3
O45380	M9MS20
O18098	M9MS41
Q09660	M9MSI1
O62515	M9MSL3
Q9N4K0	M9MSP0
Q19262	M9NDC4
Q17602	M9NDE3
Q20937	M9NDM3
B7FAS0	M9NDP0
Q23355	M9NE09
Q9U3I4	M9NEE5
Q17656	M9NEJ1
Q17607	M9NEY3
Q95Y84	M9NEY8
Q9XTS3	M9NF12
Q8IG68	M9NF90
O45731	M9NFE1
Q27873	M9NFF9
Q19065	M9NFH4
C1P659	M9NFH8
P34352	M9NFJ2
O44514	M9NFM7
Q9U1Y6	M9NFR6
Q19989	M9NGY4
P54936	M9PAY7
C6KRJ8	M9PBB4
G5EBV6	M9PBE2
H2L0H5	M9PBK1
G5EC77	M9PBR0
P34657	M9PC41
Q22125	M9PCF9
J7SEY9	M9PCJ4
A0A0K3ASN4	M9PCS5
O17666	M9PD87
Q9Y050	M9PDA8
Q20445	M9PDE1
Q8WQF8	M9PE86
O44411	M9PEN8
O18236	M9PEQ7
Q17896	M9PF08
Q9U255	M9PF46
Q19075	M9PF54
Q8WQG9	M9PF73
Q400L6	M9PFN0
O01918	M9PFQ9
G5EEA3	M9PFR8
Q93791	M9PFW8
Q20680	M9PG29
Q95ZW3	M9PG80
Q18124	M9PGC5
P51485	M9PGM4
G5EDA5	M9PHI2
P91179	M9PHS6
G5ECQ5	M9PI87
O17396	M9PIW5
O44622	M9PJM2
U4PRB3	O01346
O17580	O01367
B7WNB4	O01404
Q7KX66	O01666
Q967F1	O01939
Q21917	O02002
A0A131MBU3	O02193
K8FDZ6	O02194
P55326	O02195
A0A4V0IKG7	O02372
Q03574	O02373
Q9BL81	O02649
O02155	O15943
Q20121	O15945
Q965Q8	O15971
P91020	O16011
O16850	O16043
O62328	O16102
Q93761	O16117
Q19967	O16129
P52015	O16130
H2KYW1	O16158
A5JYR6	O16528
H2KZI3	O16797
Q22792	O16810
O17149	O16829
Q09252	O16844
Q18240	O16867
G5EG49	O16868
Q9U267	O17432
Q09533	O17445
Q5TEB3	O17468
Q17635	O18332
G5ECL3	O18333
P41848	O18334
O61208	O18335
P34416	O18336
Q8MXF3	O18338
Q09647	O18339
G5EDG6	O18373
P54216	O18381
O01549	O18388
P35800	O18399
Q9XUT0	O18400
Q9N3D9	O18404
Q9U238	O18405
Q21175	O18408
P90781	O18412
Q23237	O18413
Q22619	O18640
O61522	O18645
Q95X18	O18680
Q9U367	O44081
P91185	O44226
P91353	O44342
Q93759	O44386
Q9XVA3	O44424
Q22781	O44434
O01255	O44437
O45335	O46034
O16500	O46036
O02063	O46037
O45936	O46043
P91198	O46050
Q09214	O46052
Q9TY03	O46054
G5EDU4	O46070
B9ZSG9	O46072
Q21230	O46084
Q9N4B8	O46085
G2HK10	O46089
Q9GRZ2	O46094
Q9TZI4	O46098
Q20519	O46099
Q9U302	O46106
G5EFS4	O46108
Q23166	O46197
Q94071	O46199
H2KZC1	O46200
P34325	O46202
Q23212	O46307
O16259	O46308
Q19289	O46339
O18036	O46341
Q9N3X2	O61231
Q9U1S1	O61267
Q9BMU4	O61307
Q5WRT8	O61345
Q17411	O61348
H2KZ41	O61351
O17287	O61380
Q9XW88	O61443
O61761	O61444
Q9N5C4	O61491
Q19266	O61492
A8DYR7	O61602
A8WFN7	O61613
Q9U357	O61643
Q9U2D9	O61661
Q93732	O61722
A0PD34	O61734
Q23363	O61735
P91494	O62526
Q22469	O62530
P34703	O62531
A6ZJ71	O62589
P90795	O62602
Q9N3C9	O62609
Q9XXQ7	O62618
O16517	O62619
J7SA57	O76324
Q09374	O76454
A0A131MBE3	O76460
Q21588	O76462
Q94272	O76513
O16612	O76521
O61466	O76523
Q19853	O76742
Q94271	O76767
Q1ZXU7	O76857
Q5ZEQ4	O76861
P34425	O76863
Q19641	O76870
P34383	O76876
O44652	O76878
Q22017	O76896
H2KYG5	O76899
Q965Y7	O76902
Q18020	O76906
O17772	O76908
O44769	O76912
G5EG86	O76922
Q19842	O76924
Q18885	O76927
D6VPA1	O76928
Q9GRV2	O76932
G5ECV9	O76994
P11141	O77051
G5EE98	O77059
G5EFF5	O77062
Q23345	O77086
Q5WRT1	O77134
A0A4V0IJR4	O77135
Q03564	O77150
O62374	O77215
O18694	O77237
Q18194	O77260
Q21623	O77262
Q18948	O77263
C0Z1Y1	O77264
Q8WQD9	O77277
O17587	O77284
Q966L6	O77287
Q93794	O77290
Q2L6Y6	O77410
O17030	O77425
Q95QC4	O77430
O76840	O77434
Q18314	O77459
O01854	O77460
Q400N3	O77477
Q9N572	O96299
Q23272	O96378
Q8T5S1	O96395
J7SEY5	O96433
Q21500	O96533
A0A0K3ARI6	O96553
U4PBJ5	O96607
A0A0S4XR63	O96651
Q9XU10	O96660
Q09564	O96676
Q03206	O96689
P28515	O96692
H2KZ07	O96695
H2L2J9	O96824
Q18919	O96827
Q9U2Q9	O96860
O45115	O96863
Q19116	O96880
Q95Y89	O96881
Q17740	O96989
P91283	O97059
O62071	O97061
A0A2C9C377	O97063
Q9TYS7	O97064
O61944	O97066
Q09510	O97067
O18214	O97102
O01509	O97111
Q93244	O97125
O17084	O97132
Q9BL33	O97143
Q9TYL9	O97159
Q65XX7	O97172
O01572	O97178
O17560	O97179
Q9GYH9	O97182
Q21222	O97183
P56407	O97365
Q21210	O97418
O61967	O97420
Q9N599	O97428
G5EFH8	O97454
P90921	O97477
Q21631	O97479
Q9N5E4	P00334
P34415	P00522
Q18739	P00528
Q23238	P00967
Q23563	P02255
Q95XP9	P02283
Q9XVV3	P02299
Q17400	P02515
G5EEX3	P02516
Q86MI0	P02517
O01806	P02518
Q9XWM1	P02572
Q19339	P02574
Q18426	P02825
P34369	P02828
Q18258	P02833
Q6BER5	P02835
Q4W5T6	P02836
G5EGQ3	P02839
O76383	P02840
Q9TYK1	P02843
P91455	P02844
P46012	P04052
O45491	P04146
Q21276	P04197
P34431	P04357
Q17763	P04359
Q9XXJ1	P04388
Q9BKU3	P04412
O16481	P04657
Q22033	P04814
Q18788	P04950
Q20382	P05049
Q95QN1	P05084
Q9U9Y8	P05205
O16311	P05303
P49405	P05389
Q9N303	P05527
Q09474	P05552
O45987	P05623
P10299	P05661
Q18946	P05709
G5EET5	P05812
G5EC10	P05990
Q21427	P06002
O45712	P06601
G5EGI2	P06602
A0A0K3AU49	P06603
D5MCR4	P06604
Q20677	P06605
Q9XXH0	P06606
Q09530	P06607
G5EC71	P06742
O01789	P06754
O01301	P07140
V6CLJ5	P07182
Q20037	P07183
Q18030	P07184
Q9XWT3	P07185
O18183	P07187
Q95X39	P07188
O62432	P07189
G5EDJ6	P07190
Q9N5S9	P07191
Q10654	P07247
O62415	P07486
O44820	P07487
Q11178	P07548
Q19360	P07663
P34500	P07664
Q21351	P07665
Q9GYI1	P07666
Q23590	P07713
Q9XXK1	P07764
Q93694	P07909
H2L2B3	P08044
Q9GYJ7	P08099
Q9U2Y1	P08111
Q18616	P08120
G5EBN5	P08144
G5EFL9	P08155
P18948	P08175
P34690	P08181
Q9N4P3	P08182
Q19781	P08266
Q9TZH9	P08510
G5EGG0	P08570
Q9U3D4	P08630
Q23295	P08645
P31161	P08646
Q9XWR1	P08736
O01525	P08761
Q9U1Q4	P08841
Q23045	P08879
H2KYX2	P08928
Q23100	P08953
Q9U1W5	P08970
A0A0K3AUF2	P08985
O44195	P09040
A5JYW2	P09052
G5EFC1	P09077
Q20938	P09081
Q23195	P09082
Q20966	P09083
P34299	P09085
O45148	P09087
P37806	P09089
P49632	P09180
P34341	P09208
P52011	P09491
G5EDW1	P09615
Q17543	P09774
Q18694	P09775
P34504	P09956
Q23605	P09957
O45799	P0C919
P50880	P0CG69
P19974	P10035
Q21253	P10040
P91280	P10041
P34329	P10083
Q9XTY6	P10084
G5EDN7	P10105
O45935	P10180
P34471	P10181
Q09456	P10333
A5Z2V0	P10379
Q22183	P10383
Q20287	P10627
Q93895	P10674
Q2XMY7	P10676
Q18841	P10734
P34557	P10735
Q22633	P10981
P91820	P10987
P91350	P11046
Q22624	P11146
P34286	P11147
Q19203	P11346
Q9UAT1	P11420
G5ECJ8	P11449
P91505	P11455
Q23614	P11584
Q9TYZ4	P11596
Q9TZQ3	P11929
G5ECT6	P11956
O45198	P11995
G3DRG2	P11996
Q9XUP8	P11997
Q20183	P12024
Q10653	P12297
H2KMI9	P12370
Q9XWS6	P12426
Q95YF1	P12613
Q7KWZ4	P12646
G5EEQ8	P12881
Q9N3F4	P12982
Q93156	P13002
O01802	P13008
Q19520	P13054
Q95005	P13060
Q9N5E3	P13095
Q9NET8	P13096
Q9XWK3	P13097
Q20476	P13098
P34528	P13238
A0A1I6CMA8	P13360
Q7JMT5	P13368
P47208	P13395
Q9TZA6	P13468
Q09607	P13469
Q95XM9	P13496
Q18264	P13582
Q18825	P13607
U4PFF3	P13677
Q11191	P13678
P62784	P13706
G5ECQ1	P13709
D3YT80	P14003
Q94165	P14083
Q02328	P14199
Q93345	P14318
O18182	P14599
Q23536	P14734
Q09657	P14785
P34662	P15007
O44781	P15215
Q23681	P15278
Q9XVS7	P15330
O61707	P15348
P29691	P15357
Q9XUC2	P15364
Q95Y29	P15370
Q22218	P15372
Q22944	P15425
P34496	P15619
G5EBV3	P16163
O45346	P16241
Q18776	P16371
Q17430	P16375
G5EFD9	P16378
O45831	P16548
P54244	P16554
Q95XQ8	P16568
B1V8J4	P16620
Q19510	P16621
A0A5E4LWV7	P16905
O16408	P16909
O45813	P16911
Q9U2X1	P16912
Q8MNS6	P16914
U4PAY0	P17133
Q09442	P17210
Q17391	P17276
Q20311	P17336
G5EBK5	P17644
P83351	P17672
P48152	P17704
Q09534	P17719
G4S034	P17886
Q93725	P17917
P34888	P17970
Q22967	P17971
P34575	P18053
Q23390	P18091
Q1XFY9	P18101
O01813	P18102
D7SFP0	P18105
Q09614	P18106
O01481	P18168
P34672	P18169
Q9GYI2	P18173
P91427	P18289
Q95QA6	P18431
Q22370	P18432
Q95XA0	P18459
B3WFX6	P18475
G5EDK5	P18486
Q95XR1	P18488
Q18477	P18489
Q22117	P18490
Q9TZ50	P18491
P36573	P18502
Q21836	P18537
Q95Y13	P18824
Q23288	P19018
G5ECC9	P19107
Q21747	P19109
O45432	P19334
P34427	P19339
Q9TYU5	P19351
O01683	P19538
P91914	P19889
Q9U2U9	P19967
P91416	P20007
O45815	P20009
A8WHT6	P20028
Q7YX28	P20153
P90794	P20193
Q9N4K2	P20227
A0A0K3AXD0	P20228
O16949	P20232
Q20712	P20240
Q965L8	P20241
Q17688	P20348
Q9N4P9	P20349
G5EGP2	P20350
P37209	P20351
Q9XXK9	P20353
P49595	P20354
G5EC89	P20385
Q9TZK8	P20432
G5ECN8	P20439
Q9GYF1	P20477
F3Y5R1	P20478
Q9TZ33	P20480
Q9N3Y1	P20482
Q09268	P20483
P28191	P20659
P34402	P21187
P09446	P21461
Q9TXH9	P21519
Q22522	P21520
K8ESC5	P21521
Q27474	P21525
Q9TYN4	P21663
Q09454	P21750
O17862	P21914
Q21436	P22058
Q20628	P22265
Q9N582	P22293
G5ECE7	P22464
G5EDV3	P22465
Q09974	P22469
G5EEM0	P22700
Q09603	P22711
Q23421	P22745
P30627	P22769
Q18508	P22807
Q20752	P22808
P41996	P22809
Q965W3	P22810
P91251	P22812
Q18282	P22813
Q22936	P22814
Q9TZ91	P22815
Q09565	P22816
Q18567	P22977
Q09509	P22979
Q22053	P23023
P23678	P23128
O02279	P23226
Q9NEZ7	P23257
Q23359	P23380
