Q09390	A0A087WUL8
A0A131MCZ8	O14907
O01833	O14908
Q9XWD9	O14910
X5LPW7	O14920
G5ECQ5	O14925
Q11189	O14929
G5EF82	O14931
Q9BL26	O14933
P49958	O14939
B3GWA5	O14949
Q9U334	O14950
A0A2K5ATW7	O14957
A0A061AKW6	O14958
P39055	O14964
Q94131	O14965
Q8MXF1	O14966
G5EGN2	O14967
Q17778	O14972
A0A650C2J5	O14974
Q18494	O14975
Q09245	O14976
Q18817	O14978
O45494	O14979
G5EGG0	O14980
Q10123	O14981
G5EGF3	O14983
B3GWD4	O15013
Q9U2X6	O15014
P34441	O15016
O45388	O15020
P34462	O15027
P34283	O15031
Q11178	O15042
O17893	O15047
Q19813	O15054
Q20298	O15067
Q8MQ70	O15075
Q18943	O15078
E9P861	O15084
Q17439	O15085
I2HAI1	O15091
P90920	O15105
Q20497	O15111
Q21019	O15116
Q18426	O15118
Q9U369	O15119
O17024	O15120
P34318	O15121
O45097	O15126
Q23146	O15127
A0A0K3ASV3	O15131
Q9U2K8	O15143
Q19581	O15144
Q95QZ3	O15145
P08124	O15151
B3CKG1	O15155
Q18337	O15156
P52554	O15160
Q9GYI4	O15162
Q17963	O15164
O16538	O15165
Q23195	O15169
Q9N3G0	O15173
Q8ITW8	O15182
O01531	O15198
Q10040	O15212
O16695	O15213
P55163	O15218
Q9GPA0	O15226
Q9TZH8	O15228
Q9U1W0	O15230
Q20054	O15231
Q9BKS4	O15234
O44895	O15235
O16922	O15244
Q21556	O15255
G5EF11	O15258
G5EBZ8	O15260
Q10128	O15265
H2L057	O15269
Q9NF10	O15270
Q21204	O15273
A0A131MBB2	O15287
Q9XVP0	O15294
Q9N3Q4	O15297
Q9BL47	O15347
Q9GTD4	O15350
G5EBG1	O15354
Q22469	O15355
O61944	O15357
G5EG76	O15360
O44719	O15371
O18154	O15372
O45717	O15379
Q03560	O15381
O18039	O15392
Q03575	O15393
Q19302	O15397
O62238	O15400
O61206	O15409
O17811	O15417
Q8IG72	O15431
O45905	O15439
A8XQE0	O15446
Q7YTI4	O15460
O17209	O15466
D3YT71	O15479
Q9N4Y9	O15481
Q9TXJ0	O15496
Q9Y1J3	O15498
Q21191	O15499
O18068	O15503
V6CLN7	O15504
K8ES47	O15511
O61980	O15514
G5EFG5	O15516
P26797	O15523
Q21049	O15524
Q10017	O15529
G5EF09	O15530
Q22159	O15533
G5EGE3	O15534
P90983	O15541
Q23073	O15547
O16786	O15550
Q9N3T6	O15552
Q22045	O15554
D0PV95	O43143
Q21854	O43148
Q09297	O43149
Q25AR9	O43156
Q9NAE2	O43159
Q19317	O43164
Q8MNU8	O43166
Q09475	O43167
Q9NLD1	O43169
P92022	O43172
G5EES9	O43175
Q19849	O43181
Q9N537	O43186
Q20065	O43189
Q9GYR4	O43193
Q18302	O43237
O45319	O43240
P34278	O43242
P34528	O43251
G5EGT4	O43252
O01460	O43255
W6RRX0	O43257
Q9XW12	O43264
H2KYW0	O43278
O62480	O43286
O01630	O43290
G5EFI9	O43291
O17726	O43292
O76606	O43293
Q94166	O43298
Q9XUP2	O43301
Q8MQG6	O43303
H2KYA6	O43306
Q09961	O43309
Q23261	O43314
P24612	O43318
Q94045	O43324
O44923	O43347
W6RQY2	O43353
Q18726	O43379
P91477	O43390
O17861	O43395
Q22677	O43396
Q95XC8	O43399
G5EFH8	O43402
Q18645	O43422
Q94407	O43427
Q20845	O43432
Q18040	O43447
Q19326	O43463
Q18206	O43464
O44510	O43474
Q9XWF5	O43482
Q8MYM4	O43488
Q23223	O43491
Q19672	O43493
G5EDC6	O43504
P46577	O43505
G5EC25	O43513
O17706	O43521
Q22031	O43524
Q95Y71	O43529
Q19058	O43542
Q19834	O43557
Q23520	O43559
O01777	O43561
G5EGC1	O43567
A0A5E4M3H3	O43583
Q17598	O43586
Q20329	O43592
G5EE07	O43597
Q09205	O43602
Q9XXJ2	O43609
Q8I4M6	O43612
Q9UB01	O43615
Q20666	O43617
Q09456	O43633
P91485	O43638
O45797	O43639
O62140	O43653
O76401	O43657
Q22945	O43660
O45666	O43663
P90867	O43670
Q9N4U5	O43674
Q93895	O43676
Q9TXZ7	O43678
Q93209	O43681
Q23458	O43683
O61198	O43684
Q9NAF6	O43687
Q17771	O43692
Q09580	O43707
O44135	O43711
O44737	O43719
Q95PW8	O43731
Q23255	O43741
Q21924	O43747
H2L006	O43752
O61216	O43759
Q7Z145	O43760
P90925	O43765
Q22403	O43768
Q18198	O43772
G5EGP8	O43776
H2KZ16	O43790
Q9GYI1	O43791
O01541	O43795
Q22668	O43808
Q21554	O43809
Q93705	O43813
Q9N368	O43815
Q9XWH3	O43818
Q9U284	O43819
Q19680	O43823
O44665	O43826
H2L073	O43829
P90746	O43837
O16927	O43847
Q22620	O43852
G5EDL3	O43865
G5EGG8	O43889
P91245	O43896
A0A0S4XR63	O43900
O44732	O43909
Q9TZB0	O43913
G5ECM1	O43914
G5ED85	O43918
A0A0K3AV08	O43920
Q27531	O43921
Q8WQG5	O43924
Q17974	O43929
Q7YX28	O43930
Q17648	O43933
Q9Y0A1	O60216
O45782	O60220
Q10667	O60231
O18118	O60232
Q93718	O60237
O44499	O60238
G5ECT7	O60244
P34621	O60245
Q20548	O60248
Q20728	O60256
P34689	O60260
P34339	O60264
P91131	O60266
Q95XM4	O60271
Q21035	O60282
Q93575	O60285
Q9N3S7	O60287
Q9TYN2	O60291
P91176	O60292
Q22048	O60293
K8FE09	O60296
Q21945	O60306
G5EE96	O60307
P04255	O60313
Q8I7N1	O60318
Q22554	O60333
G5EFP5	O60336
Q9XXN9	O60337
Q9Y048	O60341
O01299	O60343
P48154	O60356
E9P864	O60361
Q20758	O60381
Q23044	O60383
Q9GZF9	O60403
Q23246	O60427
A0A8S4Q9N7	O60437
Q18347	O60443
Q18625	O60469
A0A5S9MND1	O60488
G5ECX8	O60493
C0HLB3	O60496
Q8WQB6	O60499
Q21997	O60502
Q21816	O60503
P91027	O60504
Q19698	O60506
P91307	O60508
P92020	O60512
G5EEZ4	O60518
Q22379	O60524
O61218	O60547
Q23605	O60551
P52013	O60563
Q7KPQ9	O60566
Q17905	O60568
Q966M6	O60573
Q9N593	O60610
G5ED49	O60613
O45936	O60636
Q17460	O60637
Q17792	O60645
Q20822	O60664
Q8WTM0	O60674
Q9XW75	O60676
E2JL04	O60678
O76436	O60684
Q09512	O60701
Q18824	O60704
G5ECJ5	O60711
Q94417	O60716
O44787	O60725
Q17336	O60729
H2KYY0	O60739
O45600	O60741
Q8MYQ1	O60749
O44471	O60756
G5EDF5	O60762
Q9XUB3	O60763
Q09449	O60779
Q23212	O60783
Q9U2U9	O60784
Q18282	O60812
Q86S68	O60814
Q18042	O60825
Q23639	O60826
A0A8S5I3Z9	O60828
Q21750	O60829
P34434	O60831
Q09450	O60832
Q9BI88	O60841
A0A8S5IA68	O60858
Q9N4P9	O60869
Q18806	O60883
O76449	O60884
Q23158	O60885
G5EG87	O60895
Q9XW13	O60896
P52018	O60906
Q19964	O60907
Q9NA77	O60909
Q22687	O60911
Q95XX8	O60921
P09588	O60925
Q9TXW5	O60934
O17067	O60939
Q9GUM5	O60941
Q95Q05	O60942
Q20064	O75015
G5EDZ7	O75027
G5EET5	O75031
Q95Y80	O75044
O45831	O75051
O16486	O75052
Q17620	O75054
Q23623	O75063
P34640	O75069
G5EG05	O75074
P34440	O75081
Q9XUN9	O75083
O45984	O75084
H2KMJ9	O75096
Q20941	O75110
Q18919	O75116
O45387	O75122
D9PTN5	O75127
W6SBD7	O75128
G5EG85	O75131
Q21182	O75143
O44608	O75146
Q95Y90	O75147
Q27492	O75150
Q21067	O75152
A0A0S4XRJ2	O75153
Q9BI86	O75155
O45143	O75157
Q9TYT0	O75165
O61890	O75170
Q09538	O75173
Q18546	O75175
G5EDW2	O75177
O01532	O75179
P34313	O75182
Q22038	O75190
Q21526	O75197
G5EEN6	O75208
P91561	O75223
O61861	O75251
G5EE74	O75306
P41942	O75312
A0A8S4SS65	O75317
Q20763	O75319
Q20849	O75323
Q20814	O75330
Q23664	O75340
Q23130	O75342
Q9XXD3	O75344
Q23651	O75347
Q9N5P9	O75348
Q9XU43	O75351
Q18263	O75354
Q8ITV4	O75360
Q9TXI0	O75362
P91869	O75364
O45291	O75365
Q9XTT4	O75367
Q9BI89	O75368
Q23621	O75369
Q03565	O75376
P34340	O75379
G5EGS3	O75380
O44871	O75381
O02092	O75382
Q19276	O75385
Q03601	O75386
O61466	O75390
Q2L6W1	O75396
Q2PJ74	O75398
O02485	O75400
Q20940	O75409
Q10572	O75410
Q09537	O75417
Q21636	O75419
P34638	O75420
Q19122	O75431
Q8IG67	O75436
Q9BIB3	O75439
G5EEN3	O75446
Q09350	O75448
Q21529	O75449
G5EEA2	O75461
Q18189	O75462
H2KYS8	O75475
Q95YA5	O75477
O17666	O75478
P92199	O75487
Q17345	O75489
Q93338	O75494
Q23389	O75496
Q95XC1	O75503
A0A1D3PCL3	O75506
Q52GY8	O75521
Q9U280	O75525
Q18224	O75528
A0A4V0INN2	O75529
O61792	O75530
P21541	O75531
Q9U329	O75533
G5ECW9	O75534
O02238	O75553
O45168	O75554
A0A0K3AVN7	O75556
S6EZT1	O75558
Q9XVM6	O75564
Q21817	O75569
P17140	O75575
Q21069	O75581
G5EFE3	O75582
G5ECR6	O75586
H2KYJ3	O75592
P91153	O75593
G5EFS5	O75596
Q9TZD5	O75600
Q9U299	O75604
Q27245	O75607
Q09499	O75608
Q9TZ50	O75616
P91243	O75635
P34502	O75636
Q21752	O75643
O17687	O75648
Q9XWS2	O75663
Q20347	O75665
Q9U386	O75674
Q23495	O75676
O45134	O75683
Q27420	O75688
H1UBJ3	O75691
Q22624	O75694
Q8IG68	O75695
G5EEN4	O75716
P41999	O75717
Q19204	O75718
Q09600	O75746
O76725	O75771
A0A8S4QC20	O75787
H2KZ41	O75791
Q304D8	O75792
Q7YZG1	O75815
Q22522	O75817
G5EFG4	O75821
O61711	O75822
Q18143	O75832
Q9XU81	O75838
O62347	O75841
Q9U2V1	O75843
O17323	O75844
Q95PY4	O75865
Q18932	O75874
X5MBH3	O75882
G5EDB6	O75886
Q21662	O75896
P49048	O75897
G5ECC5	O75908
V6CL97	O75909
O16315	O75915
Q09292	O75923
Q8MNV8	O75925
O02055	O75928
P52652	O75934
Q94218	O75935
Q9U2K7	O75937
O17932	O75940
O62360	O75943
Q965V9	O75947
Q22922	O75953
Q95Y97	O75955
Q22513	O75962
O76561	O75964
Q21131	O75970
Q17425	O75971
D5MCR9	O75976
Q9XWE6	O76003
P34402	O76011
Q22857	O76013
Q21878	O76014
Q09252	O76015
Q9BI74	O76021
H2KZS9	O76024
Q20683	O76031
Q9N3B0	O76038
O17593	O76041
Q18538	O76061
Q21018	O76064
Q22830	O76071
Q18746	O76081
Q19493	O76083
Q95YF1	O76094
H2L089	O94761
Q9NA28	O94762
Q9U1Y5	O94763
O16214	O94766
Q9UAV3	O94768
Q20077	O94772
Q23482	O94776
Q20083	O94777
Q9N534	O94782
Q10120	O94805
Q9BJK5	O94808
Q7KX00	O94813
Q23460	O94818
Q09451	O94822
Q9NAB2	O94826
O02139	O94829
Q17415	O94832
O16582	O94842
Q17949	O94844
G5EBZ4	O94854
Q19515	O94864
O61791	O94868
Q93572	O94874
Q9N3B9	O94875
O02336	O94880
O44867	O94886
Q9U3K5	O94887
P53585	O94888
Q95YE7	O94901
Q9XVU5	O94903
Q9N3F7	O94905
Q9XVK5	O94906
F0IWU1	O94910
A0A486WXF4	O94913
O62245	O94915
G5EE25	O94919
Q9BL94	O94925
Q22453	O94927
Q23401	O94952
P41938	O94955
O01322	O94964
Q2WF59	O94966
Q17446	O94972
Q18612	O94973
G5EGN9	O94979
O18041	O94985
Q17353	O94992
O01796	O95047
G5EGB9	O95070
P46562	O95071
O44185	O95073
A0A9R9	O95084
Q5H9M9	O95104
G5EE53	O95147
Q21925	O95155
Q95ZM2	O95157
Q11194	O95159
P34605	O95163
Q22230	O95166
Q9N412	O95167
O45469	O95168
Q19753	O95169
Q17800	O95182
Q17436	O95183
O16783	O95197
Q9GZE9	O95198
Q20885	O95199
Q9N3S8	O95202
O01483	O95208
Q9XXT5	O95214
Q94392	O95218
Q9N5G1	O95219
Q9U1S1	O95229
Q18223	O95231
O01254	O95232
H2KZI3	O95235
Q8WTJ4	O95239
O45011	O95243
O16525	O95248
Q17433	O95249
Q19257	O95251
P91189	O95255
U4PBW7	O95257
Q20381	O95260
Q9GYQ8	O95271
G5EGK5	O95273
K8F807	O95274
Q17334	O95292
G5EFW1	O95295
Q9NAH4	O95297
Q18955	O95298
A5Z2T6	O95299
Q18567	O95336
P90934	O95340
G5ED97	O95347
Q9NF11	O95352
O44757	O95363
O62122	O95365
O17966	O95373
O44750	O95376
O44989	O95377
A0A0K3ATR0	O95382
S6EZK7	O95390
Q21452	O95391
P34443	O95393
G5EE34	O95394
A0A131MBU3	O95400
A0A0K3AX46	O95402
P17486	O95405
Q20720	O95425
Q18676	O95427
Q18179	O95429
P31161	O95433
Q09463	O95436
Q18848	O95450
Q22649	O95453
G5EGG9	O95456
Q22006	O95466
Q23215	O95470
P91251	O95471
Q23521	O95478
Q8MQ25	O95486
E9P851	O95487
Q93213	O95498
Q9N3F3	O95503
G5EEW6	O95544
Q9XXI8	O95551
Q9XXC4	O95563
Q9N3X4	O95568
O01314	O95573
Q9GYR2	O95600
H2KYJ5	O95602
O17731	O95613
Q94316	O95619
Q9N5J1	O95625
O01635	O95630
B3WFV4	O95639
Q09497	O95644
A0A168HAJ0	O95672
Q20815	O95674
Q03569	O95677
G5EEP3	O95678
O01822	O95684
Q09975	O95696
Q9XWN7	O95711
Q18776	O95714
Q21877	O95715
Q18755	O95718
Q21222	O95721
Q9U3I7	O95747
Q22851	O95749
A0A061AJC4	O95751
H2L0D9	O95757
Q95X94	O95758
G4SJU0	O95772
O17817	O95777
G5EFV4	O95782
Q9BL64	O95785
Q11106	O95789
P29691	O95793
Q9TYJ8	O95801
O17577	O95810
Q18115	O95816
G5EEX3	O95817
O44954	O95819
Q17391	O95831
G5EGI7	O95833
G5ED01	O95835
Q94361	O95858
O44770	O95861
Q18787	O95863
Q9XXS5	O95865
G5EBL2	O95870
Q9NEX2	O95872
G5EDS2	O95881
Q95QG8	O95886
O17725	O95897
A0PD34	O95900
Q20818	O95905
O16216	O95926
O17396	O95967
Q9XVU2	O95968
Q94314	O95970
O62342	O95971
O45315	O95977
O01840	O95980
Q9BKU4	O95983
Q9XWV3	O95985
Q22714	O95988
Q19196	O95989
H2KML2	O95990
Q23064	O95994
Q9U2Y2	O95995
Q8WSN8	O95999
Q9XVR3	O96000
Q9XWU2	O96005
P90915	O96006
G5EFS1	O96008
Q22002	O96009
O01329	O96013
Q22633	O96017
G5EDN7	O96018
O18181	O96019
O01996	O96028
Q17688	P00167
O45713	P00338
Q93168	P00367
O17328	P00374
O44820	P00387
O44960	P00390
Q27511	P00403
P30632	P00441
Q19643	P00450
G5EE42	P00492
Q0G838	P00505
Q4W5T6	P00519
G5EG83	P00533
Q09614	P00540
Q965S8	P00558
H2KYU2	P00568
O17006	P00738
Q9XXN4	P00747
Q94165	P00748
P91011	P00750
Q20965	P00918
P02513	P00966
C1P659	P01009
P34264	P01011
H2L266	P01023
O45574	P01024
Q9U3A1	P01036
O62518	P01037
Q65XX2	P01040
Q17678	P01042
O62289	P01100
G5EGR6	P01106
Q22515	P01111
Q9U2R6	P01112
O62477	P01116
H1UBK0	P01127
A0A8S4Q990	P01130
O01847	P01135
Q22631	P01137
Q19829	P01160
Q2V4T5	P01298
P34455	P01308
G5EFF4	P01375
Q18521	P01589
G5EEE7	P01591
Q8MQ13	P01730
O62219	P01732
G5EDU3	P01833
A5Z2V0	P01834
Q27461	P01857
A0A7R9SUK8	P01859
O16286	P01860
Q20184	P01861
P83351	P01871
Q18218	P01876
Q18086	P01877
O16511	P01889
A0A0K3ARN3	P01903
Q93381	P01909
Q22585	P01911
U4PER8	P01920
P91052	P02008
Q9U1S7	P02042
B5U8M5	P02452
Q9XUW7	P02489
H2L0D3	P02511
Q9N4H4	P02533
Q18577	P02538
O02056	P02545
A0A8S4QCL7	P02585
Q9U2M8	P02647
Q18240	P02649
Q9BKS0	P02652
Q95X91	P02656
G5EBP0	P02671
Q27874	P02675
Q93522	P02679
Q9N338	P02686
Q20628	P02724
H2KYE2	P02741
Q9XTV9	P02745
Q9BKQ6	P02746
P51403	P02751
Q19048	P02763
Q18617	P02765
Q23145	P02766
P27798	P02768
G5EF51	P02776
Q9GZH2	P02786
Q11107	P02787
O17983	P02788
O01519	P02790
G5EFF1	P02792
O61845	P02794
G5ECL6	P02808
Q65CL5	P03372
A0A486WXK7	P03886
Q9XUM1	P03905
Q5TKA3	P03915
Q21454	P03979
Q20117	P04004
Q23595	P04035
Q18921	P04040
G5EEF6	P04049
G5ED41	P04062
P53596	P04075
O16929	P04080
Q19989	P04083
Q18255	P04114
Q09442	P04150
K8ESC5	P04179
P90780	P04181
Q9XTU9	P04183
Q7K7S3	P04196
G5EGJ9	P04198
P34710	P04201
Q19633	P04233
Q10926	P04234
P91502	P04259
O17087	P04264
G5EDG2	P04271
O45820	P04278
P34627	P04279
Q21436	P04350
O01812	P04406
G5ECL2	P04439
Q17899	P04440
P34704	P04626
Q8WQL7	P04629
O01971	P04632
Q9XTF3	P04637
P34427	P04792
Q22560	P04798
O16795	P04808
P34330	P04818
P34369	P04843
G5EET8	P04844
Q09236	P04899
Q17763	P04908
Q21380	P04920
Q03572	P05014
O62159	P05023
H2KZZ2	P05026
P48181	P05067
D5MCR4	P05089
H2KZ72	P05090
Q21446	P05091
Q21713	P05107
Q21126	P05109
P34474	P05114
O18224	P05120
O17721	P05129
Q93714	P05141
O02089	P05161
O16316	P05164
G5EFP3	P05165
P53547	P05166
Q8MQ20	P05187
Q9N3F0	P05198
Q18685	P05204
Q9XWK3	P05362
Q18605	P05386
Q9N4M4	P05387
A3QMC5	P05388
Q9TZ84	P05412
Q93971	P05423
Q20053	P05455
A0A4V0IK77	P05549
Q95XZ0	P05556
Q5TEB3	P05771
O18694	P05783
Q9XXI9	P05787
Q9U3I4	P05976
Q20878	P05981
G5EFU2	P06028
G5EDS8	P06126
Q22629	P06213
C1P636	P06239
P34537	P06241
Q9GUH0	P06276
Q9TZM3	P06280
Q95YA9	P06396
H2KYR1	P06400
O17612	P06454
Q21986	P06493
P16356	P06576
Q9N582	P06702
Q22798	P06703
Q10910	P06730
P34552	P06733
Q20369	P06737
Q95XM9	P06744
G5EEI1	P06746
Q22619	P06748
Q21747	P06753
G5ECL1	P06756
Q17600	P06865
A0A486WX07	P06899
O01768	P07099
Q19642	P07195
G5EEC2	P07196
A0A5E4M3Q4	P07197
Q17621	P07199
Q95X42	P07203
A0A131MBN3	P07205
Q23359	P07237
U4PR07	P07288
P34255	P07305
A0A1N7SYX2	P07306
Q9BKR5	P07307
Q22258	P07339
P18948	P07355
O16276	P07384
P34331	P07437
Q18081	P07476
Q18013	P07477
Q21740	P07498
Q19007	P07550
Q9TYQ4	P07686
Q9GYL3	P07711
Q9XUB2	P07737
Q2L6V1	P07741
Q9N5G8	P07766
P54812	P07814
Q9BL54	P07858
Q94420	P07900
P90789	P07910
Q9N312	P07919
H2KYH3	P07942
Q09996	P07947
Q2PJ68	P07948
Q966L9	P07949
O02642	P07951
Q9N393	P07954
Q21899	P07996
Q22923	P08034
O45799	P08069
D0Z5N4	P08118
O61936	P08123
Q95Q27	P08133
B1V8A0	P08134
O01545	P08151
Q19965	P08173
Q20086	P08174
Q17370	P08195
Q23579	P08236
Q20014	P08237
Q9N4Y8	P08238
G5EBP5	P08240
O45948	P08243
Q93289	P08247
Q8T3A5	P08253
Q09316	P08311
B6EU65	P08473
Q17430	P08559
Q9GUE9	P08572
Q9TZ33	P08574
Q95QQ9	P08579
Q27497	P08581
Q9U2P1	P08582
O76672	P08603
Q22799	P08621
O17514	P08631
O18125	P08648
Q18345	P08651
Q9N410	P08670
P91871	P08708
G5EBF4	P08727
Q20922	P08729
Q02332	P08754
O17921	P08758
O17406	P08779
O44628	P08922
Q9N341	P08962
Q18501	P09001
P90868	P09012
O45313	P09067
U4PE16	P09104
G5EG03	P09110
Q95XA0	P09132
Q93233	P09211
H2KYB8	P09228
Q09312	P09234
A0A0K3AU49	P09382
Q20052	P09429
Q21944	P09466
P17330	P09467
A0A8S4QAY3	P09471
P34328	P09493
Q5DX39	P09496
G5EFJ4	P09497
Q9XWV7	P09543
O01804	P09601
Q17532	P09619
Q10929	P09622
P47991	P09651
Q23295	P09661
O16354	P09668
Q20178	P09669
Q9BKP7	P09681
G5EG38	P09758
A9D0C6	P09769
A0A3B1E4Z6	P09874
Q4TTA9	P09884
O01870	P09913
G5EF44	P09914
Q20095	P09917
P34522	P09923
O17772	P09936
O17580	P09958
H2KZ73	P09972
G5EC12	P0C0L4
Q9N5G0	P0C0S5
G5EBF3	P0C0S8
Q11191	P0C1Z6
P90866	P0C2W1
Q20487	P0C5Z0
Q21318	P0C6T2
Q19863	P0C7H8
Q9NA39	P0C7P0
Q09366	P0C7T5
Q9NAP9	P0C7X2
Q18581	P0CG20
O02043	P0CG37
O01835	P0CG38
Q19537	P0CG47
O01683	P0CG48
Q4TT88	P0DI81
O62374	P0DMU8
G5EE56	P0DMV8
O45181	P0DMV9
Q22236	P0DMW2
Q86MI0	P0DP23
H2L2B6	P0DP24
A8XQ35	P0DP25
O44625	P0DPA2
Q19713	P0DPB6
C6KRL6	P0DPH7
P91272	P0DPI2
O61213	P0DTE8
Q93932	P0DTL6
G5EEK9	P0DW28
O17777	P10074
Q22814	P10075
Q19577	P10114
O18209	P10147
Q23490	P10155
Q19982	P10244
G5ECN5	P10253
Q18225	P10275
Q965N8	P10276
Q93351	P10301
Q18409	P10321
G5EEQ8	P10398
O18236	P10412
Q9BL86	P10415
Q7Z072	P10451
Q18823	P10515
Q21307	P10586
G3MU66	P10589
Q95Y13	P10599
Q21624	P10606
O45503	P10619
Q564X7	P10620
H2L008	P10636
Q9XUS9	P10644
G5ECX2	P10721
Q5DX34	P10768
P91820	P10809
Q9GYG4	P10827
G4SNP7	P10828
Q19555	P10909
Q22289	P11021
Q9XX14	P11047
P30631	P11055
Q9XVM7	P11117
G5EC27	P11137
Q21746	P11142
Q9NES8	P11166
O02164	P11171
A5A8P5	P11172
Q22505	P11177
Q22647	P11182
Q19342	P11215
Q9U2S4	P11216
Q21352	P11217
Q18395	P11233
Q20314	P11234
P19625	P11274
Q19443	P11277
A0A0S4XRB1	P11279
O02097	P11308
O17615	P11309
Q09373	P11310
G5EGK8	P11362
Q18231	P11387
Q9U241	P11388
Q09517	P11413
Q9U2Z1	P11441
