Q9W029	A0A087WUL8
Q9VUP6	O60266
Q0IGU7	O60271
Q9W306	O60282
Q7K1W5	O60285
Q9VNP0	O60287
Q9VF51	O60291
Q8MTA6	O60292
Q9VQI4	O60293
Q9VE01	O60296
Q8IPI0	O60306
O62609	O60307
Q9V3B6	O60313
Q8SWS3	O60318
Q7JWD3	O60333
Q9VUZ4	O60336
P83262	O60337
Q9VEF0	O60341
P09082	O60343
Q9VZ78	O60346
C4NAP3	O60353
P07764	O60356
Q9VXQ3	O60361
Q9VD23	O60381
Q9NDM2	O60383
P46415	O60403
Q9VKT1	O60427
P29613	O60437
Q8T8S2	O60443
Q9W497	O60447
Q8IMU0	O60469
Q9V9P3	O60476
Q9VPN0	O60488
Q95RR6	O60493
Q9VW14	O60496
Q7JXZ2	O60499
Q9VA42	O60502
Q9VCW0	O60503
Q9VLT5	O60504
Q8IQF8	O60506
Q9W5Y0	O60508
Q9VKX8	O60512
Q9VQ35	O60513
A9YL61	O60518
Q9VST7	O60524
Q32KC6	O60547
Q9VY92	O60551
Q27403	O60563
P15215	O60566
Q8IRI4	O60568
Q8ST83	O60573
Q7KS16	O60583
Q9VQ76	O60610
Q9VDH3	O60613
Q9VW91	O60636
Q9VEC5	O60637
Q9W415	O60641
Q9W281	O60645
Q9VGM5	O60664
Q9VLX2	O60671
O46199	O60674
Q9VIT6	O60676
Q8MR44	O60678
Q9VF37	O60684
Q9W4H1	O60701
Q9XYR0	O60704
Q9VP27	O60711
Q0E949	O60716
Q8IQI4	O60725
Q9VYI1	O60729
Q7KW09	O60739
F6J9B4	O60741
P26675	O60749
A1Z8T3	O60756
Q8MZI3	O60762
Q9VQD0	O60763
Q9VZJ9	O60779
Q9U6X3	O60783
Q9W1Q8	O60784
Q9VCU6	O60812
O76876	O60814
Q8T3L8	O60825
Q9V3I3	O60826
Q9VXF1	O60828
Q6NR46	O60829
Q9W0D3	O60831
Q7KTX7	O60832
Q9TVM2	O60841
Q08694	O60858
O77262	O60869
Q9VLY7	O60870
Q9VBC0	O60879
A1Z7F1	O60880
Q9W0J9	O60883
Q9VBP2	O60884
P08570	O60885
Q9V5L3	O60888
Q9VUX9	O60894
Q9VJ01	O60895
Q8MQP2	O60896
Q7K508	O60906
Q9VHH9	O60907
Q9VBH0	O60909
Q9VUK0	O60911
Q9VZ54	O60921
Q9VIZ0	O60925
Q8T023	O60930
Q9VT88	O60934
P14318	O60939
P53997	O60941
Q9VW10	O60942
Q9VIK5	O75015
Q9VCF0	O75027
Q9W279	O75031
Q9VCJ5	O75037
Q24246	O75044
Q9VU41	O75051
Q9VPM2	O75052
Q8MR14	O75054
Q8MRA9	O75056
Q9VQZ3	O75061
Q9VU08	O75063
Q9W2H1	O75069
Q9VJI9	O75074
Q9W4L9	O75081
Q8SYG2	O75083
Q8T4H8	O75084
Q9VTL6	O75096
Q9VGJ4	O75110
Q23979	O75116
O76902	O75122
Q9VZN4	O75127
Q9VZQ4	O75128
A8JV07	O75131
P17336	O75143
Q9W0T5	O75145
Q9VAX3	O75146
Q9VZI1	O75147
R9PY21	O75150
Q4QPP9	O75152
Q9VL48	O75153
Q24372	O75155
A0A0B4K759	O75157
A8JUP9	O75164
A1ZAN6	O75165
Q9VDJ9	O75170
Q9VI64	O75173
Q24119	O75175
Q9V3U7	O75177
Q8MSL7	O75179
Q9VAZ0	O75182
Q9VYB1	O75190
Q9VQ46	O75197
Q8T979	O75208
Q9VXT7	O75223
A1ZBU9	O75251
Q8SZW5	O75298
Q9V3P0	O75306
Q9W464	O75312
Q9VEL2	O75317
Q1ECC3	O75319
A1A714	O75323
Q9VA29	O75330
Q9V3C0	O75340
Q9VEQ6	O75342
Q5U0V7	O75344
P04814	O75347
C0PVB3	O75348
Q9W0F9	O75351
Q8IRX1	O75352
Q9VNG4	O75354
P92189	O75360
M9NFE1	O75362
O02372	O75364
A1Z7A5	O75365
Q9VKD3	O75367
O76460	O75368
Q9W141	O75369
Q9VEW3	O75376
B4YWD6	O75379
Q9VD92	O75380
Q9VFL8	O75381
Q8MT36	O75382
Q5LJU1	O75385
P28159	O75386
Q8IR86	O75390
Q9VME2	O75394
Q2PNN6	O75396
Q95TN8	O75398
P61851	O75400
A1Z8Z7	O75409
Q8INL3	O75410
Q7YU18	O75417
Q9W299	O75419
Q8IRJ8	O75420
A8DYA0	O75427
Q9VHT5	O75431
P28518	O75436
E1JJG8	O75438
P54358	O75439
P49283	O75444
Q9V3W6	O75446
Q9VA31	O75448
Q9VMY5	O75449
Q9VE46	O75459
Q9U6Y9	O75460
P19018	O75461
Q9VNF4	O75462
O96838	O75467
Q27421	O75469
Q9VST2	O75475
Q8IQH9	O75477
Q9VGQ0	O75478
Q9VLU4	O75486
Q9VDE2	O75487
Q9VSY9	O75489
Q7KVA1	O75494
Q9NBK5	O75496
Q8IMC6	O75503
Q9VZE9	O75506
Q9VKY3	O75521
Q9VV62	O75525
Q9VHM4	O75528
O46098	O75529
P17917	O75530
O16158	O75531
P35122	O75533
Q9VAC7	O75534
Q9VK85	O75553
Q8T008	O75554
Q9VEN3	O75556
Q9VXC8	O75558
Q9W172	O75563
Q9VV22	O75564
Q9VVY1	O75569
Q7PLE9	O75575
Q9VT65	O75581
Q9VBZ6	O75582
E1JIV8	O75586
Q8I8U7	O75592
Q9W3N0	O75593
Q9VQ62	O75596
Q9VLQ0	O75600
Q7JRC9	O75603
Q9VZ71	O75604
D5AEK7	O75607
Q9W3D6	O75608
Q01645	O75616
Q8IMA6	O75626
Q9W171	O75635
Q9VDX5	O75636
Q9VZE8	O75638
P34021	O75643
Q9VMV5	O75648
Q9VH18	O75663
Q9VX41	O75665
P91931	O75674
Q7KVF1	O75676
Q9XZJ4	O75683
Q9VU21	O75688
A1Z9S5	O75691
Q9VYX4	O75694
Q94887	O75695
C0HK95	O75716
Q9VP87	O75717
O18680	O75718
Q9VWN3	O75746
Q95RQ8	O75771
Q9VUS8	O75781
Q9VMJ7	O75787
P07713	O75791
Q9VBR1	O75792
O46200	O75815
Q9VKM5	O75817
Q9VP62	O75818
Q9VEA0	O75820
Q9VVM2	O75821
Q9VKQ5	O75822
Q9VCA1	O75828
Q26263	O75832
Q9VM60	O75838
Q9VJA6	O75841
Q9VQX8	O75843
Q9VD65	O75844
Q9VHN4	O75865
Q8MT42	O75874
Q8MRS1	O75879
Q9VYW7	O75880
Q95SH0	O75882
P48608	O75886
Q29QP5	O75891
Q9VBY4	O75896
D6W4X6	O75897
Q9W2V8	O75901
B7YZF6	O75907
Q9W366	O75908
Q9VYJ7	O75909
Q9VTD9	O75911
Q9VEK8	O75915
M9PJM2	O75923
Q4QQB9	O75925
Q9NB04	O75928
Q9VAU9	O75934
Q9VTW5	O75935
Q8SWU6	O75937
Q00637	O75940
Q9NDR1	O75943
Q7KMS3	O75947
Q9VS31	O75951
Q9VY11	O75953
Q8MYR8	O75955
Q24173	O75956
Q8T045	O75962
Q9VVC1	O75964
Q9VDJ7	O75970
Q9Y0Z1	O75971
Q9VQZ8	O75973
Q9W314	O75976
Q9VR35	O76003
Q9Y0I1	O76011
E1JI91	O76013
Q9V3F3	O76014
Q8T0G1	O76015
Q9GU68	O76021
Q9VMM6	O76024
Q9VTU2	O76027
Q9VEU5	O76031
Q9VND7	O76038
Q9XZ08	O76041
E4NKL4	O76061
Q7K4Q9	O76064
Q9I7X6	O76071
Q9VYX7	O76081
M9PI87	O76083
Q9VH25	O76094
Q8MQV7	O94760
Q8IR14	O94761
Q9VMX4	O94762
Q9W1T0	O94763
Q9VM00	O94766
Q9VI12	O94768
Q9VX35	O94772
Q9VW70	O94776
Q4V579	O94777
Q9VJ16	O94782
A8DYB9	O94805
Q8IPJ8	O94806
Q4V5M2	O94808
Q9VWE7	O94813
Q9W3B3	O94817
Q9VUX8	O94818
P14003	O94822
Q8T0F5	O94826
Q8T3R1	O94829
P06602	O94832
Q9VRN0	O94842
Q9VBD6	O94844
Q9V931	O94854
Q9W3U2	O94855
Q9U8R4	O94864
Q7K4M4	O94868
Q9W0V1	O94874
Q2PDZ1	O94875
Q8IRB5	O94880
Q8IMV0	O94885
Q01842	O94886
Q9VEP6	O94887
Q95TK5	O94888
Q9VIG3	O94889
A8JNT7	O94898
Q9VFE3	O94901
Q9W2J7	O94903
Q9VBF0	O94905
Q7K3K5	O94906
Q8T8V2	O94910
Q0KIE7	O94913
Q9W2X1	O94915
Q9VMD9	O94919
Q9VTR4	O94921
O76752	O94923
Q8T8Y3	O94925
Q9VX87	O94927
Q7K3B7	O94952
A0AN61	O94953
Q9VIL0	O94955
Q9VY15	O94964
O02194	O94966
Q8I942	O94972
P41073	O94973
Q8IQJ7	O94979
Q9VHG5	O94985
Q9V9X1	O94989
Q8IR21	O94991
Q9VV75	O94992
P92204	O95047
Q9VA48	O95059
Q9VY06	O95067
Q9VI84	O95070
P00334	O95071
Q9VHD1	O95073
Q9W217	O95084
Q8SXZ6	O95104
Q9VYM0	O95125
Q9VVL0	O95139
Q9VM76	O95147
Q9VML5	O95149
Q9W2K0	O95155
Q9W543	O95156
Q9VGT2	O95157
O96690	O95158
Q9VCX1	O95159
Q9VGI8	O95163
Q9VMP9	O95166
Q9VVX3	O95167
Q9W116	O95168
P28167	O95169
Q94890	O95182
Q8SXG7	O95183
Q9VUJ4	O95196
Q9VJY8	O95197
Q9XZL8	O95198
Q9VVI2	O95199
Q8IPT5	O95202
P82705	O95208
Q9VHY2	O95210
Q9VMT6	O95214
O18412	O95218
Q9VTG7	O95219
Q8IRD5	O95229
A0A0B4K785	O95231
Q494K2	O95232
Q9W4B3	O95235
Q9VBJ2	O95236
Q9VI04	O95239
C0PV55	O95243
A0A0B4K7N0	O95248
Q9VFY3	O95249
A9YJ58	O95251
Q9VG74	O95255
Q9W088	O95257
Q9VHV3	O95260
Q9VFW5	O95271
Q9VFW6	O95273
A1ZA28	O95274
Q9VTM1	O95279
P52295	O95292
A0A0B4K869	O95295
Q9W308	O95297
Q23973	O95298
Q7KMH9	O95299
Q8IRS2	O95336
M9PHS6	O95340
O97365	O95347
Q9VFX8	O95352
P05031	O95359
Q8IRY9	O95361
Q7JZC5	O95363
Q9VUT8	O95365
F6J451	O95372
Q9VN25	O95373
P0C919	O95376
P42286	O95377
Q9VXA9	O95382
Q9VX31	O95390
Q9VDV3	O95391
Q8T062	O95393
Q9W394	O95394
Q9W023	O95396
Q9W410	O95400
Q9VHY5	O95402
Q9V463	O95405
Q9VQ17	O95406
Q9VPT4	O95425
Q9W1H2	O95427
Q8SY72	O95429
P20240	O95433
Q9VKV6	O95436
Q94918	O95445
Q9VWQ1	O95450
Q7JZR0	O95453
Q9N9Y9	O95456
Q960V1	O95466
P10734	O95470
Q9VNF3	O95471
A8JUR3	O95476
Q01068	O95478
Q9VGX0	O95486
Q7JYV2	O95487
Q7JZF5	O95490
Q4V4M5	O95498
Q01643	O95503
O96651	O95544
Q4QPU3	O95551
Q9VMZ3	O95562
O01346	O95563
Q9V3F9	O95568
P37161	O95571
Q0KI58	O95573
Q9VUU1	O95600
Q9VVI9	O95602
Q9V3K7	O95613
Q7JVP4	O95619
Q9VMV6	O95625
Q9W4U5	O95628
Q8STI6	O95630
Q9VV94	O95639
Q9VMN6	O95644
Q8IMF0	O95670
A1Z9L5	O95671
Q9VDC1	O95672
Q9VLX3	O95674
Q8IRT0	O95677
Q9VTV7	O95678
Q9VPT9	O95684
Q9XYW6	O95696
Q7K5K3	O95711
Q9VTU3	O95714
Q9VTU8	O95715
Q9VV77	O95718
Q9VJZ6	O95721
Q9VYX2	O95747
Q9VRS8	O95749
Q8IPZ7	O95751
Q7K0L4	O95757
Q9VHP3	O95758
Q7KK54	O95772
P20353	O95777
Q8MMD0	O95782
Q9VS36	O95785
Q9VXW9	O95786
Q9W1K6	O95789
O16043	O95793
Q9VBT7	O95801
Q9VCT9	O95810
Q9VZL3	O95816
P42282	O95817
P15619	O95819
Q8MZ02	O95831
Q7K1W8	O95833
Q9VD71	O95835
Q7JYX3	O95858
Q9BLX1	O95861
Q9VF03	O95863
Q9VNE7	O95864
A1Z8Q0	O95865
Q7K025	O95870
P20354	O95872
Q9VJ87	O95881
Q9VPP7	O95886
Q9VUY9	O95897
Q7KT86	O95900
Q86BY9	O95905
Q8T4G7	O95926
Q9VS54	O95931
Q9VS21	O95947
Q7KPA5	O95967
Q9V3J1	O95968
Q9V7A7	O95970
Q4V4V2	O95971
Q9W579	O95977
Q9VUL6	O95980
P54611	O95983
Q9VUC6	O95985
A0A1F4	O95988
Q9VG73	O95989
Q9VTE9	O95990
Q7JY00	O95994
Q9VT04	O95995
Q8IQN0	O95997
Q7JWE2	O95999
Q8T421	O96000
Q8MLV1	O96005
Q9VU87	O96006
A1Z7C1	O96008
Q9VZ59	O96009
Q0KI97	O96013
Q9VIZ2	O96015
Q9VX37	O96017
Q7KUE6	O96018
Q9Y0Z9	O96019
Q8SZS0	O96028
Q6IGY0	P00167
Q27934	P00338
Q8INJ4	P00352
Q9VDP8	P00367
Q9VV10	P00374
Q9VD05	P00387
Q9NJB5	P00390
Q9VRX0	P00403
Q9VNX9	P00441
A1Z934	P00450
Q9VN39	P00492
P25992	P00505
Q8IG95	P00519
Q9W0B3	P00533
Q7KGH1	P00540
P08645	P00558
Q9VDV5	P00568
